graph_regime,method,label,n_runs,n_oracle_feasible,feasibility_pct,ci_low,ci_high,bytes_per_amr_median,rounds_median,graph_connected
complete,capacity_cbba_rb,CBBA-RB,300,300,54.0,48.35,59.55,16905.0,21.0,True
complete,weighted_grape,Weighted-GRAPE,300,300,99.33,97.6,99.82,40865.6,241.0,True
complete,weighted_pair_grape,Pair-GRAPE,300,300,100.0,98.74,100.0,54174.4,337.0,True
dense,capacity_cbba_rb,CBBA-RB,300,300,61.0,55.37,66.35,12184.0,23.0,True
dense,weighted_grape,Weighted-GRAPE,300,300,99.33,97.6,99.82,30647.2,241.0,True
dense,weighted_pair_grape,Pair-GRAPE,300,300,100.0,98.74,100.0,39965.1,337.0,True
medium,capacity_cbba_rb,CBBA-RB,300,300,61.33,55.71,66.67,8823.5,25.0,True
medium,weighted_grape,Weighted-GRAPE,300,300,99.33,97.6,99.82,23008.9,241.0,True
medium,weighted_pair_grape,Pair-GRAPE,300,300,100.0,98.74,100.0,30065.8,337.0,True
threshold,capacity_cbba_rb,CBBA-RB,300,300,66.67,61.15,71.76,5959.2,29.0,True
threshold,weighted_grape,Weighted-GRAPE,300,300,99.33,97.6,99.82,16387.9,241.0,True
threshold,weighted_pair_grape,Pair-GRAPE,300,300,99.67,98.14,99.94,19583.1,321.0,True
partitioned,capacity_cbba_rb,CBBA-RB,300,300,13.33,9.95,17.65,3252.8,25.0,False
partitioned,weighted_grape,Weighted-GRAPE,300,300,22.0,17.68,27.03,10549.9,225.0,False
partitioned,weighted_pair_grape,Pair-GRAPE,300,300,28.0,23.22,33.33,12612.0,273.0,False
dense,gamma_r,uniform,,,,,,21.8571,16.0,
medium,gamma_r,uniform,,,,,,12.2946,6.857977,
threshold,gamma_r,uniform,,,,,,6.0244,0.983562,
partitioned,gamma_r,uniform,,,,,,4.9315,0.0,
dense,gamma_r,uniform,,,,,,13.2002,7.56199,
medium,gamma_r,uniform,,,,,,7.4251,3.333798,
threshold,gamma_r,uniform,,,,,,3.6383,0.510792,
partitioned,gamma_r,uniform,,,,,,2.9783,0.0,
dense,gamma_r,uniform,,,,,,7.6383,3.925648,
medium,gamma_r,uniform,,,,,,4.2966,1.046667,
threshold,gamma_r,uniform,,,,,,2.1053,0.165242,
partitioned,gamma_r,uniform,,,,,,1.7234,0.0,
dense,gamma_r,uniform,,,,,,7.6137,8.16114,
medium,gamma_r,uniform,,,,,,4.2827,3.458,
threshold,gamma_r,uniform,,,,,,2.0985,0.547041,
partitioned,gamma_r,uniform,,,,,,1.7178,0.0,
dense,gamma_r,uniform,,,,,,15.978,11.0,
medium,gamma_r,uniform,,,,,,8.9876,3.362248,
threshold,gamma_r,uniform,,,,,,4.4039,0.344368,
partitioned,gamma_r,uniform,,,,,,3.605,0.0,
dense,gamma_r,uniform,,,,,,11.1758,6.171698,
