panel,method,label,n_certified,n_common_support,gap_median_pct,gap_ci_low,gap_ci_high,infeasible_pct,infeasible_ci_low,infeasible_ci_high,bytes_per_amr_median
A/B,geo_qpg_u,BR $h=1$,1160,1133,55.664,52.865,58.68,2.328,1.605,3.365,662.2
A/B,geo_qpg_p,2BR $h=2$,1160,1133,14.626,13.641,15.787,0.086,0.015,0.487,3323.6
A/B,geo_qpg_c3,C3 $h=3$,1160,1133,3.149,2.197,3.672,0.0,0.0,0.33,14164.0
D,,CV=0,300,,,,,13.0,9.658,17.278,
D,,CV=0.35,300,,,,,0.0,0.0,1.264,
D,,CV=0.65,300,,,,,0.333,0.059,1.864,
D,,CV=1,300,,,,,0.0,0.0,1.264,
D,,$\rho$=0.7,600,,,,,0.0,0.0,0.636,
D,,$\rho$=0.85,600,,,,,6.667,4.934,8.951,
D,,N/K=2,400,,,,,11.5,8.733,14.999,
D,,N/K=3,400,,,,,3.25,1.909,5.48,
D,,N/K=4,400,,,,,0.25,0.044,1.402,
C,,hstar_2,1200,1156,96.333,,,,,,
C,,hstar_3,1200,4,0.333,,,,,,
C,,hstar_>3,1200,40,3.333,,,,,,
