scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,ranking_rule,demand_satisfaction_ratio_mean,coalition_success_rate_mean,served_load_rate_mean,optimality_gap_vs_oracle_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
ALL_SCENARIOS,1,hungarian_expanded,Hungarian expanded,classic,centralized,baseline,hungarian_expanded,classic_centralized_baseline,none,centralized_hungarian_assignment,centralized_all_robot_load_pairs,0,0,0,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.04946665527919928
ALL_SCENARIOS,2,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.08793330440918605
ALL_SCENARIOS,3,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.12580002658069134
ALL_SCENARIOS,4,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.14749999778966108
ALL_SCENARIOS,5,primal_dual_wrench_market,Primal-dual wrench market,model_based,decentralized,proposed,primal_dual_wrench_proxy,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_wrench_rule,local_deficit_capacity_wrench_prices,0,0,5,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.17556668414423862
ALL_SCENARIOS,6,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.1786666689440608
ALL_SCENARIOS,7,primal_dual_cardinality_capacity,Primal-dual cardinality capacity,model_based,decentralized,proposed,primal_dual_capacity,proposed_model_based_variation,model_based_tuning_optional,distributed_primal_dual_capacity_rule,local_deficit_capacity_prices,0,0,4,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.18683335899064937
ALL_SCENARIOS,8,primal_dual_local_repair,Primal-dual local repair,model_based,decentralized_local,proposed,primal_dual_with_certified_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_primal_dual_plus_certified_local_repair,local_deficit_capacity_prices_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.35999998605499667
ALL_SCENARIOS,9,bnn_cardinality_repair,Brown/BNN cardinality local repair,model_based,decentralized,proposed,brown_bnn_positive_excess_with_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_brown_bnn_positive_excess_plus_local_repair,positive_excess_scores_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.4443666742493709
ALL_SCENARIOS,10,tensor_quorum_flow_repair,Smooth tensor quorum-flow repair,model_based,decentralized_local,proposed,smooth_tensor_quorum_flow_with_repair,proposed_local_repair_family,model_based_tuning_optional,smooth_tensor_quorum_flow_plus_certified_local_repair,radius_limited_tensorized_deficit_capacity_scores,0,0,9,0,0,0,0,False,False,,none,3,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",1.0,1.0,1.0,0.0,0.0,0.0,7.176039996054928,6.365705196608725,35.88019998027464,4.0,0.45119998200486106
