scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n,feasible_load_count_mean,completed_load_count_mean,task_completion_rate_mean,recovery_success_mean,recovery_time_s_mean,load_target_reached_rate_mean,mean_final_pose_error_m_mean,max_final_pose_error_m_mean,mean_final_orientation_error_deg_mean,max_final_orientation_error_deg_mean,lost_load_rate_mean,infeasible_load_count_mean,infeasible_load_detection_rate_mean,post_event_wrench_feasible_rate_mean,mean_wrench_residual_norm_mean,min_wrench_margin_mean,unsupported_time_s_mean,load_pause_time_s_mean,degraded_speed_time_s_mean,replacement_arrival_time_s_mean,final_assigned_loads_mean,final_idle_robots_mean,reassignment_count_mean,final_active_robot_rate_mean,failed_robot_count_mean,battery_margin_final_mean,min_battery_fraction_mean,communication_coverage_ratio_mean,communication_messages_mean,collision_count_mean,collision_rate_mean,safety_violation_count_mean,min_robot_clearance_m_mean,min_obstacle_clearance_m_mean,min_load_clearance_m_mean,travel_distance_m_mean,mean_path_length_m_mean,path_efficiency_ratio_mean,energy_proxy_wh_mean,mean_speed_mps_mean,max_speed_mps_mean,max_speed_violation_mps_mean,runtime_ms_mean,score_value_mean,reference_score_value_mean,signed_score_delta_vs_reference_mean,performance_gap_vs_reference_mean,optimality_gap_vs_reference_mean
battery_depletion_reallocation,cbba_recovery,CBBA recovery,sota,decentralized,baseline,cbba_recovery_auction,baseline_sota_decentralized,none,distributed_auction_recovery,local_bids_plus_neighbors,0,4,False,False,60,2.0,1.15,0.575,0.2,50.84866666666667,0.575,1.8533208857868924,3.6256941356995602,7.811533429195929e-05,0.00015620583992772167,0.425,1.0,0.03333333333333333,0.7575163398692809,0.1197732328916825,-0.37882915474690143,0.0,0.6020000000000001,20.314,11.362333333333334,1.8166666666666667,2.55,5.25,0.98125,0.15,0.017942363218519792,0.1679423632185198,1.0,21616.0,0.0,0.0,85.91666666666667,0.11499999962105015,0.12639388083244932,0.0798108904209907,128.7958404841471,16.09948006051839,0.37903655965067246,1020.956595879037,0.3205862378706372,0.7247533698746186,0.0,428.3583533348671,13.829080070947137,42.894818424114696,-29.06573835316756,0.11661067842039081,0.11661067842039081
battery_depletion_reallocation,cbf_recovery,CBF recovery,sota,centralized,baseline,centralized_cbf_recovery,baseline_sota_centralized,none,centralized_cbf_recovery,global_state_and_obstacles,0,5,False,False,60,2.0,1.15,0.575,0.2,50.65266666666667,0.575,1.8517532797994725,3.6010017120044324,6.640017254068275e-05,0.0001327575593760203,0.425,1.0,0.016666666666666666,0.7574836601307189,0.1281002191648086,-0.3854306641295704,0.0,0.7700000000000001,20.09,11.292333333333334,1.8333333333333333,2.55,4.9,0.98125,0.15,0.019975300903352637,0.1699753009033526,1.0,21616.0,0.0,0.0,91.21666666666667,0.11499999964088119,0.1294712678748253,0.0799825130751522,128.10915888587428,16.013644860734285,0.3859857363092271,1015.3806425076199,0.3133401106520992,0.7247533698746186,0.0,419.8194183370409,13.421623162909775,42.894818424114696,-29.473195261204925,0.11616514803213067,0.11616514803213067
battery_depletion_reallocation,classic_centralized_replan,Classic centralized replanning,classic,centralized,baseline,periodic_global_replan,baseline_classic_centralized,none,centralized_periodic_replan,global_state,0,2,False,False,60,2.0,1.1666666666666667,0.5833333333333334,0.2,51.282666666666664,0.5833333333333334,1.8497383224705335,3.64522824119539,1.4467218264703375e-05,2.8915493906936705e-05,0.4166666666666667,1.0,0.03333333333333333,0.7787908496732027,0.12360883712079122,-0.37802082555451777,0.0,0.9076666666666668,18.543,10.686333333333332,1.8166666666666667,2.05,5.0,0.9416666666666667,0.4666666666666667,0.014535873435959808,0.16453587343595977,1.0,21616.0,0.0,0.0,88.46666666666667,0.11499999950703739,0.12021524525637059,0.07977064283511277,128.49996856383007,16.06249607047876,0.37843422839217117,1018.2169960103079,0.3288487540434078,0.741225037371769,0.0,447.2828116636568,16.371455665262587,42.894818424114696,-26.523362758852116,0.12545974290357398,0.12545974290357398
battery_depletion_reallocation,classic_decentralized_greedy_recovery,Classic decentralized greedy recovery,classic,decentralized,baseline,local_greedy_recovery,baseline_classic_decentralized,none,local_greedy_recovery,local_load_robot_state,0,2,False,False,60,2.0,1.15,0.575,0.2,50.673666666666676,0.575,1.82292147445986,3.582344348201656,0.00012669008674001897,0.0002533419706155778,0.425,1.0,0.016666666666666666,0.7535620915032679,0.13321950054075485,-0.3756416138199823,0.0,0.9776666666666668,19.987333333333343,11.700666666666667,1.8333333333333333,2.0166666666666666,4.733333333333333,0.9416666666666667,0.4666666666666667,0.015045497219136098,0.1650454972191361,1.0,21616.0,0.0,0.0,86.83333333333333,0.11499999960733488,0.12121651041025308,0.0798311917606882,127.26125416579178,15.907656770723973,0.3808639578950107,1009.3168706520086,0.3171494267027942,0.7082817023774681,0.0,435.96104831279564,13.566586878287527,42.894818424114696,-29.328231545827173,0.1345756273846095,0.1345756273846095
battery_depletion_reallocation,ours_guarded_wrench_market_recovery,Ours guarded wrench-market recovery,model_based,decentralized,proposed,guarded_wrench_market_recovery,proposed_model_based_decentralized,model_based_tuning_optional,guarded_wrench_market_recovery,local_wrench_prices_and_repair,0,8,False,False,60,2.0,1.25,0.625,0.3,49.82833333333333,0.625,1.6246244888575971,3.175001313766003,3.422246602435461e-05,6.840580876649828e-05,0.375,1.0,0.08333333333333333,0.7613725490196078,0.1355531223076595,-0.342061000312112,0.0,1.05,21.15633333333334,9.589666666666666,1.6833333333333333,2.933333333333333,5.583333333333333,0.9770833333333333,0.18333333333333332,0.019035381528204075,0.1690353815282041,1.0,21616.0,0.016666666666666666,1.0253886222878472e-06,86.01666666666667,0.11499999961987299,0.1297622738281719,0.07126491351797021,129.04660735794423,16.130825919743028,0.37648658741167995,1022.0081434290761,0.3160517125139959,0.7576967048689195,0.0,421.15138666704297,47.59823636461509,42.894818424114696,4.703417940500384,0.017667107623678447,0.017667107623678447
battery_depletion_reallocation,primal_dual_recovery,Primal-dual recovery,model_based,decentralized,proposed,primal_dual_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_primal_dual_recovery,local_dual_prices,0,6,False,False,60,2.0,1.2166666666666666,0.6083333333333333,0.26666666666666666,49.65433333333333,0.6083333333333333,1.675086875896745,3.2918799647758594,6.197014451999401e-05,0.00012392464544107616,0.39166666666666666,1.0,0.03333333333333333,0.7666993464052289,0.13551029546833718,-0.3872163855081016,0.0,0.9636666666666668,19.87066666666667,10.196333333333333,1.75,2.716666666666667,5.333333333333333,0.9895833333333334,0.08333333333333333,0.022305054810057193,0.17230505481005717,1.0,21616.0,0.016666666666666666,1.0253886222878472e-06,87.23333333333333,0.11499999940950047,0.12802689389595637,0.07316617547078838,128.61053155553216,16.07631644444152,0.3809359250552714,1019.6693937105708,0.31555346669205747,0.741225037371769,0.0,419.8133199980172,35.627518613951906,42.894818424114696,-7.2672998101627995,0.0963852440310856,0.0963852440310856
battery_depletion_reallocation,reference_resilient_oracle,Reference centralized resilient recovery,model_based_reference,centralized,reference,centralized_resilient_recovery,reference_model_based_reference_centralized,none,centralized_resilient_recovery,global_state_and_event_observation,0,10,False,False,60,2.0,1.25,0.625,0.2833333333333333,50.04466666666667,0.625,1.6086305594189372,3.1751144230634165,3.5454607163871815e-05,7.087745493883485e-05,0.375,1.0,0.06666666666666667,0.754640522875817,0.13656487851460017,-0.34376051359993975,0.0,1.047666666666667,21.592666666666666,9.795666666666666,1.7166666666666666,2.8,5.366666666666666,0.9708333333333333,0.23333333333333334,0.018645150283208314,0.1686451502832083,1.0,21616.0,0.016666666666666666,1.0253886222878472e-06,87.45,0.11499999904331072,0.13025565628262456,0.0710924185920623,129.9000806195065,16.237510077438312,0.37651284628352055,1028.416957995363,0.31658656788565803,0.7576967048689195,0.0,423.9380350045394,42.894818424114696,42.894818424114696,0.0,0.0,0.0
battery_depletion_reallocation,replicator_repair_recovery,Replicator repair recovery,model_based,decentralized,proposed,replicator_integer_repair,proposed_model_based_decentralized,model_based_tuning_optional,distributed_replicator_repair,local_payoff_and_repair,0,5,False,False,60,2.0,1.15,0.575,0.2,50.61533333333333,0.575,1.7935717706439087,3.4932377058419046,7.287598369742032e-05,0.0001457345879161873,0.425,1.0,0.05,0.7593464052287581,0.1301827642146858,-0.38307955700951496,0.0,0.8353333333333334,20.143666666666668,11.08,1.8,2.6166666666666667,5.1,0.9895833333333334,0.08333333333333333,0.022963630984157265,0.1729636309841572,1.0,21616.0,0.0,0.0,90.48333333333333,0.11499999961955622,0.12853503660442395,0.07997192096744735,128.25720776960458,16.032150971200572,0.38461494635209786,1017.174961186127,0.31501930064389455,0.741225037371769,0.0,425.0564800090312,14.932907535619913,42.894818424114696,-27.961910888494785,0.11282924838190996,0.11282924838190996
battery_depletion_reallocation,smith_qr_recovery,Smith-QR recovery,model_based,decentralized,proposed,smith_qr_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_smith_qr_recovery,local_deficit_prices,0,5,False,False,60,2.0,1.2166666666666666,0.6083333333333333,0.26666666666666666,49.812999999999995,0.6083333333333333,1.6700895931930226,3.2801689889764476,6.93135800510665e-05,0.00013861170999247718,0.39166666666666666,1.0,0.06666666666666667,0.7672549019607844,0.13903117163776132,-0.39265144083504533,0.0,0.9613333333333334,19.964000000000006,10.439000000000002,1.7166666666666666,2.816666666666667,5.366666666666666,0.9895833333333334,0.08333333333333333,0.02290560063644481,0.17290560063644478,1.0,21616.0,0.016666666666666666,1.0253886222878472e-06,85.11666666666666,0.1149999996278611,0.12692996934593526,0.07394283590301597,128.17176586858284,16.021470733572855,0.3812340251334851,1016.4638974014049,0.3148250618812453,0.741225037371769,0.0,420.6433566636406,37.16423275603763,42.894818424114696,-5.730585668077082,0.09493931990748655,0.09493931990748655
battery_depletion_reallocation,tensor_flow_recovery,Tensor-flow recovery,model_based,decentralized,proposed,tensor_flow_recovery,proposed_model_based_decentralized,model_based_tuning_optional,distributed_tensor_flow_recovery,local_tensor_field,0,7,False,False,60,2.0,1.2,0.6,0.23333333333333334,50.535,0.6,1.7117771699942468,3.359082594297161,0.0001115619656165363,0.00022311104625857852,0.4,1.0,0.08333333333333333,0.7583006535947712,0.16362745981556387,-0.36980915428980426,0.0,1.323,20.988333333333337,10.145,1.7166666666666666,2.8,5.35,0.9833333333333333,0.13333333333333333,0.020295649366301637,0.17029564936630157,1.0,21616.0,0.0,0.0,84.66666666666667,0.11499999958306949,0.1296251925811516,0.07955720188499305,129.02360247966175,16.12795030995772,0.38099265115809794,1020.2437881188907,0.3147300097346374,0.741225037371769,0.0,421.23066499480046,28.353180249055423,42.894818424114696,-14.541638175059278,0.05409800607373829,0.05409800607373829
