scenario_generator,method,method_label,rank,active_control_messages_mean,assigned_robots_mean,attempted_messages_mean,base_connected_time_ratio_mean,coalition_connected_time_ratio_mean,collision_rate_mean,communication_outage_count_mean,completion_time_s_mean,control_packet_ratio_mean,delay_violation_rate_mean,delivered_messages_mean,direct_clique_time_ratio_mean,disconnected_time_ratio_mean,energy_proxy_wh_mean,final_orientation_error_deg_mean,final_position_error_m_mean,formation_broken_rate_mean,formation_integrity_rate_mean,idle_robots_mean,longest_outage_s_mean,mean_active_link_count_mean,mean_algebraic_connectivity_mean,mean_component_count_mean,mean_largest_component_ratio_mean,mean_link_delay_s_mean,mean_outage_duration_s_mean,method_communication_dependency,method_communication_pattern,method_comparison_group,method_execution_model,method_family,method_ownership,method_scope,method_trainable_parameters,method_training_type,method_tuned_parameters,method_uses_decoder,method_uses_neural_policy,method_variant,min_mobile_group_clearance_m_mean,min_obstacle_clearance_m_mean,mobile_group_detection_rate_mean,n,network_quality_score_mean,network_severity_mean,obstacle_detection_rate_mean,optimality_gap_vs_reference_mean,packet_delivery_ratio_mean,pickup_success_mean,ranking_rule,relay_success_rate_mean,runtime_ms_mean,score_value_mean,selected_task_load_mean,sensor_coverage_rate_mean,target_reached_mean,temporal_coalition_connected_rate_mean,transport_network_score_mean,transport_success_mean,travel_distance_m_mean
ALL_SCENARIOS,classic_decentralized_sensor_apf,Classic decentralized sensor APF,1,3852.8571428571427,2.5714285714285716,5694.571428571428,0.6510233029381965,0.47781155015197563,0.0,11.0,40.92857142857143,0.4977886522552182,0.32596514023533457,4786.714285714285,0.4376899696048632,0.5221884498480244,475.63480363210977,41.88327487411276,6.010413972549598,0.1766286254246909,0.8233713745753092,4.0,4.2942857142857145,16.3951367781155,2.689587418483989,3.6753799392097264,0.5894326241134752,0.2307456573685464,1.5625,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.22405088320927277,0.6615211304040847,0.6368509454071765,7,0.5937717459503767,0.3344116049320896,0.508875621170454,0.08707666656055287,0.7173099545062398,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.00364741641337386,363.46317142514243,-17.669059401304075,1.0,0.5728632832888152,0.14285714285714285,0.7568389057750761,0.4005817500793879,0.14285714285714285,48.12289211827853
ALL_SCENARIOS,reference_full_communication,Reference full-communication controller,2,3919.5714285714284,4.0,6308.0,0.6975227963525835,0.4462006079027355,0.0,4.571428571428571,41.160000000000004,0.4956362590564041,0.32880500495454523,5100.714285714285,0.42857142857142855,0.5537993920972645,703.6652356588155,33.73889038231284,6.477140843269775,0.5117948672006116,0.4882051327993883,2.5714285714285716,11.982857142857142,16.6790273556231,2.692412149908766,3.5689969604863223,0.6064285714285714,0.23245146772582317,6.4426753246753234,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,0.15560542573557198,0.40964869255205916,0.6388948623143152,7,0.5969902516362043,0.3344116049320896,0.5007306455786699,0.0,0.7193762347380771,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.01762917933130699,473.3504428794341,-47.133731002727394,1.0,0.5698127539464926,0.2857142857142857,0.833434650455927,0.3788343136198279,0.14285714285714285,73.12625578857693
ALL_SCENARIOS,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,3,3922.0,3.7142857142857144,6223.428571428572,0.6905927051671733,0.45106382978723397,0.0,5.428571428571429,41.082857142857144,0.4934568454507001,0.3318818463651601,5104.285714285715,0.42857142857142855,0.548936170212766,739.6327596081212,2.602255194937765,3.9187180373451476,0.11054978724737893,0.889450212752621,2.857142857142857,7.7142857142857135,16.689361702127663,2.6967976863004033,3.564133738601824,0.6034397163120567,0.23445510446138978,3.7232653061224488,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.10114402969315153,0.4936401559584569,0.6358877073618715,7,0.5917044150378985,0.3344116049320896,0.5012597534178082,0.1447526429570114,0.7147276225637504,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.022492401215805473,683.5881571252165,-30.3361333392884,1.0,0.5685737303898398,0.0,0.8012158054711246,0.3251506521457252,0.0,78.11212589956958
ALL_SCENARIOS,classic_centralized_global_mpc,Classic centralized global comms,4,3980.4285714285716,4.0,6636.285714285715,0.7199138804457954,0.44316109422492395,0.0,3.857142857142857,41.348571428571425,0.4968020195693848,0.32648375897714615,5313.428571428572,0.42857142857142855,0.556838905775076,685.3516146290349,6.5069112330044465,4.460029007310982,0.5419039039608482,0.4580960960391517,2.5714285714285716,10.491428571428571,16.93799392097264,2.6925933705849343,3.4644376899696048,0.6176038500506585,0.23116630230195265,5.214656771799629,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,0.09409278504353076,0.5339302999098865,0.6360728455941222,7,0.5949555195530319,0.3344116049320896,0.498412808063264,0.21991265219276981,0.7165482886700613,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.01458966565349544,384.85119999053757,-75.95188971512148,1.0,0.5672428268286931,0.0,0.8291793313069908,0.2565891481036887,0.0,72.50501874082384
cargo_sensor_degradation,reference_full_communication,Reference full-communication controller,1,2498.0,4.0,3793.0,0.6804255319148935,0.502127659574468,0.0,1.0,39.06,0.5512820512820513,0.2835140450565983,2999.5,0.5,0.4978723404255319,805.1645367970646,0.037610077399294395,0.027380434605567133,0.4857142857142857,0.5142857142857142,1.0,18.45,10.629787234042553,2.4945564801921685,2.6936170212765957,0.6578723404255319,0.21068081821295698,10.53,high,global_lossless_network,reference_model_based_reference_centralized_high_communication,centralized_reference_full_information,model_based_reference,reference,centralized,0,none,10,False,False,full_information_upper_reference,nan,0.42747197013821536,0.0,2,0.6183690857797242,0.3368714285714286,0.8745803782505911,0.0,0.725051975051975,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.002127659574468085,220.2064500306733,155.10952062662864,1.0,0.43729018912529555,1.0,0.848936170212766,0.6788573862948757,0.5,80.7356017956306
cargo_sensor_degradation,classic_decentralized_sensor_apf,Classic decentralized sensor APF,2,2500.0,4.0,3798.0,0.656595744680851,0.5127659574468085,0.0,3.5,38.25,0.5517955801104972,0.28235063399957017,2984.5,0.5,0.48723404255319147,836.16982569588,0.00026533192867058927,0.31025840995264375,0.15920398009950248,0.8407960199004976,1.0,6.12,10.638297872340425,2.4959632741625737,2.6851063829787236,0.66,0.2120551880533358,2.9442857142857144,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,nan,0.296412040155333,0.0,2,0.6222984724298011,0.3368714285714286,0.8891117865585951,0.05321185598951822,0.7190953038674033,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.01276595744680851,153.81804999196902,143.17875707748442,1.0,0.44455589327929756,0.5,0.8617021276595744,0.6216491493242517,0.5,84.34954365919265
cargo_sensor_degradation,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,3,2430.0,3.0,3258.0,0.6072340425531915,0.5212765957446809,0.0,5.0,38.78999999999999,0.5440528634361234,0.2916975223358202,2736.5,0.5,0.4787234042553192,651.9829354807723,3.3219946020702416e-05,0.3569387874845604,0.16586538461538464,0.8341346153846154,2.0,5.04,10.340425531914894,2.4986850340664897,2.825531914893617,0.6344680851063831,0.2155904441032947,2.025,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,nan,0.650111693633535,0.0,2,0.6066295282505165,0.3368714285714286,0.873725937183384,0.5066342503495399,0.712830396475771,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.02127659574468085,219.85359996324405,2.6932926600665166,1.0,0.436862968591692,0.0,0.7702127659574468,0.3183896724166108,0.0,63.4485613999322
cargo_sensor_degradation,classic_centralized_global_mpc,Classic centralized global comms,4,2494.5,4.0,3760.0,0.6634042553191488,0.5127659574468085,0.0,3.5,39.72,0.551241134751773,0.2798904700500445,2967.5,0.5,0.48723404255319147,714.2884388770351,4.709439366765938,2.8296467153129523,0.5,0.5,1.0,5.67,10.614893617021277,2.4973700681329793,2.706382978723404,0.6574468085106383,0.209193081874015,2.9442857142857144,high,all_to_base_low_latency_required,baseline_classic_centralized_high_communication,centralized_controller_with_global_state_stream,classic,baseline,centralized,0,none,4,False,False,global_state_controller_sensitive_to_network,nan,0.6093353989165571,0.0,2,0.6157151637960149,0.3368714285714286,0.864790611279973,0.7696942826746943,0.7189716312056738,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.01276595744680851,135.02630003495142,-55.77041455060236,1.0,0.4323953056399865,0.0,0.8297872340425532,0.2662001229314421,0.0,72.01454908080851
monte_carlo,ours_connectivity_wrench_game,Ours connectivity-aware wrench game,1,1734.0,4.0,10222.0,0.9739361702127659,0.07659574468085106,0.0,18.0,42.0,0.1696341224809235,0.5919697819704935,7138.0,0.0,0.9234042553191489,844.5774939412283,1.8024562152833308,6.631883411654878,0.08415841584158412,0.9158415841584159,4.0,5.3999999999999995,7.378723404255319,-0.0713411512213868,4.642553191489362,0.4797872340425532,0.35125185622834204,2.17,low,local_wrench_residual_plus_link_quality_prices,proposed_model_based_decentralized_low_communication,distributed_wrench_game_with_connectivity_pressure,model_based,proposed,decentralized,0,model_based_tuning_optional,11,False,False,connectivity_aware_wrench_market_game,0.11499999946988665,nan,0.9211059684995855,1,0.40884508068164993,0.31965266309605594,0.0,0.0,0.6982977890823714,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.07659574468085106,952.9272000072524,-56.54460510204271,1.0,0.46055298424979274,0.0,0.8553191489361702,0.30377296476077753,0.0,92.5634258026024
monte_carlo,classic_decentralized_sensor_apf,Classic decentralized sensor APF,2,1318.0,2.0,7916.0,0.7702127659574468,0.13191489361702127,0.0,28.0,42.0,0.16649823143001516,0.5944551618997138,5488.0,0.03829787234042553,0.8680851063829788,235.9404623939045,97.1132181097835,11.888398461239847,0.1840796019900498,0.8159203980099502,6.0,4.859999999999999,5.608510638297872,-0.13044184859215047,5.340425531914893,0.3898936170212766,0.35229481714815,1.3114285714285714,low,local_sensing_only_optional_neighbor_beacons,baseline_classic_decentralized_low_communication,distributed_local_sensor_apf,classic,baseline,decentralized,0,none,3,False,False,local_sensor_apf_low_comm,0.11499999999999683,nan,0.9285309017223909,1,0.3884435045178017,0.31965266309605594,0.0,0.0,0.6932794340576048,1.0,"max transport-network score, max transport success/connectivity/sensor coverage, min collisions/outages/messages/runtime",0.0,540.4877999098971,-124.13644176188431,1.0,0.46426545086119547,0.0,0.6340425531914894,0.2849293543140843,0.0,26.738836749601063
