candidate_id,title,authors,year,venue,doi,review_mode,evidence_basis,source_pages_or_sections,tfm_axes,what_source_supports,what_source_does_not_support,confidence,human_verification_required,allowed_use,source_matrix_path,fulltext_local_path,source_sha256
CDE40EBBE4028,"1P2-S-030 Designing An Algorithm for Testing Object Caging Condition by Multiple Mobile Robots(Cooperation Control of Multi Robot,Mega-Integration in Robotics and Mechatronics to Assist Our Daily Lives)",ZhiDong Wang; Yasuhisa Hirata; Kazuhiro Kosuge,2005,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2005.124_4,agent_close_reading_fulltext,1-page local PDF; abstract/overview and structural term evidence,"p. 1, abstract/overview; Cooperate Task of Multiple Robots System",SP2 contact/caging; distributed object-closure test; formation,A distributed algorithm is presented for testing object-caging/object-closure conditions with multiple mobile robots; the paper reports a sufficient-and-necessary checking idea for an irregular object and a simulation demonstration.,"It does not establish coalition recruitment, heterogeneous capacities, wrench feasibility, transport control, traffic coordination, or a failure-replacement protocol.",medium,true,SP2 contact/caging prior art and a bounded motivation for explicit mechanical feasibility checks; do not use as evidence for integrated transport.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\CDE40EBBE4028\fulltext.pdf,a5b341cb7dc583a4f23549bf742609c60919277c8c1ba9854ca8d3e8303a072e
C20FBE73D7292,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,Farouq Zitouni; Saad Harous; Ramdane Maamri,2020,IEEE Access,10.1109/access.2020.2971585,agent_close_reading_fulltext,"16-page local PDF; abstract, algorithm, consensus phase, complexity/convergence discussion, and comparative simulations","pp. 1-3, 6, 8-13; Abstract; C. Consensus Phase; D. Analysis of the Approach; Experimental Setup",SP1 distributed allocation; local consensus; messages/makespan; navigation abstraction,"The CBBA-plus-ACS approach distributes bundle inclusion and conflict resolution among UAV agents and compares makespan, travelled distance, and exchanged messages in simulated search-and-rescue scenarios.","Its tasks are abstract survivor visits/navigation; it does not demonstrate multi-robot payload contact, heterogeneous wrench sharing, coalition lifting, or physical failure recovery. The reported convergence/near-optimality discussion is algorithm- and parameter-specific, not a global proof for the TFM mechanism.",high,true,SP1 distributed-allocation comparator and communication/makespan metric precedent; not a mechanical-transport baseline.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C20FBE73D7292\fulltext.pdf,a15eb244d2780988d689607f3d44862f46366c94b0d86b5eee1a02885c909dcb
CB157C72BD65E,A Distributed Task Allocation Algorithm for a Multi-Robot System in Healthcare Facilities,Gautham P. Das; T.M. McGinnity; Sonya Coleman; Laxmidhar Behera,2014,Journal of Intelligent & Robotic Systems,10.1007/s10846-014-0154-2,agent_close_reading_publisher_html,Publisher HTML page with abstract and structural metadata; detailed experimental claims remain access-limited,Abstract; A Distributed Task Allocation Algorithm,SP1 heterogeneous task allocation; auction/consensus; inter-robot communication,"The abstract describes CBPAE, a distributed auction-and-consensus procedure for heterogeneous robots, heterogeneous tasks, and priorities, with parallel auction/execution and conflict resolution through inter-robot communication.","The available local evidence does not support detailed numerical claims, mechanical transport, contact feasibility, coalition wrench allocation, or recovery after a robot failure.",medium,true,SP1 literature context for distributed auction/consensus; cite only abstract-level claims until the author verifies the full text.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\CB157C72BD65E\fulltext.html,d30e5f5c331c232d8d4a29d7cc906164c9e8d656f808053f5f3da10f10e183c9
CDEDC925F7B23,A Multi-Robots Task Allocation Algorithm Based on Relevance and Ability With Group Collaboration,Yanyan Han; Deshi Li; Jian Chen; Xiangguo Yang; Yuxi Hu; Guangmin Zhang,2010,International journal of intelligent engineering and systems,10.22266/ijies2010.0630.05,agent_close_reading_fulltext,"9-page local PDF; model, group-collaboration framework, task allocation, simulation, and failure/rescue passages","pp. 1-2, 4-7, 9; Model Assumption; Group Collaboration; Player/Stage simulation; agent-node failure/rescue discussion",SP1 group formation; ability/history relevance; SP2 failure signal,"TARARC uses robot ability and historical relevance to establish groups, includes an agent-node role and group collaboration, and discusses changes in agents plus a rescue strategy in a Player/Stage simulation setting.","It does not provide a mechanically grounded payload model, wrench/contact certificate, explicit heterogeneous-load capacity constraints, or an asynchronous recovery experiment comparable to the TFM protocol.",medium,true,"SP1 group-formation and failure-reconfiguration precedent; use the rescue description as a signal, not as evidence of equivalent recovery performance.",academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\CDEDC925F7B23\fulltext.pdf,100d71bf5fd585224e0c0a44a942492b4b86b15da385c81ab7cc8ccd44c227ed
CDB55CB433AE2,A Two-Level Clustered Consensus-Based Bundle Algorithm for Dynamic Heterogeneous Multi-UAV Multi-Task Allocation,Yichao Wang; Chunjiang Wang; Shuangyin Ren,2025,Sensors,10.3390/s25216738,agent_close_reading_publisher_html,Open-access publisher/PMC HTML abstract and conclusion-level text,Abstract; conclusion/future-work text,SP1 dynamic heterogeneous allocation; topology; communication efficiency,"The two-level clustered CBBA variant combines topology-centrality clustering with resource-balanced, distance-aware K-medoids, followed by local CBBA and inter-cluster coordination; the paper reports simulation comparisons using communication efficiency, task score, and runtime.","It does not establish physical payload transport, contact/wrench feasibility, AMR traffic with carried loads, or a failure-replacement law. Its larger-swarm and practical delay issues remain future-work limitations in the available text.",medium,true,"SP1 communication/topology and dynamic-allocation context; potential comparator for message/runtime measures, not for mechanics.",academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\CDB55CB433AE2\fulltext.html,21942cd3c9753e31f6e29c8ded17e2a9660a72f607186367d3a9d1bacf7b3a2b
C23A9081289BD,"A decentralized multi-agent unmanned aerial system to search, pick up, and relocate objects",Rik Bahnemann; Dominik Schindler; Mina Kamel; Roland Siegwart; Juan Nieto,2017,,10.1109/ssrr.2017.8088150,agent_close_reading_fulltext,"6-page local PDF; system description, decentralized exploration, object pickup/relocation, communication and robustness passages",pp. 1-6; Abstract; Multi-Robot Aerial Exploration; control/communication description; conclusion,SP2 execution; local communication; obstacle avoidance; failure-robustness signal,"A decentralized multi-UAV system searches, picks up, and relocates objects using local sensing/control, broadcast state, reactive collision avoidance, and a limited-bandwidth/failure-robustness discussion.","The three vehicles are identical and each independently handles objects; the paper does not show a coalition transporting one shared payload, heterogeneous capacity matching, contact-force sharing, or traffic coordination among carrying coalitions.",high,true,SP2 decentralized execution and communication/avoidance context; useful negative boundary for independent pickup versus cooperative payload transport.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C23A9081289BD\fulltext.pdf,0f7bdcf52452046207544f5a5c8f6f78f66ee501f073b5f201d8033811d2d4c6
C82AC458AF2EC,A kinematically compatible framework for cooperative payload transport by nonholonomic mobile manipulators,M. Abou-Samah; C. P. Tang; R. M. Bhatt; V. Krovi,2006,Autonomous Robots,10.1007/s10514-005-9717-9,agent_close_reading_publisher_html,Publisher HTML abstract/landing-page evidence; full article details are not locally available,Abstract,SP2 cooperative rigid-payload transport; nonholonomic kinematics; local accommodation,"The abstract describes two or more nonholonomic mobile manipulators with passive 2-DOF planar arms transporting a payload at their end effectors, with kinematic compatibility, leader-follower and decentralized variants, local sensing, and correction of relative configuration errors.","The available evidence does not support a claim about coalition recruitment, robot/cargo heterogeneity, wrench residual certification, traffic, or failure replacement; it is not evidence that the TFM's full SP1-SP3 integration has been solved.",medium,true,Primary SP2 physical-transport precedent and motivation for explicit kinematic/contact constraints; verify full article before detailed comparison.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C82AC458AF2EC\fulltext.html,fcc53321149e77ec706d4be9581cf6959427a357b72abbe3ff5b09ba70e110b0
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,Ashish Verma; Avinash Gautam; Ayan Dutta; Virendra Singh Shekhawat; Sudeept Mohan,2025,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-025-02287-4,agent_close_reading_fulltext,"20-page local PDF; abstract, coalition penalty/matching formulation, assumptions, and runtime analysis","pp. 1-2, 4, 6-7, 11, 18-19; Abstract; CF-HMRTA formulation; penalty function; runtime analysis; assumptions",SP1 heterogeneous coalition formation; skills; temporal constraints; scalability claim,"CF-HMRTA formulates heterogeneous multi-robot task allocation as bipartite graph matching with skill requirements and temporal constraints; the paper reports an O(|E|) worst-case complexity claim, perfect matching conditions, and simulations with large robot/task counts.","It does not provide physical payload/contact mechanics, wrench feasibility, distributed transport control, traffic coordination, or a verified failure-replacement experiment. Reported runtime and complexity are claims of that paper, not reproduced here.",high,true,"Closest SP1 coalition-formation comparator; use to position capability/constraint matching, while preserving the TFM distinction between strategic feasibility and mechanical feasibility.",academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C96F294D621AC\fulltext.pdf,1dfaa7aa74c915eae3f43d8ee209e8160e779285cfac9ea3869ce70d639ad8f8
C806A699E9EBB,Ant-like task allocation and recruitment in cooperative robots,Michael J. B. Krieger; Jean-Bernard Billeter; Laurent Keller,2000,Nature,10.1038/35023164,agent_close_reading_fulltext,"4-page local Nature PDF; abstract, experiments, recruitment and conclusion",pp. 1-4; abstract/introduction; experimental comparisons; conclusion,SP1 recruitment; decentralized threshold control; group-size effects,Ant-inspired decentralized threshold control recruits robot groups for foraging and item transport; the experiments vary group size and resource distribution and report effects of clustered versus uniform resources.,"The evidence does not cover heterogeneous robots or loads, explicit coalition capacity/wrench constraints, AMR collision-free traffic, or a replacement protocol after failures.",high,true,Foundational SP1 recruitment precedent and motivation for threshold-based local decisions; not a direct baseline for heterogeneous rigid-load transport.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C806A699E9EBB\fulltext.pdf,aa79b751f7a3739d38702e72daa2c82de83ad49e32eafc7774d9126e62bf367b
C06C41AFDC1F1,Anytime and Efficient Coalition Formation with Spatial and Temporal Constraints,Luca Capezzuto; Danesh Tarapore; Sarvapali D. Ramchurn,2020,Lecture notes in computer science,10.1007/978-3-030-66412-1_38,agent_close_reading_fulltext,"18-page local PDF; abstract, coalition-formation problem, spatial/temporal constraints, algorithm and evaluation passages","pp. 1-2, 5, 13-17; Introduction; Abstract; spatial/temporal coalition formulation; completion-time evaluation",SP1 coalition formation; spatial/temporal constraints; anytime optimization,The work treats coalition formation with spatial and temporal constraints and develops an anytime/efficient allocation formulation that can be used as prior art for constrained coalition selection.,"It does not establish physical contact, payload wrench feasibility, robot-motion execution, multi-coalition traffic, or fault recovery for carrying coalitions.",medium,true,SP1 constrained-coalition background and possible central formulation comparator; do not conflate allocation feasibility with mechanical feasibility.,academic-review/data/processed/fulltext_evidence_matrix.csv,data\fulltext\C06C41AFDC1F1\fulltext.pdf,296808c80e134149d73d36751fc162954ebf5cee9378f4aea643be800954ba70
