legacy_seed_id,authors,year,title,venue,doi,provenance,verification_status,notes
L001,"Pereira, G. A. S.; Campos, M. F. M.; Kumar, V.",2004,Decentralized algorithms for multi-robot manipulation via caging,International Journal of Robotics Research,10.1177/0278364904045477,legacy_review_reconstructed,unverified_seed,
L002,"Parker, L. E.; Tang, F.",2006,Building multirobot coalitions through automated task solution synthesis,Proceedings of the IEEE,10.1109/JPROC.2006.876933,legacy_review_reconstructed,unverified_seed,
L003,"Vig, L.; Adams, J. A.",2006,Market-based multi-robot coalition formation,DARS 7,10.1007/4-431-35881-1_23,legacy_review_reconstructed,unverified_seed,
L004,"Choi, H.-L.; Brunet, L.; How, J. P.",2009,Consensus-Based Decentralized Auctions for Robust Task Allocation,IEEE Transactions on Robotics,10.1109/TRO.2009.2022423,legacy_review_reconstructed,unverified_seed,
L005,"Service, T. C.; Adams, J. A.",2011,Coalition formation for task allocation: Theory and algorithms,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-010-9123-8,legacy_review_reconstructed,unverified_seed,
L006,"Chen, J.; Sun, D.",2012,Coalition-based approach to task allocation of multiple robots with resource constraints,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2012.2201470,legacy_review_reconstructed,unverified_seed,
L007,"Alonso-Mora, J.; Baker, S.; Rus, D.",2017,Multi-robot formation control and object transport in dynamic environments via constrained optimization,International Journal of Robotics Research,10.1177/0278364917719333,legacy_review_reconstructed,unverified_seed,
L008,"Jang, I.; Shin, H.-S.; Tsourdos, A.",2018,Anonymous Hedonic Game for Task Allocation in a Large-Scale Multiple Agent System,IEEE Transactions on Robotics,10.1109/TRO.2018.2858292,legacy_review_reconstructed,unverified_seed,
L009,"Machado, T.; et al.",2019,Attractor dynamics approach to joint transportation by autonomous robots,Autonomous Robots,10.1007/s10514-018-9729-2,legacy_review_reconstructed,unverified_seed,
L010,"Dutta, A.; Asaithambi, A.",2019,One-to-many bipartite matching based coalition formation for multi-robot task allocation,ICRA,10.1109/ICRA.2019.8793855,legacy_review_reconstructed,unverified_seed,
L011,"Verma, P.; et al.",2019,Loosely Coupled Payload Transport System with Robot Replacement,arXiv,,legacy_review_reconstructed,unverified_seed,Legacy review identifies arXiv:1904.03049; DOI not supplied in legacy principal-reference list.
L012,"Dutta, A.; et al.",2021,Distributed Hedonic Coalition Formation for Multi-Robot Task Allocation,IEEE CASE,10.1109/CASE49439.2021.9551582,legacy_review_reconstructed,unverified_seed,
L013,"Elaamery, B.; et al.",2021,Model Predictive Control for Cooperative Transportation with Feasibility-Aware Policy,Robotics,10.3390/robotics10030084,legacy_review_reconstructed,unverified_seed,
L014,"Shibata, K.; Jimbo, T.; Matsubara, T.",2023,Event-triggered communication and consensus-based control for distributed cooperative transport,Robotics and Autonomous Systems,10.1016/j.robot.2022.104307,legacy_review_reconstructed,unverified_seed,
L015,"Gong, Z.; et al.",2023,Design and control of a multi-mobile-robot cooperative transport system based on a novel six degree-of-freedom connector,ISA Transactions,10.1016/j.isatra.2023.04.006,legacy_review_reconstructed,unverified_seed,
L016,"Shibata, K.; Jimbo, T.; Matsubara, T.",2023,"Learning Locally, Communicating Globally: RL of MRTA for Cooperative Transport",IFAC-PapersOnLine,10.1016/j.ifacol.2023.10.431,legacy_review_reconstructed,unverified_seed,
L017,"Dai, W.; Bidwai, A.; Sartoretti, G.",2024,Dynamic Coalition Formation and Routing for MRTA via Reinforcement Learning,ICRA,10.1109/ICRA57147.2024.10611244,legacy_review_reconstructed,unverified_seed,
L018,"Ebel, H.; Rosenfelder, M.; Eberhard, P.",2024,Cooperative object transportation with differential-drive mobile robots,Robotics and Autonomous Systems,10.1016/j.robot.2023.104612,legacy_review_reconstructed,unverified_seed,
L019,"Huo, X.; et al.",2025,A Self-Learning Approach to Heterogeneous Multi-Robot Coalition Formation Under Uncertainty,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2024.3395283,legacy_review_reconstructed,unverified_seed,
L020,"Bezerra, L. C. D.; et al.",2025,Learning Policies for Dynamic Coalition Formation in MRTA,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3592080,legacy_review_reconstructed,unverified_seed,
L021,"Verma, A.; et al.",2025,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02287-4,legacy_review_reconstructed,unverified_seed,
L022,"Fukao, T.; et al.",2025,Cooperative transportation of an object with a nonholonomic constraint by a swarm robot,ROBOMECH Journal,10.1186/s40648-025-00308-3,legacy_review_reconstructed,unverified_seed,
L023,"Tian, Y.; et al.",2025,Multi-Robot Cooperative Transportation of Irregular Objects by Multi-Objective Optimization With Distributed Control,IEEE Robotics and Automation Letters,10.1109/LRA.2025.3597895,legacy_review_reconstructed,unverified_seed,
L024,"Diehl, G.; Adams, J. A.",2026,GRAPE-S: near real-time coalition formation for multiple service collectives,Autonomous Agents and Multi-Agent Systems,10.1007/s10458-026-09758-4,legacy_review_reconstructed,unverified_seed,
L025,"Bichler, J.; Matoses Gimenez, A.; Alonso-Mora, J.",2026,SADCHER,IEEE MRS,10.1109/MRS66243.2025.11357250,legacy_review_reconstructed,unverified_seed,
L026,"Muhammed, I.; Nada, A. A.; El-Hussieny, H.",2026,Real-time decentralized MPC for cooperative multi-robot object transport,Scientific Reports,10.1038/s41598-026-41881-w,legacy_review_reconstructed,unverified_seed,
L027,"Sahu, B.; Kumar, I.",2026,Cooperative Path Planning for Object Transportation with Fault Management,Automation,10.3390/automation7010001,legacy_review_reconstructed,unverified_seed,
L028,"Pandit, B.; Shrestha, A. K.; Fern, A.",2026,Multi-Quadruped Cooperative Object Transport: Learning Decentralized Pinch-Lift-Move,ICRA/arXiv,10.48550/arXiv.2509.14342,legacy_review_reconstructed,unverified_seed,
L029,"Eoh, G.; Park, S.",2021,Cooperative Object Transportation Using Curriculum-Based Deep Reinforcement Learning,Sensors,10.3390/s21144780,legacy_review_reconstructed,unverified_seed,
L030,"Rizzo, C.; Lagrana, A.; Serrano, D.",2020,GEOMOVE: Detached AGVs for Cooperative Transportation of Large and Heavy Loads in the Aeronautic Industry,ICARSC,10.1109/ICARSC49921.2020.9096078,legacy_review_reconstructed,unverified_seed,
L031,"Loh, C. C.; Traechtler, A.",2012,Cooperative Transportation of A Load Using Nonholonomic Mobile Robots,Procedia Engineering,10.1016/j.proeng.2012.07.255,legacy_review_reconstructed,unverified_seed,
L032,"Yufka, A.; Ozkan, M.",2015,Formation-Based Control Scheme for Cooperative Transportation by Multiple Mobile Robots,International Journal of Advanced Robotic Systems,10.5772/60972,legacy_review_reconstructed,unverified_seed,
