component,author_count,distinct_papers,representative_authors,all_exact_author_strings
1,7,6,Sarvapali D. Ramchurn; Alessandro Farinelli; Danesh Tarapore; Daniele Nardi,Alessandro Farinelli; Danesh Tarapore; Daniele Nardi; Luca Capezzuto; Luca Iocchi; Nicholas R. Jennings; Sarvapali D. Ramchurn
2,4,6,Lynne E. Parker; Daniela Rus; Gaurav S. Sukhatme; Javier Alonso–Mora,Daniela Rus; Gaurav S. Sukhatme; Javier Alonso–Mora; Lynne E. Parker
3,3,6,Farouq Zitouni; Ramdane Maamri; Saad Harous,Farouq Zitouni; Ramdane Maamri; Saad Harous
4,4,3,Dimitri Lefebvre; Edouard Leclercq; F. Guérin; Hamza Chakraa,Dimitri Lefebvre; Edouard Leclercq; F. Guérin; Hamza Chakraa
5,3,3,Karl Tuyls; Daniel Claes; Daniel Hennes,Daniel Claes; Daniel Hennes; Karl Tuyls
6,4,2,Alejandro Toro-Ossaba; Alexandro López-González; E. G. Hernández-Martínez; Juan C. Tejada,Alejandro Toro-Ossaba; Alexandro López-González; E. G. Hernández-Martínez; Juan C. Tejada
7,4,2,Huimin Lu; Junhao Xiao; Wei Dai; Zhiqiang Zheng,Huimin Lu; Junhao Xiao; Wei Dai; Zhiqiang Zheng
8,3,2,Craig A. Tovey; Pınar Keskinocak; Sven Koenig,Craig A. Tovey; Pınar Keskinocak; Sven Koenig
9,3,2,Fabio Sgarbossa; Giuseppe Fragapane; Jan Ola Strandhagen,Fabio Sgarbossa; Giuseppe Fragapane; Jan Ola Strandhagen
10,3,2,"Ferreira, Barbara Arbanas; Stjepan Bogdan; Tamara Petrović","Ferreira, Barbara Arbanas; Stjepan Bogdan; Tamara Petrović"
11,3,2,Guanrong Chen; Ming Cao; Wenwu Yu,Guanrong Chen; Ming Cao; Wenwu Yu
