author_left,author_right,coauthored_paper_count
Alejandro Toro-Ossaba,Alexandro López-González,2
Alejandro Toro-Ossaba,E. G. Hernández-Martínez,2
Alejandro Toro-Ossaba,Juan C. Tejada,2
Alessandro Farinelli,Daniele Nardi,1
Alessandro Farinelli,Luca Iocchi,1
Alessandro Farinelli,Nicholas R. Jennings,1
Alessandro Farinelli,Sarvapali D. Ramchurn,1
Craig A. Tovey,Pınar Keskinocak,2
Craig A. Tovey,Sven Koenig,2
Daniel Claes,Daniel Hennes,1
Daniel Claes,Karl Tuyls,2
Daniel Hennes,Karl Tuyls,2
Daniela Rus,Gaurav S. Sukhatme,1
Daniela Rus,Lynne E. Parker,1
Daniele Nardi,Luca Iocchi,2
Dimitri Lefebvre,Edouard Leclercq,3
Alexandro López-González,E. G. Hernández-Martínez,2
E. G. Hernández-Martínez,Juan C. Tejada,2
Dimitri Lefebvre,F. Guérin,3
Edouard Leclercq,F. Guérin,3
Fabio Sgarbossa,Giuseppe Fragapane,2
Fabio Sgarbossa,Jan Ola Strandhagen,2
Farouq Zitouni,Ramdane Maamri,6
Farouq Zitouni,Saad Harous,4
"Ferreira, Barbara Arbanas",Tamara Petrović,2
Giuseppe Fragapane,Jan Ola Strandhagen,2
Guanrong Chen,Wenwu Yu,2
Dimitri Lefebvre,Hamza Chakraa,3
Edouard Leclercq,Hamza Chakraa,3
F. Guérin,Hamza Chakraa,3
Huimin Lu,Junhao Xiao,2
Huimin Lu,Zhiqiang Zheng,2
Daniela Rus,Javier Alonso–Mora,1
Alexandro López-González,Juan C. Tejada,2
Danesh Tarapore,Luca Capezzuto,2
Luca Capezzuto,Sarvapali D. Ramchurn,2
Gaurav S. Sukhatme,Lynne E. Parker,1
Guanrong Chen,Ming Cao,2
Ming Cao,Wenwu Yu,2
Ramdane Maamri,Saad Harous,4
Danesh Tarapore,Sarvapali D. Ramchurn,2
Nicholas R. Jennings,Sarvapali D. Ramchurn,1
"Ferreira, Barbara Arbanas",Stjepan Bogdan,2
Stjepan Bogdan,Tamara Petrović,2
Pınar Keskinocak,Sven Koenig,2
Huimin Lu,Wei Dai,2
Junhao Xiao,Wei Dai,2
Wei Dai,Zhiqiang Zheng,2
Junhao Xiao,Zhiqiang Zheng,2
