author,paper_count,component
Alejandro Toro-Ossaba,2,6
Alessandro Farinelli,2,1
Alexandro López-González,2,6
Craig A. Tovey,2,8
Danesh Tarapore,2,1
Daniel Claes,2,5
Daniel Hennes,2,5
Daniela Rus,2,2
Daniele Nardi,2,1
Dimitri Lefebvre,3,4
E. G. Hernández-Martínez,2,6
Edouard Leclercq,3,4
F. Guérin,3,4
Fabio Sgarbossa,2,9
Farouq Zitouni,6,3
"Ferreira, Barbara Arbanas",2,10
Gaurav S. Sukhatme,2,2
Giuseppe Fragapane,2,9
Guanrong Chen,2,11
Hamza Chakraa,3,4
Huimin Lu,2,7
Jan Ola Strandhagen,2,9
Javier Alonso–Mora,2,2
Juan C. Tejada,2,6
Junhao Xiao,2,7
Karl Tuyls,3,5
Luca Capezzuto,2,1
Luca Iocchi,2,1
Lynne E. Parker,3,2
Ming Cao,2,11
Nicholas R. Jennings,2,1
Pınar Keskinocak,2,8
Ramdane Maamri,6,3
Saad Harous,4,3
Sarvapali D. Ramchurn,3,1
Stjepan Bogdan,2,10
Sven Koenig,2,8
Tamara Petrović,2,10
Wei Dai,2,7
Wenwu Yu,2,11
Zhiqiang Zheng,2,7
