topic_left,topic_right,cooccurring_paper_count,association_strength
SP1_coalition_allocation,SP3_planning_traffic,10,0.208514
SP1_coalition_allocation,TRANSVERSAL_resilience_communication,41,0.430151
SP1_coalition_allocation,aerial_uav,20,0.358921
SP1_coalition_allocation,auction_market,34,0.501303
SP1_coalition_allocation,behavior_swarm,7,0.206419
SP1_coalition_allocation,consensus_distributed,29,0.343442
SP1_coalition_allocation,construction_agriculture,5,0.140580
SP1_coalition_allocation,evolutionary_metaheuristic,23,0.428952
SP1_coalition_allocation,exact_optimization,6,0.197814
SP1_coalition_allocation,learning_based,7,0.117238
SP1_coalition_allocation,safety_reactive,2,0.062167
SP1_coalition_allocation,search_rescue_exploration,16,0.259725
SP1_coalition_allocation,underwater_marine,3,0.114208
SP1_coalition_allocation,SP2_physical_transport,2,0.048154
SP2_physical_transport,TRANSVERSAL_resilience_communication,3,0.087149
SP2_physical_transport,consensus_distributed,4,0.131165
SP2_physical_transport,cooperative_transport_manipulation,11,0.759072
SP2_physical_transport,force_impedance_control,2,0.365148
SP2_physical_transport,formation_control,4,0.243432
SP3_planning_traffic,TRANSVERSAL_resilience_communication,8,0.201262
SP3_planning_traffic,aerial_uav,2,0.086066
SP3_planning_traffic,auction_market,5,0.176777
SP3_planning_traffic,consensus_distributed,6,0.170389
SP3_planning_traffic,formation_control,3,0.158114
SP3_planning_traffic,learning_based,6,0.240966
SP3_planning_traffic,search_rescue_exploration,4,0.155700
TRANSVERSAL_resilience_communication,aerial_uav,14,0.303133
TRANSVERSAL_resilience_communication,auction_market,12,0.213470
TRANSVERSAL_resilience_communication,behavior_swarm,5,0.177892
TRANSVERSAL_resilience_communication,consensus_distributed,32,0.457236
TRANSVERSAL_resilience_communication,construction_agriculture,4,0.135691
TRANSVERSAL_resilience_communication,exact_optimization,2,0.079556
TRANSVERSAL_resilience_communication,search_rescue_exploration,15,0.293779
TRANSVERSAL_resilience_communication,underwater_marine,5,0.229658
aerial_uav,consensus_distributed,8,0.195529
aerial_uav,construction_agriculture,2,0.116052
aerial_uav,search_rescue_exploration,6,0.201008
aerial_uav,auction_market,7,0.213003
auction_market,consensus_distributed,18,0.361449
auction_market,construction_agriculture,2,0.095346
auction_market,exact_optimization,2,0.111803
auction_market,search_rescue_exploration,8,0.220193
behavior_swarm,consensus_distributed,2,0.080322
consensus_distributed,construction_agriculture,3,0.114876
consensus_distributed,exact_optimization,2,0.089803
consensus_distributed,underwater_marine,2,0.103695
SP1_coalition_allocation,cooperative_transport_manipulation,2,0.049844
TRANSVERSAL_resilience_communication,cooperative_transport_manipulation,5,0.150346
consensus_distributed,cooperative_transport_manipulation,5,0.169711
cooperative_transport_manipulation,formation_control,4,0.251976
cooperative_transport_manipulation,search_rescue_exploration,2,0.093048
SP3_planning_traffic,evolutionary_metaheuristic,5,0.223607
TRANSVERSAL_resilience_communication,evolutionary_metaheuristic,8,0.180014
aerial_uav,evolutionary_metaheuristic,4,0.153960
auction_market,evolutionary_metaheuristic,3,0.094868
consensus_distributed,evolutionary_metaheuristic,5,0.127000
construction_agriculture,evolutionary_metaheuristic,2,0.120605
evolutionary_metaheuristic,exact_optimization,3,0.212132
evolutionary_metaheuristic,search_rescue_exploration,4,0.139262
TRANSVERSAL_resilience_communication,formation_control,7,0.185630
aerial_uav,formation_control,3,0.136083
consensus_distributed,formation_control,8,0.239474
formation_control,learning_based,3,0.127000
formation_control,search_rescue_exploration,2,0.082061
SP1_coalition_allocation,game_theoretic,6,0.186501
TRANSVERSAL_resilience_communication,game_theoretic,2,0.075006
consensus_distributed,game_theoretic,2,0.084667
game_theoretic,learning_based,2,0.119737
TRANSVERSAL_resilience_communication,learning_based,16,0.323315
aerial_uav,learning_based,2,0.069130
consensus_distributed,learning_based,11,0.250909
construction_agriculture,learning_based,2,0.108306
learning_based,search_rescue_exploration,8,0.250122
SP3_planning_traffic,safety_reactive,7,0.521749
TRANSVERSAL_resilience_communication,safety_reactive,2,0.075006
formation_control,safety_reactive,3,0.235702
learning_based,safety_reactive,4,0.239474
behavior_swarm,search_rescue_exploration,2,0.110096
consensus_distributed,search_rescue_exploration,8,0.176863
construction_agriculture,search_rescue_exploration,3,0.157459
search_rescue_exploration,underwater_marine,4,0.284268
SP1_coalition_allocation,warehouse_logistics,6,0.131876
SP3_planning_traffic,warehouse_logistics,4,0.210819
TRANSVERSAL_resilience_communication,warehouse_logistics,7,0.185630
auction_market,warehouse_logistics,2,0.074536
consensus_distributed,warehouse_logistics,5,0.149671
evolutionary_metaheuristic,warehouse_logistics,2,0.094281
formation_control,warehouse_logistics,2,0.111111
learning_based,warehouse_logistics,4,0.169334
search_rescue_exploration,warehouse_logistics,3,0.123091
