year,window_start,window_end,documents_in_window,normalized_shannon_diversity
1979,1977,1979,1,-0.000000
1980,1978,1980,1,-0.000000
1981,1979,1981,1,-0.000000
1982,1980,1982,0,
1983,1981,1983,0,
1984,1982,1984,0,
1985,1983,1985,0,
1986,1984,1986,0,
1987,1985,1987,0,
1988,1986,1988,1,-0.000000
1989,1987,1989,1,-0.000000
1990,1988,1990,1,-0.000000
1991,1989,1991,0,
1992,1990,1992,0,
1993,1991,1993,0,
1994,1992,1994,0,
1995,1993,1995,0,
1996,1994,1996,1,-0.000000
1997,1995,1997,2,0.534311
1998,1996,1998,2,0.534311
1999,1997,1999,2,0.534311
2000,1998,2000,2,0.356207
2001,1999,2001,2,0.356207
2002,2000,2002,4,0.534311
2003,2001,2003,5,0.636298
2004,2002,2004,7,0.634828
2005,2003,2005,8,0.859954
2006,2004,2006,8,0.854683
2007,2005,2007,9,0.733364
2008,2006,2008,9,0.574120
2009,2007,2009,9,0.666931
2010,2008,2010,13,0.721969
2011,2009,2011,15,0.719398
2012,2010,2012,19,0.551611
2013,2011,2013,19,0.465173
2014,2012,2014,18,0.499237
2015,2013,2015,22,0.661856
2016,2014,2016,21,0.747909
2017,2015,2017,28,0.655986
2018,2016,2018,31,0.778141
2019,2017,2019,41,0.762878
2020,2018,2020,45,0.827526
2021,2019,2021,54,0.764873
2022,2020,2022,50,0.804166
2023,2021,2023,50,0.790503
2024,2022,2024,37,0.797765
2025,2023,2025,44,0.822586
2026,2024,2026,61,0.886021
