period,family,weighted_paper_count,period_denominator,period_share
<=2010,Coalition / MRTA,13.166667,35,0.376190
<=2010,Transport / control,3.166667,35,0.090476
<=2010,Planning / routing,1.000000,35,0.028571
<=2010,Feasibility / contact,2.166667,35,0.061905
<=2010,Recovery / replacement,3.166667,35,0.090476
<=2010,Learning / RL,0.500000,35,0.014286
<=2010,Foundational / survey,11.833333,35,0.338095
2011-2016,Coalition / MRTA,18.000000,40,0.450000
2011-2016,Transport / control,1.000000,40,0.025000
2011-2016,Planning / routing,1.833333,40,0.045833
2011-2016,Feasibility / contact,1.000000,40,0.025000
2011-2016,Recovery / replacement,2.000000,40,0.050000
2011-2016,Learning / RL,0.833333,40,0.020833
2011-2016,Foundational / survey,15.333333,40,0.383333
2017-2021,Coalition / MRTA,32.583333,79,0.412447
2017-2021,Transport / control,4.250000,79,0.053797
2017-2021,Planning / routing,4.916667,79,0.062236
2017-2021,Feasibility / contact,2.000000,79,0.025316
2017-2021,Recovery / replacement,3.333333,79,0.042194
2017-2021,Learning / RL,9.166667,79,0.116034
2017-2021,Foundational / survey,22.750000,79,0.287975
2022-2026,Coalition / MRTA,28.166667,89,0.316479
2022-2026,Transport / control,7.750000,89,0.087079
2022-2026,Planning / routing,3.916667,89,0.044007
2022-2026,Feasibility / contact,7.750000,89,0.087079
2022-2026,Recovery / replacement,5.666667,89,0.063670
2022-2026,Learning / RL,6.833333,89,0.076779
2022-2026,Foundational / survey,28.916667,89,0.324906
