category,period,paper_count,period_denominator,period_share
aerial_uav,<=2010,2,35,0.057
aerial_uav,2011-2016,4,40,0.100
aerial_uav,2017-2021,7,79,0.089
aerial_uav,2022-2026,14,89,0.157
aerial_uav,unknown,0,1,0.000
construction_agriculture,<=2010,1,35,0.029
construction_agriculture,2011-2016,1,40,0.025
construction_agriculture,2017-2021,2,79,0.025
construction_agriculture,2022-2026,7,89,0.079
construction_agriculture,unknown,0,1,0.000
cooperative_transport_manipulation,<=2010,3,35,0.086
cooperative_transport_manipulation,2011-2016,1,40,0.025
cooperative_transport_manipulation,2017-2021,5,79,0.063
cooperative_transport_manipulation,2022-2026,5,89,0.056
cooperative_transport_manipulation,unknown,0,1,0.000
search_rescue_exploration,<=2010,5,35,0.143
search_rescue_exploration,2011-2016,7,40,0.175
search_rescue_exploration,2017-2021,12,79,0.152
search_rescue_exploration,2022-2026,9,89,0.101
search_rescue_exploration,unknown,0,1,0.000
underwater_marine,<=2010,0,35,0.000
underwater_marine,2011-2016,1,40,0.025
underwater_marine,2017-2021,3,79,0.038
underwater_marine,2022-2026,2,89,0.022
underwater_marine,unknown,0,1,0.000
warehouse_logistics,<=2010,0,35,0.000
warehouse_logistics,2011-2016,0,40,0.000
warehouse_logistics,2017-2021,4,79,0.051
warehouse_logistics,2022-2026,14,89,0.157
warehouse_logistics,unknown,0,1,0.000
