v3_registry_id,identity_key,candidate_ids,title,authors,year,venue,doi,abstract,document_type,discovery_origins,provenance_sources,provenance_queries,legacy_screening_decisions,legacy_fulltext_status,legacy_evidence_status,metadata_status,v3_screening_status,v3_screening_reason,v3_allowed_use,duplicate_alias_count
CC1D67BBE1EA7,candidate:CC1D67BBE1EA7,CC1D67BBE1EA7,,,,Digital Academic REpository of VU University Amsterdam (Vrije Universiteit Amsterdam),,,other,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C3B94FFBD89AD,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CCE5406D224AF,doi:10.1016/0967-0661(94)90651-3,CCE5406D224AF,069 Work space dynamic control of a mobile robot using range and contact force sensing,,1994,Control Engineering Practice,10.1016/0967-0661(94)90651-3,,journal-article,historical_seed;v3_open_discovery,crossref,Q3_physical_certificate;Q14_force_wrench;F08:foundational,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,1
C4F52459AAEDC,doi:10.1137/1.9780898718515.ch1,C4F52459AAEDC,1. An Overview of Vehicle Routing Problems,Paolo Toth; Daniele Vigo,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch1,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7158323BD361,doi:10.1016/0967-0661(94)90542-8,C7158323BD361,190 A new decentralized adaptive controller for robot manipulators,,1994,Control Engineering Practice,10.1016/0967-0661(94)90542-8,,,v3_open_discovery,crossref,F10:foundational,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C859A0E293C27,doi:10.1299/jsmermd.2008._1a1-d24_1,C859A0E293C27,1A1-D24 Coordination without Direct Communication in Multiple Mobile Robot System under Obstructed Environments,Ya-Chun Chang; Yoshio Yamamoto,2008,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2008._1a1-d24_1,,,v3_open_discovery,crossref,F14:primary,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CDE40EBBE4028,doi:10.1299/jsmermd.2005.124_4,CDE40EBBE4028,"1P2-S-030 Designing An Algorithm for Testing Object Caging Condition by Multiple Mobile Robots(Cooperation Control of Multi Robot,Mega-Integration in Robotics and Mechatronics to Assist Our Daily Lives)",ZhiDong Wang; Yasuhisa Hirata; Kazuhiro Kosuge,2005,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2005.124_4,,journal-article,historical_seed,crossref,Q3_physical_certificate,include_fulltext,acquired_pdf,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CCF9645B83E00,doi:10.1287/trsc.33.1.101,CCF9645B83E00,2-Path Cuts for the Vehicle Routing Problem with Time Windows,Niklas Kohl; Jacques Desrosiers; Oli B.G. Madsen; Marius M. Solomon; François Soumis,1999,Transportation Science,10.1287/trsc.33.1.101,,article,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C46EDCCD76731,doi:10.11509/isciesci.44.9_543,C46EDCCD76731,2000 IEEE International Conference on Robotics and Automation,八木 康史,2000,システム/制御/情報 : システム制御情報学会誌,10.11509/isciesci.44.9_543,,article,historical_seed,openalex;openalex_snowball,SB_B_C8620A2DF94BF,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C873F02CB0F82,doi:10.11509/isciesci.45.12_737,C873F02CB0F82,2001 American Control Conference,向谷 博明,2001,システム/制御/情報 : システム制御情報学会誌,10.11509/isciesci.45.12_737,,article,historical_seed,openalex;openalex_snowball;stage1c_recall,SB_B_C75DFD0C9D1EF,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7931B4CE3EA4,doi:10.1109/icra40945.2020,C7931B4CE3EA4,2020 IEEE International Conference on Robotics and Automation (ICRA),,2020,,10.1109/icra40945.2020,,paratext,historical_seed,openalex;openalex_snowball,SB_B_C8620A2DF94BF,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C31CAD487CAD1,doi:10.1109/msmc.2020.2973440,C31CAD487CAD1,"2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC 2020)",,2020,IEEE Systems Man and Cybernetics Magazine,10.1109/msmc.2020.2973440,,article,historical_seed,openalex;openalex_snowball,SB_B_C1E34C4925F5C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
