theme_combination,paper_count
CONTEXT_other,72
SP1_coalition_allocation,69
SP1_coalition_allocation;TRANSVERSAL_resilience_communication,34
TRANSVERSAL_resilience_communication,34
SP2_physical_transport,12
SP3_planning_traffic,7
SP1_coalition_allocation;SP3_planning_traffic;TRANSVERSAL_resilience_communication,5
SP1_coalition_allocation;SP3_planning_traffic,5
SP3_planning_traffic;TRANSVERSAL_resilience_communication,3
SP1_coalition_allocation;SP2_physical_transport;TRANSVERSAL_resilience_communication,2
SP2_physical_transport;TRANSVERSAL_resilience_communication,1
