author,paper_count
Farouq Zitouni,6
Ramdane Maamri,6
Saad Harous,4
Ayan Dutta,3
Julie A. Adams,3
Sarvapali D. Ramchurn,3
Hamza Chakraa,3
F. Guérin,3
Edouard Leclercq,3
Dimitri Lefebvre,3
Lantao Liu,3
Dylan A. Shell,3
Karl Tuyls,3
Lynne E. Parker,3
Elizabeth Sklar,3
Jonathan P. How,3
Shaokun Yan,2
Lovekesh Vig,2
Alessandro Farinelli,2
Nicholas R. Jennings,2
Luca Capezzuto,2
Danesh Tarapore,2
Ajay Shankar,2
Amanda Prorok,2
Javier Alonso–Mora,2
Reid Simmons,2
Sanjiv Singh,2
Zhi Yan,2
Nicolas Jouandeau,2
Daniel Hennes,2
Giuseppe Fragapane,2
Fabio Sgarbossa,2
Jan Ola Strandhagen,2
Juan C. Tejada,2
Alejandro Toro-Ossaba,2
Alexandro López-González,2
E. G. Hernández-Martínez,2
Kai Zhang,2
Emmanuel G. Collins,2
Wei Dai,2
Huimin Lu,2
Junhao Xiao,2
Zhiqiang Zheng,2
Javier García Martín,2
Eduardo F. Camacho,2
Helen Harman,2
Qi Zhang,2
Yue Wang,2
Gaurav S. Sukhatme,2
Vijay Kumar,2
Francesco Amigoni,2
Alberto Quattrini Li,2
Sameera Ponda,2
Jeeseop Kim,2
Aaron D. Ames,2
Luca Iocchi,2
Daniele Nardi,2
Youdan Kim,2
Han‐Lim Choi,2
"Ferreira, Barbara Arbanas",2
Tamara Petrović,2
Stjepan Bogdan,2
Pınar Keskinocak,2
Sven Koenig,2
Craig A. Tovey,2
Daniela Rus,2
Daniel Claes,2
Wenwu Yu,2
Guanrong Chen,2
Ming Cao,2
Jakub Pizoń,2
Arkadiusz Gola,2
Elio Tuci,1
Muhanad H. M. Alkilabi,1
Otar Akanyeti,1
"Varghese, T. Glace",1
"Kochuvila, Sreeja",1
"Kumar, Navin",1
"Prasad, R. R. Venkatesha",1
"Adil, Afnan Ahmed",1
"Sakhrieh, Saber",1
"Mounsef, Jinane",1
"Maalouf, Noel",1
Suaib Al Mahmud,1
Azhar Mohd Ibrahim,1
Mazbahur Rahman Khan,1
"Galati, Giada",1
"Primatesta, Stefano",1
"Rizzo, Alessandro",1
Ashish Verma,1
Avinash Gautam,1
Virendra Singh Shekhawat,1
Sudeept Mohan,1
Jingxiang Feng,1
Peng Chang,1
Petra Mazdin,1
Bernhard Rinner,1
Xing An,1
Celimuge Wu,1
Yangfei Lin,1
Min Lin,1
Tsutomu Yoshinaga,1
Yusheng Ji,1
P. P. Shenoy,1
M. Abou-Samah,1
C. P. Tang,1
R. M. Bhatt,1
V. Krovi,1
"Vig, Lovekesh",1
"Adams, Julie A.",1
Maria Polukarov,1
Cuong Truong,1
Michael Hoy,1
Alexey S. Matveev,1
Andrey V. Savkin,1
"Hichri, B.",1
"Adouane, L.",1
"Fauroux, J. -C.",1
"Mezouar, Y.",1
"Doroftei, I.",1
"Guerrero, Jose",1
"Oliver, Gabriel",1
"Valero, Oscar",1
Anton Dukeman,1
Randa Almadhoun,1
Tarek Taha,1
Lakmal Seneviratne,1
Yahya Zweiri,1
"Rauniyar, Amit",1
"Muhuri, Pranab K.",1
Lin Zhang,1
Yufeng Sun,1
Andrew Barth,1
Ou Ma,1
Roger Pi,1
Patryk Cieśląk,1
Pere Ridao,1
Pedro J. Sanz,1
Carlo Masone,1
Paolo Stegagno,1
George Marios Skaltsis,1
Hyo‐Sang Shin,1
Antonios Tsourdos,1
Chuang Huang,1
Hao Zhang,1
Zhuping Wang,1
Russell Keith,1
Hung Manh La,1
Brenden Latham,1
Vladimir Ufimtsev,1
Ahmed M. Elsayed,1
Mohamed Elshalakani,1
Sherif Ali Hammad,1
Shady Ahmed Maged,1
Yuto Fukao,1
Tatsuro Terakawa,1
Takahiro Endo,1
Fumitoshi Matsuno,1
Yoshihiro Morimoto,1
Takumi Koshimoto,1
Daisuke Mizuno,1
"Hamidoglu, Ali",1
"Elghirani, Ali",1
"Gul, Omer Melih",1
"Kadry, Seifedine",1
Ibrahim Muhammed,1
Ayman A. Nada,1
Haitham El-Hussieny,1
Marco De Simone,1
Marco Costanzo,1
Giuseppe De Maria,1
Ciro Natale,1
Xi Tao,1
José-Fernán Martínez-Ortega,1
Néstor Lucas-Martínez,1
Mario San-Emeterio-de-la-Parte,1
"Das, Gautham P.",1
"McGinnity, Thomas M.",1
"Coleman, Sonya A.",1
"Behera, Laxmidhar",1
Janardan Kumar Verma,1
Virender Ranga,1
Jennifer Gielis,1
Jie Song,1
Yang Bai,1
Naoki Wakamiya,1
Zhe Chen,1
Xiaoshan Bai,1
Daniel Harabor,1
Peter J. Stuckey,1
Liang Liu,1
Qian Luo,1
Zhe Huang,1
David Hershberger,1
Josué J. G. Ramos,1
Trey Smith,1
"Nath, Amar",1
"Arun, A. R.",1
"Niyogi, Rajdeep",1
Eduardo Feo Flushing,1
Luca Maria Gambardella,1
Gianni A. Di,1
"Verma, Ashish",1
"Gautam, Avinash",1
"Duhan, Tanishq",1
"Shekhawat, V. S.",1
"Mohan, Sudeept",1
H M Zhang,1
Shengkang Chen,1
Ziyi Xia,1
Huan Yin,1
Fumin Zhang,1
Arab Ali Chérif,1
Nathan Michael,1
Daan Bloembergen,1
Michael Kaisers,1
Zool Hilmi Ismail,1
Nohaidda Sariff,1
Abdollah Amirkhani,1
Amir Hossein Barshooi,1
René de Koster,1
James Orr,1
Wai Lun Leong,1
Jiawei Cao,1
Rodney Teo,1
Daniel Sanín-Villa,1
Mohamad Abdul Hady,1
Siyi Hu,1
Mahardhika Pratama,1
Zehong Cao,1
Ryszard Kowalczyk,1
Riwa Karam,1
Alexander A. Nguyen,1
Ruoyu Lin,1
David R. Martin,1
Diana Morales,1
Brooks A. Butler,1
Magnus Egerstedt,1
ZhiDong Wang,1
Yasuhisa Hirata,1
Kazuhiro Kosuge,1
Dongqing Shi,1
Xiuwen Liu,1
Oscar Chuy,1
Yanyan Han,1
Deshi Li,1
Jian Chen,1
Xiangguo Yang,1
Yuxi Hu,1
Guangmin Zhang,1
Alaa Khamis,1
Ahmed Elmogy,1
Fakhri Karray,1
Gabriel Oliver,1
José Guerrero,1
Yu Zhang,1
Arne Brutschy,1
Giovanni Pini,1
Carlo Pinciroli,1
Mauro Birattari,1
Marco Dorigo,1
"Keshmiri, Soheil",1
"Payandeh, Shahram",1
Rongxin Cui,1
Guo Ji,1
Bo Gao,1
Min-Hyuk Kim,1
Hyeoncheol Baik,1
Seokcheon Lee,1
Anshul Kanakia,1
Behrouz Touri,1
Nikolaus Correll,1
Danfeng Wu,1
Guangping Zeng,1
Ling‐Guo Meng,1
Weijian Zhou,1
Linmin Li,1
Eric Schneider,1
Simon Parsons,1
Andrew W. Palmer,1
Andrew J. Hill,1
Steven J. Scheding,1
Zhiwen Zeng,1
Hongguang Zhang,1
Han Luo,1
Zan Wang,1
Yuhong Liu,1
Yuanan Liu,1
Esther Bischoff,1
Fabian Meyer,1
Jairo Inga,1
Sören Hohmann,1
Vera A. Kazakova,1
Gita Sukthankar,1
José Ramón D. Frejo,1
Ramón Albajes García,1
Itshak Tkach,1
Sofia Amador,1
"Lindsay, Nathan",1
"Buehling, Russell K.",1
"Sun, Liang",1
Matthias De Ryck,1
Davy Pissoort,1
Tom Holvoet,1
Eric Demeester,1
Reza Javanmard Alitappeh,1
Kossar Jeddisaravi,1
Haris Aziz,1
Arindam Pal,1
Ali Pourmiri,1
Fahimeh Ramezani,1
Brendan Sims,1
Shengli Wang,1
Youjiang Liu,1
Yongtao Qiu,1
Feixiang Huo,1
Yafan Huangfu,1
Chun Yang,1
Jie Zhou,1
Libo Sun,1
Jiahui Yan,1
Yongchun Qiu,1
Wenhu Qin,1
"Tan, Sicheng",1
"Zhang, Bo",1
"Xi, Runhao",1
"Pan, Jian",1
"Xiao, Bowen",1
María A. López-Quintero,1
David Rozo-Osorio,1
Mario Góngora,1
Isis Bonet Cruz,1
Tatiana M. B. Santos,1
Milena F. Pinto,1
Gabrielle O. Timotheo,1
Iago Z. Biundini,1
C. L.,1
Leonardo de Mello Honório,1
Esteban Clua,1
Fuhan Yan,1
Yang Wang,1
Yiwen Liang,1
Yifei Li,1
Yuang Sheng,1
Huizhen Yang,1
Jie Yang,1
Qiang Wang,1
Junfeng Fan,1
Yuchen Lin,1
Xuefeng Gao,1
Junkai Yi,1
Hao Tan,1
Lingling Tan,1
Zhen Liu,1
"Mendoza-Robles, Natalio",1
"Namigtle-Jimenez, Alfredo",1
"Susbielle, Pierre",1
