path,bytes,sha256,encoding,record_count_estimate,modified_utc,audited_utc
inputs\legacy\legacy_review_reconstructed.md,3381,a6857411e3dd8fda4423f59c257f63135876d1a0263f02bca625a6740da345aa,utf-8-sig,,2026-09-12T21:21:14+00:00,2026-09-13T22:56:53.017167+00:00
inputs\legacy\legacy_seed_references.csv,7051,d3d2cdba950649db89582e525b3c1df991e2a55b0757e3902973d70c17984051,utf-8-sig,32,2026-09-12T21:21:36+00:00,2026-09-13T22:56:53.017167+00:00
inputs\legacy\tfm_scope_contract.md,3019,d6501377c3eced4c4b6a68859bb02f0401bfdcfef4a7bd9da0205e9c4f2d0ac5,utf-8-sig,,2026-09-12T21:21:14+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F01_primary_wos_plaintext_full_record_cited_references.txt,273617,fe113a792181e582af1b7bd3d05d6c4a303e654ddaf83226b1ae7e05bce46bea,utf-8-sig,4399,2026-09-13T22:31:13.384395+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F02_primary_wos_plaintext_full_record_cited_references.txt,233752,2fb8a62156d0b6f9f788fe355e0cf3e57965660fd8b80b7341bfd022f56c588d,utf-8-sig,3934,2026-09-13T22:29:57.072535+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F03_primary_wos_plaintext_full_record_cited_references.txt,82490,fdba00941fbdd6ded439aa1e14727b30748095b965a43a31a71f74f999dda116,utf-8-sig,1316,2026-09-13T22:28:57.506280+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F04_primary_wos_plaintext_full_record_cited_references.txt,77387,0cc38314187498206e385e5cb6a29971bfd23af4e8b144ea4dadba329229bceb,utf-8-sig,1186,2026-09-13T22:28:05.100856+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F05_primary_wos_plaintext_full_record_cited_references.txt,132498,8ec26e0e4f05d343e656959bc81b6c1d3c65997525487ae5c07dbc751d9a41c2,utf-8-sig,2166,2026-09-13T22:27:10.598149+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F06_primary_wos_plaintext_full_record_cited_references.txt,15013,8ae9a79ad4585b18cdfc3db140fd1e62c2205f91da59831c4873012b59f76ea6,utf-8-sig,252,2026-09-13T22:26:15.091931+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\F07_primary_wos_plaintext_full_record_cited_references.txt,5805,6ba3ce9cb545f0484b07b1c949b7fed4a2e9adca9a90a28e5f147b24d31656b7,utf-8-sig,84,2026-09-13T22:24:48.464381+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\README_DROP_WOS_HERE.md,727,353ba63424afa88b210c45f0e5162bd7c965b862975e60abd131cd5d77424bb6,utf-8-sig,,2026-09-12T21:21:14+00:00,2026-09-13T22:56:53.017167+00:00
inputs\wos\wos_export_manifest.json,2413,8385a12be8475780c7b35a91781cd65c76618160a3fac65cbed8a5f1bfd75883,utf-8-sig,,2026-09-13T22:38:53.622176+00:00,2026-09-13T22:56:53.017167+00:00
