candidate_id,source,query,relation
C4E3D7A2BB630,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C9714C0016795,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C1758BD935FD5,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C4B439BC6A12D,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CF65653A58DE3,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CBE51D21C5873,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CE27B64D6BCC0,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C27A3892192A5,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C83A8475AB444,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CBC5B0B8D8660,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CB2F6798CEDFA,legacy_review,legacy_seed,discovered
CAAAE1784EBA9,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C6C363875453A,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C0DB8404395A4,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C394CCFE6567A,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CAD59551B5523,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CCDE1C53018AD,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C1DDA86BCCB0A,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C892F518F8C64,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C4649C0749E2E,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C96F294D621AC,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CA5A4BBA9A8CC,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CE490248EFFC2,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CFF6DD4CBEF8A,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CD939FAFF0D4C,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C1B0A43A71755,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C33F7AC523F54,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C3D11A5A03610,legacy_review,legacy_seed,discovered
CE784349F030E,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
C8B3CD04DD333,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
CFCBF75C881CC,legacy_review;crossref,legacy_seed;legacy_seed_verify,discovered
