candidate_id,title,title_norm,authors,authors_norm,year,venue,doi,doi_norm,abstract,document_type,source_ids,provenance,provenance_sources,provenance_queries,verification_status,metadata_verification_status,evidence_status,screening_status,legacy_seed_id,wos_ut,citation_count,citation_count_source,retrieved_at_utc,dedup_status,duplicate_status,dedup_parent_candidate_id,notes,source,source_record_id,query_id,window_id,source_url,open_access_url,screening_decision,exclusion_reason,screening_reason,screening_basis,screening_protocol,screening_method,screening_relevant_axes,problem_family,method_family,coordination_architecture,robot_type,heterogeneity,coalition_or_team,physical_transport,contact_or_wrench,local_communication,robustness_or_failures,industrial_context,theoretical_guarantees_claimed,experimental_platform,semantic_paper_id,semantic_arxiv_id
CB3570F2FB1C1,Multi-robot coalition formation,multi robot coalition formation,L. Vig; J.A. Adams,l. vig; j.a. adams,2006,IEEE Transactions on Robotics,10.1109/tro.2006.878948,10.1109/tro.2006.878948,,,crossref:10.1109/tro.2006.878948,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,212,crossref,2026-09-13T02:49:28.025712+00:00,unique,unique,,,crossref,10.1109/tro.2006.878948,F01,primary,https://doi.org/10.1109/tro.2006.878948,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CF36EA7CBA57B,Bandwidth-Aware Multi-Robot Coordination with Utility-Guided Coalition Formation,bandwidth aware multi robot coordination with utility guided coalition formation,Rhett Hull; Robert Fitch; Graeme Best,rhett hull; robert fitch; graeme best,2025,2025 IEEE International Symposium on Multi-Robot and Multi-Agent Systems (MRS),10.1109/mrs66243.2025.11357248,10.1109/mrs66243.2025.11357248,,,crossref:10.1109/mrs66243.2025.11357248,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,,,2026-09-13T02:49:28.025825+00:00,unique,unique,,,crossref,10.1109/mrs66243.2025.11357248,F01,primary,https://doi.org/10.1109/mrs66243.2025.11357248,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;distributed_coordination,task_allocation;distributed_coordination,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,unclear,unclear,,
CE3194399FC2C,Robot coalition formation against time-extended multi-robot tasks,robot coalition formation against time extended multi robot tasks,Muhammad Usman Arif,muhammad usman arif,2022,International Journal of Intelligent Unmanned Systems,10.1108/ijius-12-2020-0070,10.1108/ijius-12-2020-0070,"<jats:sec> <jats:title>Purpose</jats:title> <jats:p>Multi-robot coalition formation (MRCF) refers to the formation of robot coalitions against complex tasks requiring multiple robots for execution. Situations, where the robots have to participate in multiple coalitions over time due to a large number of tasks, are called Time-extended MRCF. While being NP-hard, time-extended MRCF also holds the possibility of resource deadlocks due to any cyclic hold-and-wait conditions among the coalitions. Existing schemes compromise on solution quality to form workable, deadlock-free coalitions through instantaneous or incremental allocations.</jats:p> </jats:sec> <jats:sec> <jats:title>Design/methodology/approach</jats:title> <jats:p>This paper presents an evolutionary algorithm (EA)-based task allocation framework for improved, deadlock-free solutions against time-extended MRCF. The framework simultaneously allocates multiple tasks, allowing the robots to participate in multiple coalitions within their schedule. A directed acyclic graph–based representation of robot plans is used for deadlock detection and avoidance.</jats:p> </jats:sec> <jats:sec> <jats:title>Findings</jats:title> <jats:p>Allowing the robots to participate in multiple coalitions within their schedule, significantly improves the allocation quality. The improved allocation quality of the EA is validated against two auction schemes inspired by the literature.</jats:p> </jats:sec> <jats:sec> <jats:title>Originality/value</jats:title> <jats:p>To the best of the author's knowledge, this is the first framework which simultaneously considers multiple MR tasks for deadlock-free allocation while allowing the robots to participate in multiple coalitions within their plans.</jats:p> </jats:sec>",,crossref:10.1108/ijius-12-2020-0070,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,9,crossref,2026-09-13T02:49:28.026050+00:00,unique,unique,,,crossref,10.1108/ijius-12-2020-0070,F01,primary,https://doi.org/10.1108/ijius-12-2020-0070,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_abstract_metadata,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;game_or_distributed_optimization,task_allocation,game_theoretic;auction_market,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C22635AD687FB,Task Elimination: Faster Coalition Formation for Overtasked Collectives,task elimination faster coalition formation for overtasked collectives,Grace Diehl; Julie A. Adams,grace diehl; julie a. adams,2023,2023 International Symposium on Multi-Robot and Multi-Agent Systems (MRS),10.1109/mrs60187.2023.10416770,10.1109/mrs60187.2023.10416770,,,crossref:10.1109/mrs60187.2023.10416770,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,,,2026-09-13T02:49:28.026116+00:00,unique,unique,,,crossref,10.1109/mrs60187.2023.10416770,F01,primary,https://doi.org/10.1109/mrs60187.2023.10416770,,maybe_fulltext,,"Relevant axis is present, but the robotic applicability or method scope remains incomplete in metadata.",title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,unclear,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C9B14DC8CEC46,Ant Colony Optimization for Heterogeneous Coalition Formation and Scheduling with Multi-Skilled Robots,ant colony optimization for heterogeneous coalition formation and scheduling with multi skilled robots,William Babincsak; Ashay Aswale; Carlo Pinciroli,william babincsak; ashay aswale; carlo pinciroli,2023,2023 International Symposium on Multi-Robot and Multi-Agent Systems (MRS),10.1109/mrs60187.2023.10416771,10.1109/mrs60187.2023.10416771,,,crossref:10.1109/mrs60187.2023.10416771,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,5,crossref,2026-09-13T02:49:28.026186+00:00,unique,unique,,,crossref,10.1109/mrs60187.2023.10416771,F01,primary,https://doi.org/10.1109/mrs60187.2023.10416771,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;heterogeneous_capabilities,task_allocation,optimization;planning,unclear,unclear,explicit_heterogeneous,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C7356DB6C78C9,Multi-Robot Cooperation Coalition Formation Based on Genetic Algorithm,multi robot cooperation coalition formation based on genetic algorithm,Hui-yi Liu; Jin-feng Chen,hui-yi liu; jin-feng chen,2006,2006 International Conference on Machine Learning and Cybernetics,10.1109/icmlc.2006.258820,10.1109/icmlc.2006.258820,,,crossref:10.1109/icmlc.2006.258820,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,14,crossref,2026-09-13T02:49:28.026243+00:00,unique,unique,,,crossref,10.1109/icmlc.2006.258820,F01,primary,https://doi.org/10.1109/icmlc.2006.258820,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,optimization,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CC1697E0C2E40,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,distributed and communication aware coalition formation and task assignment in multi robot systems,Petra Mazdin; Bernhard Rinner,petra mazdin; bernhard rinner,2021,IEEE Access,10.1109/access.2021.3061149,10.1109/access.2021.3061149,,,crossref:10.1109/access.2021.3061149,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,32,crossref,2026-09-13T02:49:28.026304+00:00,unique,unique,,,crossref,10.1109/access.2021.3061149,F01,primary,https://doi.org/10.1109/access.2021.3061149,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;distributed_coordination,task_allocation;distributed_coordination,unclear,distributed,mobile_robot,unclear,explicit_coalition,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,unclear,unclear,,
C46EB2C3DF5F6,Optimizing Coalition Formation Strategies for Scalable Multi-Robot Task Allocation: A Comprehensive Survey of Methods and Mechanisms,optimizing coalition formation strategies for scalable multi robot task allocation a comprehensive survey of methods and mechanisms,Krishna Arjun; David Parlevliet; Hai Wang; Amirmehdi Yazdani,krishna arjun; david parlevliet; hai wang; amirmehdi yazdani,2025,,10.20944/preprints202505.0606.v1,10.20944/preprints202505.0606.v1,"<jats:p>In practical applications, the utilization of multi-robot systems (MRS) is extensive and spans various domains such as search and rescue operations, mining operations, agricultural tasks, and ware-house management. The surge in demand for MRS has prompted extensive exploration of Multi Robot Task Allocation (MRTA). Researchers have devised a range of methodologies to tackle MRTA problems, aiming to achieve optimal solutions, yet there remains room for further enhancements in this field. Among the complex challenges in MRTA, the identification of an optimal coalition formation (CF) solution stands out as one of the NP-hard (Nondeterministic Polynomial time) problems. CF pertains to the effective coordination and grouping of agents or robots for efficient task execution achieved through optimal task allocation. In this context, this paper delivers a succinct overview of dynamic task allocation and CF strategies. It conducts a comprehensive examination of diverse strategies employed for MRTA. The analysis encompasses the advantages, disadvantages, and comparative assessments of these strategies with a focus on CF. Furthermore, this study introduces a novel classification system for prominent task allocation methods and compares these methods with simulation analysis. The fidelity and effectiveness of the proposed CF approach are substantiated through comparative assessments and simulation studies.</jats:p>",,crossref:10.20944/preprints202505.0606.v1,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,3,crossref,2026-09-13T02:49:28.026487+00:00,unique,unique,,,crossref,10.20944/preprints202505.0606.v1,F01,primary,https://doi.org/10.20944/preprints202505.0606.v1,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_abstract_metadata,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;distributed_coordination,task_allocation;distributed_coordination,survey,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,explicit_theory_or_guarantee_terms,explicit_experiment_or_hardware,,
CE8795427B04A,Parallel multi-objective multi-robot coalition formation,parallel multi objective multi robot coalition formation,Manoj Agarwal; Nitin Agrawal; Shikhar Sharma; Lovekesh Vig; Naveen Kumar,manoj agarwal; nitin agrawal; shikhar sharma; lovekesh vig; naveen kumar,2015,Expert Systems with Applications,10.1016/j.eswa.2015.05.032,10.1016/j.eswa.2015.05.032,,,crossref:10.1016/j.eswa.2015.05.032,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,33,crossref,2026-09-13T02:49:28.026556+00:00,unique,unique,,,crossref,10.1016/j.eswa.2015.05.032,F01,primary,https://doi.org/10.1016/j.eswa.2015.05.032,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,cf hmrta coalition formation for heterogeneous multi robot task allocation,Ashish Verma; Avinash Gautam; Ayan Dutta; Virendra Singh Shekhawat; Sudeept Mohan,ashish verma; avinash gautam; ayan dutta; virendra singh shekhawat; sudeept mohan,2025,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-025-02287-4,10.1007/s10846-025-02287-4,"<jats:title>Abstract</jats:title> <jats:p> This paper introduces a novel approach, <jats:italic>Coalition Formation for Heterogeneous Multi-Robot Task Allocation</jats:italic> (CF-HMRTA), to address the challenge of multi-robot task allocation. The problem, inherently NP-Hard, is tackled using bipartite graph matching. CF-HMRTA forms heterogeneous robot coalitions with unique service skills to complete tasks collaboratively, using a heuristic algorithm for optimal robot-task pairing while preventing task overlap. Recent research work using bipartite graph matching for multi-robot coalition formation and task allocation often assumes homogeneity across tasks and robots, where any robot can be assigned to any task. In contrast, the solution proposed in this paper explicitly considers the diversity of robots with varying service skills. Additionally, tasks demand different sets of skills, such as sensing, monitoring, and data collection, making certain tasks unsuitable for some robots due to hardware constraints. For instance, tasks requiring aerial footage are assigned to drones, while ground robots handle close-ground monitoring. Furthermore, we incorporate task-specific time constraints into our problem formulation, enhancing its realism. Considerably less research has been conducted on heterogeneous robot teams solving tasks that require multiple service skills and temporal constraints, making our work a significant contribution to the field. The algorithm achieves a worst-case time complexity of <jats:inline-formula> <jats:alternatives> <jats:tex-math>$$ O(|E|) $$</jats:tex-math> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mrow> <mml:mi>O</mml:mi> <mml:mo>(</mml:mo> <mml:mo>|</mml:mo> <mml:mi>E</mml:mi> <mml:mo>|</mml:mo> <mml:mo>)</mml:mo> </mml:mrow> </mml:math> </jats:alternatives> </jats:inline-formula> , where <jats:inline-formula> <jats:alternatives> <jats:tex-math>$$ E $$</jats:tex-math> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""> <mml:mi>E</mml:mi> </mml:math> </jats:alternatives> </jats:inline-formula> represents the edges in the bipartite graph, and guarantees perfect matching. Simulation results highlight its scalability, successfully allocating up to 2000 robots to 400 tasks in approximately 11 seconds. </jats:p>",,crossref:10.1007/s10846-025-02287-4,crossref,crossref,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,6,crossref,2026-09-13T02:49:28.026770+00:00,unique,unique,,,crossref,10.1007/s10846-025-02287-4,F01,primary,https://doi.org/10.1007/s10846-025-02287-4,,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_abstract_metadata,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;heterogeneous_capabilities,task_allocation,optimization,unclear,mobile_robot;uav_drone,explicit_heterogeneous,explicit_coalition,unclear,unclear,unclear,unclear,unclear,explicit_theory_or_guarantee_terms,explicit_experiment_or_hardware,,
