candidate_id,title,doi,source_basis,deep_reading_status,fulltext_local_path,evidence_strength,author_verification_required
C002240066FFE,Multi-agent task allocation for harvest management,10.3389/frobt.2022.864745,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C002240066FFE\fulltext.pdf,fulltext_verified,yes
C06C41AFDC1F1,Anytime and Efficient Coalition Formation with Spatial and Temporal Constraints,10.1007/978-3-030-66412-1_38,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C06C41AFDC1F1\fulltext.pdf,fulltext_verified,yes
C06E2613B31FC,Cooperative Learning-Agents for Task Allocation Problem,10.1007/978-3-319-75175-7_93,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C06E2613B31FC\fulltext.html,fulltext_verified,yes
C0791FC8CEF85,Multi-Robot Dynamic Task Allocation for Exploration and Destruction,10.1007/s10846-019-01081-3,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C0791FC8CEF85\fulltext.html,fulltext_verified,yes
C0C34B3D7DD20,Towards a Distributed Solution to the Multi-Robot Task Allocation Problem with Energetic and Spatiotemporal Constraints,10.7494/csci.2020.21.1.3427,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C0C34B3D7DD20\fulltext.pdf,fulltext_verified,yes
C0C4C382651EF,Hybrid mission planning with coalition formation,10.1007/s10458-017-9367-7,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C0C4C382651EF\fulltext.html,fulltext_verified,yes
C0F5EDEA76780,Communication constrained task allocation with optimized local task swaps,10.1007/s10514-015-9481-9,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C0F5EDEA76780\fulltext.html,fulltext_verified,yes
C1126D8BDFA82,Multi-Level Partitioning and Distribution of the Assignment Problem for Large-Scale Multi-Robot Task Allocation,10.15607/rss.2011.vii.026,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C1126D8BDFA82\fulltext.pdf,fulltext_verified,yes
C11AEF11D9367,Integrated Design of Cooperative Area Coverage and Target Tracking with Multi-UAV System,10.1007/s10846-023-01925-z,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C11AEF11D9367\fulltext.html,fulltext_verified,yes
C15CF81D8F835,Task-oriented overlapping coalition formation: a game-theoretic framework for heterogeneous UAV task allocation,10.1007/s10514-026-10244-9,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C15CF81D8F835\fulltext.html,fulltext_verified,yes
C1758BD935FD5,Market-Based Multi-robot Coalition Formation,10.1007/4-431-35881-1_23,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C1758BD935FD5\fulltext.html,fulltext_verified,yes
C1B0A43A71755,Real-time decentralized model predictive control for cooperative multi-robot object transport: experimental validation,10.1038/s41598-026-41881-w,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C1B0A43A71755\fulltext.pdf,fulltext_verified,yes
C1FED6B0DC6B4,Task Allocation Using a Team of Robots,10.1007/s43154-022-00087-4,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C1FED6B0DC6B4\fulltext.pdf,fulltext_verified,yes
C20FBE73D7292,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,10.1109/access.2020.2971585,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C20FBE73D7292\fulltext.pdf,fulltext_verified,yes
C21A5C922AE39,Multi-robot task allocation problem with multiple nonlinear criteria using branch and bound and genetic algorithms,10.1007/s11370-021-00393-4,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C21A5C922AE39\fulltext.pdf,fulltext_verified,yes
C22DFA00D9C65,Dynamic role assignment for cooperative robots,10.1109/robot.2002.1013376,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C22DFA00D9C65\fulltext.pdf,fulltext_verified,yes
C27DC86468A4C,Considering inter-task resource constraints in task allocation,10.1007/s10458-012-9196-7,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C27DC86468A4C\fulltext.html,fulltext_verified,yes
C28EC3CC8F136,Towards addressing dynamic multi-agent task allocation in law enforcement,10.1007/s10458-021-09494-x,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C28EC3CC8F136\fulltext.html,fulltext_verified,yes
C3A88EABFDA15,Task Allocation of Multi-robot Coalition Formation,10.1007/978-981-19-3998-3_22,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C3A88EABFDA15\fulltext.html,fulltext_verified,yes
C3DF5DEA2E534,Voronoi-Based Multi-Robot Autonomous Exploration in Unknown Environments via Deep Reinforcement Learning,10.1109/tvt.2020.3034800,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C3DF5DEA2E534\fulltext.pdf,fulltext_verified,yes
C403140BFDF12,The crowd cooperation approach for formation maintenance and collision avoidance using multi-agent deep reinforcement learning,10.1007/s00371-024-03647-1,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C403140BFDF12\fulltext.html,fulltext_verified,yes
C4281BAF1E1C2,Enhancing Object Manipulation and Transportation in Multi-Robot Systems with Soft Gripper Integration and Caging-Based Control,10.1007/s10846-025-02263-y,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4281BAF1E1C2\fulltext.pdf,fulltext_verified,yes
C44E9D92ED9C0,Clusterized Multi-objective Approach With Variable and Adaptive Neighborhood Search for Multi-robot Task Allocation,10.1007/s12555-025-0379-9,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C44E9D92ED9C0\fulltext.html,fulltext_verified,yes
C4A567475A9D9,Task allocation and robot repair strategy optimization in multi-robot system with ability decay,10.1007/s44443-026-01192-6,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4A567475A9D9\fulltext.pdf,fulltext_verified,yes
C4C868FAE3C37,First Results in the Coordination of Heterogeneous Robots for Large-Scale Assembly,10.1007/3-540-45118-8_33,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4C868FAE3C37\fulltext.html,fulltext_verified,yes
C4D7DE00F66E8,Experimental Results in Multi-UAV Coordination for Disaster Management and Civil Security Applications,10.1007/s10846-010-9497-5,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4D7DE00F66E8\fulltext.html,fulltext_verified,yes
C4E676F926E1D,Towards Agrirobot Digital Twins: Agri-RO5—A Multi-Agent Architecture for Dynamic Fleet Simulation,10.3390/electronics13010080,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4E676F926E1D\fulltext.html,fulltext_verified,yes
C4F0B5BB85F46,"Multi-Robot Systems and Cooperative Object Transport: Communications, Platforms, and Challenges",10.1109/ojcs.2023.3238324,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C4F0B5BB85F46\fulltext.pdf,fulltext_verified,yes
