candidate_id,title,title_norm,authors,authors_norm,year,venue,doi,doi_norm,abstract,document_type,source_ids,provenance,provenance_sources,provenance_queries,verification_status,metadata_verification_status,evidence_status,screening_status,legacy_seed_id,wos_ut,citation_count,citation_count_source,retrieved_at_utc,dedup_status,duplicate_status,dedup_parent_candidate_id,notes,source,source_record_id,query_id,window_id,source_url,open_access_url,screening_decision,exclusion_reason,screening_reason,screening_basis,screening_protocol,screening_method,screening_relevant_axes,problem_family,method_family,coordination_architecture,robot_type,heterogeneity,coalition_or_team,physical_transport,contact_or_wrench,local_communication,robustness_or_failures,industrial_context,theoretical_guarantees_claimed,experimental_platform,semantic_paper_id,semantic_arxiv_id
C0BBF943B50C0,Multi-Robot Coalitions Formation with Deadlines: Complexity Analysis and Solutions,multi robot coalitions formation with deadlines complexity analysis and solutions,José Guerrero; Gabriel Oliver; Óscar Valero,josé guerrero; gabriel oliver; óscar valero,2017,PLoS ONE,10.1371/journal.pone.0170659,10.1371/journal.pone.0170659,,,openalex:https://openalex.org/W2581834436,openalex,openalex,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,32,openalex,2026-09-13T02:49:28.257611+00:00,unique,unique,,,openalex,https://openalex.org/W2581834436,F01,primary,https://doi.org/10.1371/journal.pone.0170659,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0170659&type=printable,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CF006FE6B055B,A coalition formation algorithm for Multi-Robot Task Allocation in large-scale natural disasters,a coalition formation algorithm for multi robot task allocation in large scale natural disasters,Carla Mouradian; Jagruti Sahoo; Roch Glitho; Monique Morrow; P. Polakos,carla mouradian; jagruti sahoo; roch glitho; monique morrow; p. polakos,2017,,10.1109/iwcmc.2017.7986575,10.1109/iwcmc.2017.7986575,,,openalex:https://openalex.org/W2609810671,openalex,openalex,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,44,openalex,2026-09-13T02:49:28.258009+00:00,unique,unique,,,openalex,https://openalex.org/W2609810671,F01,primary,https://doi.org/10.1109/iwcmc.2017.7986575,https://arxiv.org/pdf/1704.05905,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CC1697E0C2E40,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,distributed and communication aware coalition formation and task assignment in multi robot systems,Petra Maždin; Bernhard Rinner,petra maždin; bernhard rinner,2021,IEEE Access,10.1109/access.2021.3061149,10.1109/access.2021.3061149,,,openalex:https://openalex.org/W3130954471,openalex,openalex,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,34,openalex,2026-09-13T02:49:28.258069+00:00,unique,unique,,,openalex,https://openalex.org/W3130954471,F01,primary,https://doi.org/10.1109/access.2021.3061149,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09360591.pdf,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;distributed_coordination,task_allocation;distributed_coordination,unclear,distributed,mobile_robot,unclear,explicit_coalition,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,unclear,unclear,,
CC07155ACCF62,Dynamic Multi-Robot Coalition Formation: Precision Agriculture Case Study,dynamic multi robot coalition formation precision agriculture case study,Leonid Sheremetov; Alexander Smirnov; Nikolay Teslya,leonid sheremetov; alexander smirnov; nikolay teslya,2022,Acta Polytechnica Hungarica,10.12700/aph.19.10.2022.10.13,10.12700/aph.19.10.2022.10.13,,,openalex:https://openalex.org/W4380991389,openalex,openalex,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,5,openalex,2026-09-13T02:49:28.258163+00:00,unique,unique,,,openalex,https://openalex.org/W4380991389,F01,primary,https://doi.org/10.12700/aph.19.10.2022.10.13,https://doi.org/10.12700/aph.19.10.2022.10.13,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C201C8C16A7C2,Correlation clustering based coalition formation for multi-robot task allocation,correlation clustering based coalition formation for multi robot task allocation,Ayan Dutta; Vladimir Ufimtsev; Asai Asaithambi,ayan dutta; vladimir ufimtsev; asai asaithambi,2019,,10.1145/3297280.3297369,10.1145/3297280.3297369,,,openalex:https://openalex.org/W2804531846,openalex,openalex,F01:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,15,openalex,2026-09-13T02:49:28.258423+00:00,unique,unique,,,openalex,https://openalex.org/W2804531846,F01,primary,https://doi.org/10.1145/3297280.3297369,https://arxiv.org/pdf/1805.08629,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,unclear,unclear,mobile_robot,unclear,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CB139B941B9E0,Simultaneous task allocation and planning for temporal logic goals in heterogeneous multi-robot systems,simultaneous task allocation and planning for temporal logic goals in heterogeneous multi robot systems,Philipp Schillinger; Mathias Bürger; Dimos V. Dimarogonas,philipp schillinger; mathias bürger; dimos v. dimarogonas,2018,The International Journal of Robotics Research,10.1177/0278364918774135,10.1177/0278364918774135,,,openalex:https://openalex.org/W2804655496,openalex,openalex,F02:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,157,openalex,2026-09-13T02:49:28.293913+00:00,unique,unique,,,openalex,https://openalex.org/W2804655496,F02,primary,https://doi.org/10.1177/0278364918774135,http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-214835,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;heterogeneous_capabilities,task_allocation,unclear,unclear,mobile_robot,explicit_heterogeneous,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,cf hmrta coalition formation for heterogeneous multi robot task allocation,Ashish Verma; Avinash Gautam; Ayan Dutta; Virendra Singh Shekhawat; Sudeept Mohan,ashish verma; avinash gautam; ayan dutta; virendra singh shekhawat; sudeept mohan,2025,Journal of Intelligent & Robotic Systems,10.1007/s10846-025-02287-4,10.1007/s10846-025-02287-4,,,openalex:https://openalex.org/W4412586443,openalex,openalex,F02:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,6,openalex,2026-09-13T02:49:28.294080+00:00,unique,unique,,,openalex,https://openalex.org/W4412586443,F02,primary,https://doi.org/10.1007/s10846-025-02287-4,https://link.springer.com/content/pdf/10.1007/s10846-025-02287-4.pdf,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition;heterogeneous_capabilities,task_allocation,unclear,unclear,mobile_robot,explicit_heterogeneous,explicit_coalition,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
CE9B1CE0A649D,A Survey and Analysis of Multi-Robot Coordination,a survey and analysis of multi robot coordination,Zhi Yan; Nicolas Jouandeau; Arab Ali Chérif,zhi yan; nicolas jouandeau; arab ali chérif,2013,International Journal of Advanced Robotic Systems,10.5772/57313,10.5772/57313,,,openalex:https://openalex.org/W2140929789,openalex,openalex,F02:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,654,openalex,2026-09-13T02:49:28.294388+00:00,unique,unique,,,openalex,https://openalex.org/W2140929789,F02,primary,https://doi.org/10.5772/57313,https://doi.org/10.5772/57313,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,distributed_coordination,distributed_coordination,survey,unclear,mobile_robot,unclear,unclear,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,unclear,unclear,,
CE06D26225E94,Resource Allocation and Service Provisioning in Multi-Agent Cloud Robotics: A Comprehensive Survey,resource allocation and service provisioning in multi agent cloud robotics a comprehensive survey,Mahbuba Afrin; Jiong Jin; Akhlaqur Rahman; Ashfaqur Rahman; Jiafu Wan; Ekram Hossain,mahbuba afrin; jiong jin; akhlaqur rahman; ashfaqur rahman; jiafu wan; ekram hossain,2021,IEEE Communications Surveys & Tutorials,10.1109/comst.2021.3061435,10.1109/comst.2021.3061435,,,openalex:https://openalex.org/W3131664395,openalex,openalex,F02:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,171,openalex,2026-09-13T02:49:28.294452+00:00,unique,unique,,,openalex,https://openalex.org/W3131664395,F02,primary,https://doi.org/10.1109/comst.2021.3061435,https://arxiv.org/pdf/2104.14270,maybe_fulltext,,"Relevant axis is present, but the robotic applicability or method scope remains incomplete in metadata.",title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,allocation_or_coalition,task_allocation,survey,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,,
C120BB21DF6B4,Distributed Allocation and Scheduling of Tasks With Cross-Schedule Dependencies for Heterogeneous Multi-Robot Teams,distributed allocation and scheduling of tasks with cross schedule dependencies for heterogeneous multi robot teams,Barbara Arbanas; Tamara Petrović; Matko Orsag; José Ramiro Martínez‐de Dios; Stjepan Bogdan,barbara arbanas; tamara petrović; matko orsag; josé ramiro martínez‐de dios; stjepan bogdan,2024,IEEE Access,10.1109/access.2024.3404823,10.1109/access.2024.3404823,,,openalex:https://openalex.org/W4398249528,openalex,openalex,F02:primary,metadata_verified,metadata_verified,not_evidence,screened_title_abstract,,,24,openalex,2026-09-13T02:49:28.294656+00:00,unique,unique,,,openalex,https://openalex.org/W4398249528,F02,primary,https://doi.org/10.1109/access.2024.3404823,https://doi.org/10.1109/access.2024.3404823,include_fulltext,,Direct title/abstract connection to the TFM scope supports full-text retrieval.,title_metadata_without_abstract,screening_protocol_v1,deterministic_keyword_rules_v2,distributed_coordination;heterogeneous_capabilities,distributed_coordination,planning,distributed,mobile_robot,explicit_heterogeneous,team,unclear,unclear,explicit_local_or_network_constraint,unclear,unclear,unclear,unclear,,
