anchor_candidate_id,anchor_doi,direction,oci,citing,cited,creation,timespan,source
C91DAA10AB052,10.1007/978-4-431-66942-5_10,references,06402819076-061403403782,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,omid:br/061403403782 doi:10.1109/iros.1995.525801 openalex:W2119476348,1996,,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,references,06402819076-06203467555,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,omid:br/06203467555 doi:10.20965/jrm.1992.p0122 openalex:W41108219,1996,P3Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,references,06402819076-06601208138,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,omid:br/06601208138 doi:10.1177/027836499301200106 openalex:W2088768207,1996,P2Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,references,06402819076-06240360492,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,omid:br/06240360492 doi:10.1016/s0921-8890(05)80025-9 openalex:W1966089223,1996,P5Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,references,06402819076-06701487849,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,omid:br/06701487849 doi:10.1109/jra.1986.1087032 openalex:W2097856935,1996,P10Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,citations,062203375374-06402819076,omid:br/062203375374 doi:10.1109/iros.2003.1248895 openalex:W1480917466,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,,,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,citations,061602384691-06402819076,omid:br/061602384691 doi:10.1109/med.2017.7984200 openalex:W2736361778,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,2017-07,P21Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,citations,06803803724-06402819076,omid:br/06803803724 doi:10.1109/aero.2002.1035340 openalex:W2113758340,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,,,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,citations,06190106353-06402819076,omid:br/06190106353 doi:10.1007/bf02481466 openalex:W2044097630,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,2001-09,P5Y,opencitations
C91DAA10AB052,10.1007/978-4-431-66942-5_10,citations,06203813344-06402819076,omid:br/06203813344 doi:10.1109/irds.2002.1041699 openalex:W1696089740,omid:br/06402819076 doi:10.1007/978-4-431-66942-5_10 openalex:W1484224945,,,opencitations
