category,count
1948,1
1954,1
1955,2
1956,1
1957,2
1960,1
1961,1
1965,1
1967,1
1970,1
1971,2
1973,3
1974,3
1975,1
1976,2
1978,2
1979,4
1980,1
1981,2
1983,2
1984,3
1985,1
1986,2
1987,2
1988,10
1989,5
1990,3
1991,8
1992,6
1993,10
1994,10
1995,10
1996,8
1997,12
1998,12
1999,18
2000,22
2001,15
2002,61
2003,33
2004,48
2005,48
2006,48
2007,47
2008,35
2009,44
2010,49
2011,63
2012,58
2013,62
2014,58
2015,75
2016,78
2017,75
2018,88
2019,81
2020,80
2021,95
2022,88
2023,112
2024,133
2025,189
2026,228
unknown,59
