category,count
assignment: queue,562
assignment: full text,110
coalition closure: queue,193
coalition closure: full text,35
physical feasibility: queue,93
physical feasibility: full text,23
cooperative transport: queue,68
cooperative transport: full text,15
safety: queue,90
safety: full text,24
failure recovery: queue,36
failure recovery: full text,4
traffic/safety navigation: queue,90
traffic/safety navigation: full text,24
communication degradation: queue,36
communication degradation: full text,34
