figure_id,scope,path,extension,bytes,sha256,used_in_doc,caption_source
alg-loop,GLOBAL,docs\doc-05-final-report\figures\alg-loop.png,.png,432058,880c4b623d052a22e18bca260d309f2e472e9b959e55e6dc3a1311098ecf7e91,unknown,generated_or_existing
fig-campo-obstaculos,GLOBAL,docs\doc-05-final-report\figures\fig-campo-obstaculos.tex,.tex,1846,,unknown,generated_or_existing
fig-capacidad-efectiva-mercado,GLOBAL,docs\doc-05-final-report\figures\fig-capacidad-efectiva-mercado.tex,.tex,2098,,unknown,generated_or_existing
fig-carga-rectangular-roles,GLOBAL,docs\doc-05-final-report\figures\fig-carga-rectangular-roles.tex,.tex,1909,,unknown,generated_or_existing
fig-control-vectorial-seis-bloques,GLOBAL,docs\doc-05-final-report\figures\fig-control-vectorial-seis-bloques.tex,.tex,1520,,unknown,generated_or_existing
fig-energia-saltos,GLOBAL,docs\doc-05-final-report\figures\fig-energia-saltos.tex,.tex,1867,,unknown,generated_or_existing
fig-equilibrio-nash-smith,GLOBAL,docs\doc-05-final-report\figures\fig-equilibrio-nash-smith.tex,.tex,1714,,unknown,generated_or_existing
fig-framework-integrado,GLOBAL,docs\doc-05-final-report\figures\fig-framework-integrado.tex,.tex,1943,,unknown,generated_or_existing
fig-gantt,GLOBAL,docs\doc-05-final-report\figures\fig-gantt.png,.png,106288,a66e1e4c3f27f3aed00032d339223527c58a9d48a6bb74ebf925b866dd8e0a92,unknown,generated_or_existing
fig-gantt,GLOBAL,docs\doc-05-final-report\figures\fig-gantt.tex,.tex,5637,,unknown,generated_or_existing
fig-gap-literatura,GLOBAL,docs\doc-05-final-report\figures\fig-gap-literatura.tex,.tex,3671,,unknown,generated_or_existing
fig-h10-predictive-density,GLOBAL,docs\doc-05-final-report\figures\fig-h10-predictive-density.png,.png,263471,939d44cb5fbc1edb6e7489bff6b2e40ff6664c62243870950ec97a0e05756ed5,unknown,generated_or_existing
fig-h11-integrated-engine,GLOBAL,docs\doc-05-final-report\figures\fig-h11-integrated-engine.png,.png,174403,d54de42600b0c5d302f0aa342349cd9797ed39c203395dd17e576b1690b77930,unknown,generated_or_existing
fig-h12-coppelia-fallback,GLOBAL,docs\doc-05-final-report\figures\fig-h12-coppelia-fallback.png,.png,37630,cc8aacd82049e831c3f94a57bfaa09023bb13906c035d5db720a22489f92ee1b,unknown,generated_or_existing
fig-integrated-math-engine-gate,GLOBAL,docs\doc-05-final-report\figures\fig-integrated-math-engine-gate.png,.png,162422,44af0ef7985148644cd35b46e4e3a4ce084b357e544bd59296b8ad0a1d43dd6f,unknown,generated_or_existing
fig-loop,GLOBAL,docs\doc-05-final-report\figures\fig-loop.png,.png,76579,99061ce5d32927805b0a9915fb1a36a860fb39e878f1fe3f05a3d8943231979f,unknown,generated_or_existing
fig-loop,GLOBAL,docs\doc-05-final-report\figures\fig-loop.tex,.tex,3044,,unknown,generated_or_existing
fig-metodologia-investigacion,GLOBAL,docs\doc-05-final-report\figures\fig-metodologia-investigacion.tex,.tex,2276,,unknown,generated_or_existing
fig-mfg-continuo-discreto,GLOBAL,docs\doc-05-final-report\figures\fig-mfg-continuo-discreto.tex,.tex,1869,,unknown,generated_or_existing
fig-payoff,GLOBAL,docs\doc-05-final-report\figures\fig-payoff.png,.png,88676,b60188294773f72d9b9250ca62c8340fd0cfcc51200e9080232a7ef6fc8f05e8,unknown,generated_or_existing
fig-payoff,GLOBAL,docs\doc-05-final-report\figures\fig-payoff.tex,.tex,3744,,unknown,generated_or_existing
fig-port-hamiltoniano-ruedas,GLOBAL,docs\doc-05-final-report\figures\fig-port-hamiltoniano-ruedas.tex,.tex,1547,,unknown,generated_or_existing
fig-problema,GLOBAL,docs\doc-05-final-report\figures\fig-problema.png,.png,78254,a9fc0432255d16e36bfd39a65217bfe7365ba8bc7de86c2b7648583b567e0c2b,unknown,generated_or_existing
fig-problema,GLOBAL,docs\doc-05-final-report\figures\fig-problema.tex,.tex,9473,,unknown,generated_or_existing
fig-robot,GLOBAL,docs\doc-05-final-report\figures\fig-robot.tex,.tex,2468,,unknown,generated_or_existing
fig-smith-deterministic-sweep,GLOBAL,docs\doc-05-final-report\figures\fig-smith-deterministic-sweep.png,.png,74090,ff4ee0fbccc31f9646eae61c0728046aaed3c0f99f85feb505ad15be244b070f,unknown,generated_or_existing
fig-sota-transporte-cooperativo,GLOBAL,docs\doc-05-final-report\figures\fig-sota-transporte-cooperativo.tex,.tex,3189,,unknown,generated_or_existing
fig-sp1-pareto,SP1,docs\doc-05-final-report\figures\fig-sp1-pareto.png,.png,60571,93230c26c310a7cbd278db9c170ae2d80e7eb497a3c72498719cad240607f3f5,unknown,generated_or_existing
fig-sp1-primary,SP1,docs\doc-05-final-report\figures\fig-sp1-primary.png,.png,67291,1468079a3f726c5eb1a4707cdd7b0ebbd22bccf32e05955527384417b22ad224,unknown,generated_or_existing
fig-sp2-primary,SP2,docs\doc-05-final-report\figures\fig-sp2-primary.png,.png,79776,f4fa2a1ad244ccb2e9f4481bca7d6633c1063f0b3d126c059dc65667359aa09c,unknown,generated_or_existing
fig-sp3-residual,SP3,docs\doc-05-final-report\figures\fig-sp3-residual.png,.png,63746,34590399cd6c370acd4dcaba4e7daaf3a81bf6982880ada7c635c685c06ee1aa,unknown,generated_or_existing
fig-sp3-scalar-wrench,SP3,docs\doc-05-final-report\figures\fig-sp3-scalar-wrench.png,.png,56898,cfad1be5ba5adaf8de4f0df27ba22116a90a58920f0799a7d6aa94ce38deef87,unknown,generated_or_existing
fig-sp4-collision-scenario,SP4,docs\doc-05-final-report\figures\fig-sp4-collision-scenario.png,.png,70218,77e3822da708c553dd49c8345b2d0c9b0dfd2066eb7e94397dda24016f120425,unknown,generated_or_existing
fig-sp4-time-energy,SP4,docs\doc-05-final-report\figures\fig-sp4-time-energy.png,.png,81719,0092a0d9b5df027396f01867fdaeaf1b067c8a6784c440112158c81af6de990a,unknown,generated_or_existing
fig-sp5-primary,SP5,docs\doc-05-final-report\figures\fig-sp5-primary.png,.png,53368,718cebbf0fef152baf87c456abc62aa8e7d67fc664d7f28923404602dc4c082f,unknown,generated_or_existing
fig-sp6-primary,SP6,docs\doc-05-final-report\figures\fig-sp6-primary.png,.png,48801,53ad8061a00a5cfdd6848d82ccbc7f704ed8a6e2762d9ed8ee963d7f7fad64c8,unknown,generated_or_existing
fig-sp7-primary,SP7,docs\doc-05-final-report\figures\fig-sp7-primary.png,.png,66270,b56cf9c1d748f0feb8ff35fec4936068bf57a9d1dc92f01321c9199f498ab58d,unknown,generated_or_existing
fig-sp8-primary,SP8,docs\doc-05-final-report\figures\fig-sp8-primary.png,.png,51935,9b2bd1d40332f6dd7d8801e29bfd48baaa98fca048ab4cdfcc45cb3cee1f3bbb,unknown,generated_or_existing
fig-sp8-scale-ci,SP8,docs\doc-05-final-report\figures\fig-sp8-scale-ci.png,.png,110885,7ebe677eb51604c966047a417db2c17ac44129459f85b3a7ddbf83e2acd827b0,unknown,generated_or_existing
fig-teoria-implementado,GLOBAL,docs\doc-05-final-report\figures\fig-teoria-implementado.tex,.tex,2738,,unknown,generated_or_existing
fig-transporte-amorfo-stack,GLOBAL,docs\doc-05-final-report\figures\fig-transporte-amorfo-stack.tex,.tex,1941,,unknown,generated_or_existing
fig-validation-suite-summary,GLOBAL,docs\doc-05-final-report\figures\fig-validation-suite-summary.png,.png,50243,8b9c14572d2033103c5333ad78445893d2d93ab650ec64bb53de2ca982bcdffd,unknown,generated_or_existing
fig-wrench-capacity-gate,GLOBAL,docs\doc-05-final-report\figures\fig-wrench-capacity-gate.png,.png,68810,0f2f2907a8a2f44938e8482412ebf10b12c416ca95cd494a27f2e6cfb8c941b4,unknown,generated_or_existing
fig_v1_share_vs_theory,THEORY,results\theory_validation\v1\figures\fig_v1_share_vs_theory.pdf,.pdf,28400,6cf4162e4658ae1c53cb0dc9032aba5bc97fddf53b6bf537b7ba86daa02d45cd,unknown,generated_or_existing
fig_v1_share_vs_theory,THEORY,results\theory_validation\v1\figures\fig_v1_share_vs_theory.png,.png,63015,ba088007e612ac00d55de3ed46fd54b586f5f794d472f3beb5f7d8f9e37357a1,unknown,generated_or_existing
fig_v2_poa_curve,THEORY,results\theory_validation\v2\figures\fig_v2_poa_curve.pdf,.pdf,16868,1f0635ac8a56619a1a39757bd27b0d86492ca29031934b026484eb473f4350e6,unknown,generated_or_existing
fig_v2_poa_curve,THEORY,results\theory_validation\v2\figures\fig_v2_poa_curve.png,.png,93041,98e85ad7f6f650c2b15e848b5ad6697e8d8411f57e0b4e53481887ce0da8a3d8,unknown,generated_or_existing
fig_v3_stability_boundary,THEORY,results\theory_validation\v3\figures\fig_v3_stability_boundary.pdf,.pdf,77355,2a8cf034ee4481cb09c9bd7877ec7e4cd5b7637bd53e7aaf4aef4d133ef7fcb9,unknown,generated_or_existing
fig_v3_stability_boundary,THEORY,results\theory_validation\v3\figures\fig_v3_stability_boundary.png,.png,52396,d53295eb1dda089476f4e0b1b5299e8999884691541da8f3195540be88c4a935,unknown,generated_or_existing
