family,SP1,SP1_metric,SP1_value,SP2,SP2_metric,SP2_value,SP3,SP3_metric,SP3_value,SP4,SP4_metric,SP4_value,SP5,SP5_metric,SP5_value,SP6,SP6_metric,SP6_value,SP7,SP7_metric,SP7_value,SP8,SP8_metric,SP8_value
Clasicas locales,star: Hungarian expanded,optimality_gap_vs_oracle_mean,0.2765213188270577,star: Hungarian capacity expanded,optimality_gap_vs_oracle_mean,0.22770691598417983,star: Hungarian slots,optimality_gap_vs_wrench_oracle_mean,0.09338930628160384,star: APF obstacle avoidance,performance_gap_vs_reference_mean,0.09727661319087597,star: Classic centralized shortest push,performance_gap_vs_reference_mean,0.9695707234976187,star: Classic centralized replanning,performance_gap_vs_reference_mean,0.07929206133320095,star: Classic decentralized sensor APF,score_value_mean,-50.7395043000658,star: Classic local greedy,task_completion_rate_mean,0.052102854507857725
Referencias centralizadas,star: Centralized coalition oracle,optimality_gap_vs_oracle_mean,4.188699918693913e-18,ref: Oracle reference,optimality_gap_vs_oracle_mean,0.0,ref: Wrench oracle,optimality_gap_vs_wrench_oracle_mean,0.0,star: Reference time-expanded CBF,performance_gap_vs_reference_mean,0.0,star: Reference centralized MPC-CBF cargo,performance_gap_vs_reference_mean,0.0,ref: Reference centralized resilient recovery,performance_gap_vs_reference_mean,0.0,star: Reference full-communication controller,score_value_mean,-38.78751312972525,ref: Centralized coalition oracle,task_completion_rate_mean,0.033125
Mercado/subasta,star: CBBA-like auction,optimality_gap_vs_oracle_mean,0.3381913971700229,star: CBBA capacity auction,optimality_gap_vs_oracle_mean,0.304234094099386,star: CBBA slots,optimality_gap_vs_wrench_oracle_mean,0.09338743755628409,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,star: Ours guarded wrench-market recovery,performance_gap_vs_reference_mean,0.010778485160258188,star: Ours connectivity-aware wrench game,score_value_mean,14.283848646956432,star: Ours wrench-market hierarchical,task_completion_rate_mean,0.15291006425144746
Dinamicas poblacionales,star: Smith cardinality,optimality_gap_vs_oracle_mean,0.641163046383277,star: BNN capacity,optimality_gap_vs_oracle_mean,0.33095346102548,star: Smith-QR wrench marginal,optimality_gap_vs_wrench_oracle_mean,0.09183336649569775,star: Replicator motion field,performance_gap_vs_reference_mean,0.12097835871595583,--,performance_gap_vs_reference_mean,,star: Smith-QR recovery,performance_gap_vs_reference_mean,0.04802924550106114,--,score_value_mean,,--,task_completion_rate_mean,
Primal-dual / Nash seeking,star: Primal-dual wrench market,optimality_gap_vs_oracle_mean,0.10591137031375052,star: Primal-dual capacity,optimality_gap_vs_oracle_mean,0.34502771096849383,--,optimality_gap_vs_wrench_oracle_mean,,star: Primal-dual motion field,performance_gap_vs_reference_mean,0.026843706732399508,star: Ours Hamiltonian cargo,performance_gap_vs_reference_mean,0.031152669347059122,star: Primal-dual recovery,performance_gap_vs_reference_mean,0.044675198908660035,--,score_value_mean,,star: Ours tensor quorum flow,task_completion_rate_mean,0.15606897356492969
Aprendidas,star: MAPPO recruitment checkpoint,optimality_gap_vs_oracle_mean,0.004328726589978877,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_wrench_oracle_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,--,score_value_mean,,--,task_completion_rate_mean,
Control/safety,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_wrench_oracle_mean,,star: Ours explicit vGNE-CBF motion,performance_gap_vs_reference_mean,0.12596289556587895,star: SOTA centralized CBF cargo,performance_gap_vs_reference_mean,0.02722661858700368,star: CBF recovery,performance_gap_vs_reference_mean,0.060699354075334076,star: SOTA centralized CBF networked,score_value_mean,-21.74704335256419,--,task_completion_rate_mean,
Modelo / poblacional / primal-dual,--,optimality_gap_vs_oracle_mean,,star: Replicator capacity,optimality_gap_vs_oracle_mean,0.2970492653148096,--,optimality_gap_vs_wrench_oracle_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,star: Ours delay-robust local repair,score_value_mean,6.183071048750447,star: Ours mean-field approximation,task_completion_rate_mean,0.04359048656741109
Familia no clasificada,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_wrench_oracle_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,--,performance_gap_vs_reference_mean,,--,score_value_mean,,--,task_completion_rate_mean,
sota,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_oracle_mean,,--,optimality_gap_vs_wrench_oracle_mean,,star: Velocity obstacle proxy,performance_gap_vs_reference_mean,0.11463244308071983,star: SOTA decentralized VO cargo,performance_gap_vs_reference_mean,0.03678095982553743,--,performance_gap_vs_reference_mean,,star: SOTA delay-tolerant consensus,score_value_mean,-98.45125039533562,star: Centralized time-expanded MPC,task_completion_rate_mean,0.04322833333333334
