SP,campaign,hypothesis,comparison,metric,test,n,p_raw,p_holm,effect,effect_name,ci95_low,ci95_high,verdict,source_csv
SP1,results\sp1\SP1_MC_recruitment_comparison,H01_methods_differ_theoretical_gap,greedy_nearest centralized_coalition_milp primal_dual_wrench_market imitation_oracle mappo_recruitment,optimality_gap_vs_oracle,friedman_chi_square,2100,0.0,0.0,0.6062833812440109,kendall_w,nan,nan,rechaza H0,results\sp1\SP1_MC_recruitment_comparison\tables\hypothesis_results.csv
SP1,results\sp1\SP1_MC_recruitment_comparison,H02_mappo_lower_gap_than_imitation,mappo_recruitment imitation_oracle,optimality_gap_vs_oracle,wilcoxon_signed_rank,2100,0.0,0.0,-0.8951187891713478,cohens_dz,-0.3903051190607108,-0.354979472128331,rechaza H0,results\sp1\SP1_MC_recruitment_comparison\tables\hypothesis_results.csv
SP1,results\sp1\SP1_MC_recruitment_comparison,H03_mappo_lower_gap_than_hungarian_classic,mappo_recruitment hungarian_expanded,optimality_gap_vs_oracle,wilcoxon_signed_rank,2100,1.557652134334876e-182,1.557652134334876e-182,-0.6903911420115546,cohens_dz,-0.2886368019628138,-0.2546555542813192,rechaza H0,results\sp1\SP1_MC_recruitment_comparison\tables\hypothesis_results.csv
SP1,results\sp1\SP1_MC_recruitment_comparison,H04_smith_lower_runtime_than_mappo,smith_cardinality mappo_recruitment,runtime_ms,wilcoxon_signed_rank,2100,0.0,0.0,-1.092194399797098,cohens_dz,-14.268736483252031,-13.212625536574272,rechaza H0,results\sp1\SP1_MC_recruitment_comparison\tables\hypothesis_results.csv
SP1,results\sp1\SP1_MC_recruitment_comparison,H05_mappo_higher_coalition_success_than_smith,mappo_recruitment smith_cardinality,coalition_success_rate,wilcoxon_signed_rank,2100,0.0,0.0,1.4819365807571516,cohens_dz,0.27874523809523816,0.2952541666666667,rechaza H0,results\sp1\SP1_MC_recruitment_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H01_methods_differ_capacity_gap,greedy_capacity_nearest centralized_capacity_milp cbba_capacity primal_dual_capacity neural_capacity_scorer,optimality_gap_vs_oracle,friedman_chi_square,1560,0.0,0.0,0.71000532531609,kendall_w,nan,nan,rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H01b_methods_differ_capacity_ceiling_gap,greedy_capacity_nearest centralized_capacity_milp cbba_capacity primal_dual_capacity neural_capacity_scorer,capacity_gap_vs_capacity_oracle,friedman_chi_square,1560,2.838698060144757e-10,5.677396120289514e-10,0.008093005829998202,kendall_w,nan,nan,rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H02_primal_dual_higher_capacity_success_than_greedy,primal_dual_capacity greedy_capacity_nearest,capacity_success_rate,wilcoxon_signed_rank,1560,1.0,1.0,-0.7075543470671788,cohens_dz,-0.12776736111111112,-0.11076923076923077,no rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H03_neural_lower_gap_than_linear_imitation,neural_capacity_scorer imitation_capacity,optimality_gap_vs_oracle,wilcoxon_signed_rank,1560,2.9355561969215155e-27,1.1742224787686062e-26,-0.23281913893339212,cohens_dz,-0.01175534702329131,-0.0075930941974118584,rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H04_local_primal_dual_lower_messages_than_oracle,local_primal_dual_capacity centralized_capacity_milp,communication_messages,wilcoxon_signed_rank,1560,2.282602566853113e-18,6.847807700559339e-18,-0.3620440904413142,cohens_dz,-3.2308653846153845,-2.4570352564102564,rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP2,results\sp2\SP2_MC_capacity_comparison,H05_smith_lower_runtime_than_neural,smith_capacity neural_capacity_scorer,runtime_ms,wilcoxon_signed_rank,1560,1.741675627483113e-256,8.708378137415565e-256,-1.5892940462632024,cohens_dz,-0.6858929614230501,-0.6438870726411459,rechaza H0,results\sp2\SP2_MC_capacity_comparison\tables\hypothesis_results.csv
SP3,results\sp3\SP3_MC_wrench_comparison_high_power,H3_HP_1_scalar_false_positives_rotational_loads,oracle_scalar_assignment,false_positive_rate,one_sample_wilcoxon_signed_rank,2004,2.1162931699838786e-198,8.465172679935514e-198,0.9997504678688537,cohens_dz,0.47904191616766467,0.5224550898203593,rechaza H0,results\sp3\SP3_MC_wrench_comparison_high_power\tables\hypothesis_results.csv
SP3,results\sp3\SP3_MC_wrench_comparison_high_power,H3_HP_2_smith_wrench_lower_residual_than_capacity,smith_wrench_deficit vs capacity_greedy_slots,wrench_residual_feasible_available,wilcoxon_signed_rank,2004,0.9864866166476255,1.0,-0.031597008689922025,cohens_dz,-0.0002984995047713367,3.2417743137652646e-18,no rechaza H0,results\sp3\SP3_MC_wrench_comparison_high_power\tables\hypothesis_results.csv
SP3,results\sp3\SP3_MC_wrench_comparison_high_power,H3_HP_3_capacity_greedy_more_infeasible_assignments_than_support_dual,capacity_greedy_slots vs support_dual_wrench_market,fp_given_assigned,wilcoxon_signed_rank,2004,0.4644447419149908,1.0,0.03159909010570531,cohens_dz,0.0,0.0014970059880239522,no rechaza H0,results\sp3\SP3_MC_wrench_comparison_high_power\tables\hypothesis_results.csv
SP3,results\sp3\SP3_MC_wrench_comparison_high_power,H3_HP_4_support_dual_lower_gap_than_cbba,support_dual_wrench_market vs cbba_slots,optimality_gap_vs_wrench_oracle,wilcoxon_signed_rank,2004,0.9999999731092774,1.0,0.022929662652418886,cohens_dz,-0.0001540050505021276,0.00045944695266654696,no rechaza H0,results\sp3\SP3_MC_wrench_comparison_high_power\tables\hypothesis_results.csv
SP3,results\sp3\SP3_MC_wrench_comparison_high_power,H3_HP_5_methods_differ_wrench_gap,"hungarian_slots,capacity_greedy_slots,cbba_slots,replicator_wrench_deficit,bnn_wrench_deficit,smith_wrench_deficit,smith_wrench_marginal,support_dual_wrench_market",optimality_gap_vs_wrench_oracle,friedman_chi_square,2004,0.0,0.0,0.11748635279075212,kendall_w,nan,nan,rechaza H0,results\sp3\SP3_MC_wrench_comparison_high_power\tables\hypothesis_results.csv
SP4,results\sp4\SP4_MC_motion_comparison_high_power,H4_HP_1_reference_reduces_collision_vs_direct,reference_time_expanded_cbf vs direct_to_target,collision_rate,wilcoxon_signed_rank,1338,8.396021317989852e-184,2.5188063953969557e-183,-0.8525491829394866,cohens_dz,-0.04164084714597501,-0.03679885090304156,rechaza H0,results\sp4\SP4_MC_motion_comparison_high_power\tables\hypothesis_results.csv
SP4,results\sp4\SP4_MC_motion_comparison_high_power,H4_HP_2_cbf_reduces_collision_vs_direct,cbf_safety_filter vs direct_to_target,collision_rate,wilcoxon_signed_rank,1338,4.437529261810066e-183,8.875058523620131e-183,-0.8470598272369012,cohens_dz,-0.040595908150327896,-0.03577594010605288,rechaza H0,results\sp4\SP4_MC_motion_comparison_high_power\tables\hypothesis_results.csv
