K,N,abs_err,config_failed,config_id,experiment,lambda,n,r,regime,task_id,z_obs,z_star
2,14,3.326183142249306e-07,False,1,H1,0.060482744584236144,6.0,1.3585979199113825,abundance,1,7.5331549250682786,7.533155257686593
2,14,3.3474405203293145e-07,False,1,H1,0.060482744584236144,5.0,1.1973680290593638,abundance,2,6.466844407569331,6.466844742313383
3,10,5.554916526762099e-10,False,2,H1,0.9100456466373241,5.0,1.2860643052769538,scarcity,1,4.558072002848231,4.558072003403723
3,10,1.696222806657488e-08,False,2,H1,0.9100456466373241,7.0,0.9503859378955671,scarcity,2,5.4419279796340545,5.441927996596283
3,10,1.751771458493296e-08,False,2,H1,0.9100456466373241,6.0,0.6281136326755459,scarcity,3,1.751771458493296e-08,0.0
5,40,1.3866420900399135e-08,False,3,H1,0.05,3.0,1.3276311719925822,abundance,1,4.620370008887466,4.620369995021045
5,40,1.2047415509641723e-08,False,3,H1,0.05,7.0,1.054584787015835,abundance,2,8.50015330327155,8.500153291224134
5,40,1.253162817960174e-08,False,3,H1,0.05,6.0,0.9434141988273311,abundance,3,7.441513660725244,7.441513648193616
5,40,1.3314760849425511e-08,False,3,H1,0.05,5.0,0.7272387217847769,abundance,4,6.303000424535389,6.303000411220628
5,40,1.4408672477372875e-08,False,3,H1,0.05,4.0,0.5638172561041753,abundance,5,5.164922346378157,5.164922331969485
5,10,2.9657720723719194e-09,False,4,H1,0.9644840903521367,2.0,1.3931211213221977,scarcity,1,1.5945085740471638,1.5945085710813918
5,10,1.7737979973730944e-09,False,4,H1,0.9644840903521367,6.0,1.278383497073762,scarcity,2,5.438739620194481,5.438739618420683
5,10,1.1980975767045265e-08,False,4,H1,0.9644840903521367,6.0,0.9667210037270342,scarcity,3,2.9667517985160163,2.966751810496992
5,10,7.242340208760065e-09,False,4,H1,0.9644840903521367,4.0,0.6946387078519676,scarcity,4,7.242340208760065e-09,0.0
5,10,7.319243194238704e-16,False,4,H1,0.9644840903521367,2.0,0.5438037657872288,scarcity,5,7.319243194238704e-16,0.0
5,43,1.222249856880353e-08,False,5,H1,0.05,6.0,0.9695558112758079,abundance,1,7.455933879318583,7.455933867096085
5,43,1.2334408161507326e-08,False,5,H1,0.05,6.0,0.8704597060348689,abundance,2,7.398920909763798,7.39892089742939
5,43,1.2049472530861749e-08,False,5,H1,0.05,7.0,0.8258253581381519,abundance,3,8.37095222978995,8.370952217740477
5,43,1.2623315726045803e-08,False,5,H1,0.05,6.0,0.6894713590842857,abundance,4,7.2743094267071235,7.274309414083808
5,43,1.3878858062810195e-08,False,5,H1,0.05,4.0,0.6299215053354716,abundance,5,5.225434890541423,5.225434876662565
5,14,2.7573157090898803e-09,False,6,H1,1.0506371151523413,3.0,1.3326781960578375,scarcity,1,2.3424503481553316,2.3424503509126473
5,14,2.7614257547270427e-09,False,6,H1,1.0506371151523413,3.0,1.332259801395201,scarcity,2,2.341708070992633,2.3417080737540585
5,14,3.195344433493119e-09,False,6,H1,1.0506371151523413,5.0,1.304764357496802,scarcity,3,4.290341526915736,4.29034153011108
5,14,5.671489056169321e-09,False,6,H1,1.0506371151523413,6.0,1.2002651020022492,scarcity,4,5.025500039550714,5.025500045222203
5,14,1.4385584317585609e-08,False,6,H1,1.0506371151523413,7.0,0.8123666413820411,scarcity,5,1.4385584317585609e-08,0.0
3,22,1.1837800073521976e-08,False,7,H1,0.05,7.0,0.6999082024751083,abundance,1,8.28240407210115,8.28240406026335
3,22,1.613448219472957e-08,False,7,H1,0.05,3.0,0.6397524836093098,abundance,2,4.233839978205743,4.233839962071261
3,22,1.691480910892551e-08,False,7,H1,0.05,3.0,0.5073622697510055,abundance,3,4.106726409033953,4.1067263921191435
4,10,1.5916159057383084e-08,False,8,H1,0.9578022639696496,6.0,1.280729031021968,scarcity,1,5.456392093333653,5.456392109249812
4,10,4.0552756708223114e-08,False,8,H1,0.9578022639696496,5.0,1.0687411959528936,scarcity,2,3.9221692274372995,3.922169267990056
4,10,5.646862466512914e-08,False,8,H1,0.9578022639696496,4.0,0.95891577553834,scarcity,3,0.621438679229046,0.6214386227604214
4,10,6.6922299599455116e-40,False,8,H1,0.9578022639696496,6.0,0.6397969981276574,scarcity,4,6.6922299599455116e-40,0.0
3,23,2.3582374275576967e-08,False,9,H1,0.05,6.0,1.2649988574160256,abundance,1,7.59523768139149,7.595237704973864
3,23,2.3710309271507413e-08,False,9,H1,0.05,5.0,1.1347183200005908,abundance,2,6.538526283258926,6.538526306969235
