unit_id,path,sha256,identity,identity_status,relevant_chapters_pages,scope,claim_ids,decision,rationale_limitation,copyright_notes,verification_source,verification_date,verification_note
SRC-617a593591cb7e13,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,Fei Chen y Wei Ren; Distributed Average Tracking in Multi-agent Systems; Springer Cham; 1.ª ed.; 2020; ISBN 978-3-030-39535-3; DOI 10.1007/978-3-030-39536-0,verified-ledger:chenRen2020AverageTracking,pp. 20-34: seguimiento promedio y relación con consenso; pp. 40-51: grafos y estabilidad; pp. 147-187: Euler-Lagrange y saturación; pp. 189-239: formación y optimización distribuida,SP1;SP2;transversal,C3D-SP3,use-now,"Aporta supuestos y herramientas para estimadores distribuidos y seguimiento de referencias. No demuestra la integrabilidad del juego, el cierre entero ni la factibilidad mecánica Cargo; el enlace al claim es solo de contexto para la capa informativa.","Consulta privada; parafrasear; no copiar texto, tablas ni figuras. Ficha Springer/DOI https://doi.org/10.1007/978-3-030-39536-0 verificada el 2026-09-08.",https://doi.org/10.1007/978-3-030-39536-0,2026-09-09,Springer/DOI and local edition agree.
SRC-c68ccfd92d3f5d54,"material/books/____N2__(Lecture Notes in Control and Information Sciences, 490) Ashton Roza, Manfredi Maggiore, Luca Scardovi - Distributed Coordination Theory for Robot Teams-Springer (2022).pdf",279f2c2c0f1b7c40da3e7c68870981eb400d6eda5f250aa753efb60e3a41a7c7,"Ashton Roza, Manfredi Maggiore y Luca Scardovi; Distributed Coordination Theory for Robot Teams; LNCIS 490; Springer Cham; 1.ª ed.; 2022; ISBN 978-3-030-96086-5; DOI 10.1007/978-3-030-96087-2",verified-ledger:rozaMaggioreScardovi2022Coordination,"pp. 20-49: modelos, realimentación local y primitivas; pp. 61-120: rendezvous y formaciones de uniciclos; pp. 129-149: estabilidad y grafos",SP2;transversal,C-SP2-N1-KIN-FORMAL,use-now,"Es la consulta más directa del corpus para cinemática de uniciclo, realimentación distribuida y formaciones. No incluye carga rígida, restricciones bilaterales, reparto de wrench ni límites de rueda del Pioneer, por lo que no respalda la conclusión Cargo completa.",Consulta privada; parafrasear; no reproducir diagramas o demostraciones. Ficha Springer/DOI https://doi.org/10.1007/978-3-030-96087-2 verificada el 2026-09-08.,https://doi.org/10.1007/978-3-030-96087-2,2026-09-09,Springer/DOI and local edition agree.
SRC-a5352edb4fdf3762,material/books/____N3(Power Systems) Lei Ding_ Qing-Long Han_ Boda Ning - Distributed Control and Optimization of Networked Microgrids_ A Multi-Agent System Based Approach-Springer (2022).pdf,deedffb3db3fec1ec17f2974db6828c34bbb4faf1ce57a9d6c18074443a8d143,"Lei Ding, Qing-Long Han y Boda Ning; Distributed Control and Optimization of Networked Microgrids: A Multi-Agent System Based Approach; Springer Cham; 1.ª ed.; 2022; ISBN 978-3-030-95028-6; DOI 10.1007/978-3-030-95029-3",verified-publisher,pp. 20-23: restricciones de comunicación; pp. 29-58: consenso de red y muestreo por eventos; pp. 146-167: soluciones óptimas distribuidas,transversal,C8B-SP8,use-later,"Sirve para comparar hipótesis de muestreo, retardo y comunicación, pero la planta es una microrred y no un equipo AMR. Solo debe usarse para conceptos transferibles con supuestos rederivados; no para resultados de tráfico o transporte.","Consulta privada; usar paráfrasis conceptual; no trasladar figuras, ejemplos ni parámetros de microrred; verificar la referencia antes de citar.",https://link.springer.com/book/10.1007/978-3-030-95029-3,2026-09-09,Identidad cerrada en la ficha Springer; no está de alta en el ledger.
SRC-eb06edb5b9fef4df,"material/books/____N3__(Studies in Systems, Decision and Control 76) Yuanqing Wu, Renquan Lu, Hongye Su, Peng Shi, Zheng-Guang Wu (auth.) - Synchronization Control for Large-Scale Network Systems-Springer International Publ.pdf",d35c8eaed2b285ae5bbd7c59ff100ce2e0dfbf2f33dff7842cd138acd83216d7,"Yuanqing Wu, Renquan Lu, Hongye Su, Peng Shi y Zheng-Guang Wu; Synchronization Control for Large-Scale Network Systems; Springer Cham; 1.ª ed.; 2017; ISBN 978-3-319-45149-7; DOI 10.1007/978-3-319-45150-3",verified-publisher,"pp. 31-102: comunicación muestreada, saturación y retardos; pp. 103-123: disparo por eventos; pp. 124-233: nodos no idénticos, regulación y sincronización robusta",transversal,C8B-SP8,use-later,"Ofrece técnicas de sampled-data, retardo y saturación útiles para delimitar ejecución digital. Sus resultados se formulan para sincronización de redes a gran escala y no validan la arquitectura de mensajes, los juegos ni la planta del TFM.",Consulta privada; parafrasear y rederivar toda condición usada; no copiar pruebas o figuras; identidad anual pendiente de ledger.,https://link.springer.com/book/10.1007/978-3-319-45150-3,2026-09-09,La ficha Springer resuelve el año que faltaba.
SRC-d366d50beff01df1,"material/books/____N4___Lijing Dong, Sing Kiong Nguang - Consensus Tracking of Multi-agent Systems with Switching Topologies (Emerging Methodologies and Applications in Modelling, Identification and Control)-Academic Press ( (1).pdf",9a1c39f2d6fa368393be2abcd37c0adbe950686b18087b18f03652e88418db19,Lijing Dong y Sing Kiong Nguang; Consensus Tracking of Multi-Agent Systems with Switching Topologies; Academic Press; 1.ª ed.; 2020; ISBN 978-0-12-818365-6,verified-publisher,"pp. 11-29: topologías conmutadas, formación y fallos; pp. 158-212: agentes dañados, cardinalidad variable y retardos; pp. 213-241: coordinación finita y reemplazos activos",SP2;transversal,C5;C6D-SP6,use-later,"Es pertinente para contrastar supuestos de fallo, reemplazo y topología variable. No forma coaliciones por recursos, no modela el viaje seguro del sustituto y no establece el plazo ni la factibilidad mecánica usados por SP6.",Consulta privada; resumir con atribución; no reutilizar formulaciones o figuras; verificar ledger antes de cualquier cita.,https://www.sciencedirect.com/book/9780128183656/consensus-tracking-of-multi-agent-systems-with-switching-topologies,2026-09-09,Identidad contrastada con el catálogo ScienceDirect y la página legal local.
SRC-e385619b26baf1b7,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",a6584694a87a21bfc54286903a37cda750d7d6b66fd2e52e2535ddf1deaf9fe4,"Chunyan Wang, Zongyu Zuo, Jianan Wang y Zhengtao Ding; Robust Cooperative Control of Multi-Agent Systems: A Prediction and Observation Prospective; CRC Press; 1.ª ed.; 2021; ISBN 978-0-367-75822-6; DOI 10.1201/9781003164142",verified-publisher,"pp. 14-29: coordinación robusta y grafos; pp. 66-167: consenso con retardo; pp. 168-213: formación, rechazo de perturbaciones y validación experimental",SP2;transversal,C-SP2-N3-QUALITY-COST,use-later,"Aporta baselines de consenso y formación robusta ante retardos, además de ejemplos experimentales. No trata transporte de una carga compartida ni permite transferir estabilidad a contactos, saturaciones o al comparador empírico del TFM. El campo Subject del PDF es ajeno al libro y se descarta.",Consulta privada; usar solo contenido identificado en portada/índice; no copiar figuras o resultados; verificar ledger antes de citar.,https://www.routledge.com/Robust-Cooperative-Control-of-Multi-Agent-Systems-A-Prediction-and-Observation-Prospective/Wang-Zuo-Wang-Ding/p/book/9780367758233,2026-09-09,Se corrige Perspective por el título editorial Prospective; se ignora el Subject corrupto del PDF.
SRC-72cf71b8d4c2f78a,"material/books/____N5___Bo Shen, Zidong Wang, Qi Li - Control and State Estimation for Dynamical Network Systems with Complex Samplings-CRC Press (2022).pdf",cddb29b06d51f8a38136950e37937ff33907e92f81ca1c4cdea9b09ae35bb3ff,"Bo Shen, Zidong Wang y Qi Li; Control and State Estimation for Dynamical Network Systems with Complex Samplings; CRC Press; 1.ª ed.; 2023; ISBN 978-1-032-30996-5; DOI 10.1201/9781003307648",verified-publisher,"pp. 26-121: muestreo no uniforme, estocástico y disparado por eventos; pp. 220-281: mecanismos dinámicos de disparo y sincronización",transversal,C8B-SP8,use-later,"Ayuda a declarar con precisión muestreo, pérdida y estimación en una implementación digital. No estudia reservas de tráfico, vistas versionadas ni control de una carga, y sus condiciones matriciales no se importan sin una correspondencia de modelo.",Consulta privada; parafrasear; no reproducir esquemas ni teoremas; verificar edición y páginas en ledger.,https://www.routledge.com/Control-and-State-Estimation-for-Dynamical-Network-Systems-with-Complex-Samplings/Shen-Wang-Li/p/book/9781032310206,2026-09-09,La página legal local dice First edition published 2023; el nombre del archivo indica 2022.
SRC-ae2579b85f790469,"material/books/___N7___(Automation and Control Engineering) Zhongkui Li, Zhisheng Duan - Cooperative Control of Multi-Agent Systems_ A Consensus Region Approach-CRC Press (2014).pdf",58ee1b93b23bb5ff35131bfdec12335cb2555506ad8864e40ac01939166d5714,Zhongkui Li y Zhisheng Duan; Cooperative Control of Multi-Agent Systems: A Consensus Region Approach; CRC Press; 1.ª ed.; 2015; ISBN 978-1-4665-6997-3; DOI 10.1201/b17571,verified-publisher,"pp. 31-104: consenso continuo, discreto y H-infinity; pp. 105-194: protocolos adaptativos, tracking y containment; pp. 195-246: incertidumbre heterogénea y no linealidad",SP2;transversal,C-SP2-N3-QUALITY-COST,use-later,"Es útil para seleccionar baselines y separar consenso, tracking y containment. Su región de consenso para sistemas lineales no certifica formación rígida, wrench, contactos ni ejecución híbrida Cargo.",Consulta privada; parafrasear con límites de modelo; no copiar tablas o pruebas; añadir al ledger antes de citar.,https://doi.org/10.1201/b17571,2026-09-09,La copia tiene fecha de producción 2014 y copyright 2015; se usa el año bibliográfico 2015.
SRC-e0d36b349fca2523,material/books/___N8____Jeremy Pitt - Self-organising Multi-agent Systems_ Algorithmic Foundations Of Cyber-anarcho-socialism-WSPC (EUROPE) (2021).pdf,972ccde3b216e2841458c2c5838a65a8e156ffb32335ccaed3cfa0da9d0b1c6b,Jeremy Pitt; Self-Organising Multi-Agent Systems: Algorithmic Foundations of Cyber-Anarcho-Socialism; World Scientific; 2021; ISBN 978-1-80061-042-2; DOI 10.1142/Q0307,verified-publisher,pp. 28-93: sistemas multiagente y autoorganización; pp. 96-127: teoría de juegos y coaliciones; pp. 300-371: autogobierno algorítmico,SP1;transversal,C-SP1-N4-TAXONOMY,use-later,"Puede enriquecer la taxonomía de autoorganización e interacción estratégica, pero su marco sociotécnico es más amplio que la coordinación robótica. La portada legal indica 2022, no 2021 como sugiere el nombre del archivo.","Consulta privada; no copiar ejemplos, figuras o prosa; verificar la edición 2022 en el ledger antes de citar.",https://www.worldscientific.com/worldscibooks/10.1142/Q0307,2026-09-09,El catálogo/DOI usa 2021; la página legal de la copia muestra copyright 2022.
SRC-029958c43a90def4,material/books/Addy Osmani - Learning JavaScript Design Patterns_ A JavaScript and React Developer's Guide-O'Reilly Media (2023).pdf,67753982e0563fc2944ee32895877b601afaece0c293ad540b2bf5cfebd60257,Addy Osmani; Learning JavaScript Design Patterns: A JavaScript and React Developer's Guide; 2.ª ed.; O'Reilly Media; 2023; ISBN 978-1-098-13987-2,verified-publisher,Sin capítulo pertinente para la contribución científica; el patrón publish/subscribe de pp. 132-133 no justifica introducir una fuente de desarrollo web,transversal,,out-of-scope,"El libro trata patrones JavaScript/React, no algoritmos distribuidos, control, robótica ni evidencia experimental del TFM. La coincidencia terminológica con eventos o publish/subscribe no constituye pertinencia científica.",No usar en la memoria ni monografía; conservar solo como fuente privada del corpus; no reproducir contenido.,https://www.oreilly.com/library/view/learning-javascript-design/9781098139865/,2026-09-09,Identidad cerrada; la decisión out-of-scope se conserva.
