unit_id,path,corpus,sha256,canonical_path,is_exact_duplicate,destination,incorporation_mode,sp_target,claim_ids,claim_link_status,claim_relation,claim_link_reason,evidence_locator,evidence_status,evidence_status_note,rationale
SRC-617a593591cb7e13,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",books,69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",no,background,consultation-without-copy,SP1;SP2;transversal,C3D-SP3,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C3D-SP3,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Aporta supuestos y herramientas para estimadores distribuidos y seguimiento de referencias. No demuestra la integrabilidad del juego, el cierre entero ni la factibilidad mecánica Cargo; el enlace al claim es solo de contexto para la capa informativa."
SRC-c68ccfd92d3f5d54,"material/books/____N2__(Lecture Notes in Control and Information Sciences, 490) Ashton Roza, Manfredi Maggiore, Luca Scardovi - Distributed Coordination Theory for Robot Teams-Springer (2022).pdf",books,279f2c2c0f1b7c40da3e7c68870981eb400d6eda5f250aa753efb60e3a41a7c7,"material/books/____N2__(Lecture Notes in Control and Information Sciences, 490) Ashton Roza, Manfredi Maggiore, Luca Scardovi - Distributed Coordination Theory for Robot Teams-Springer (2022).pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N1-KIN-FORMAL,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N1-KIN-FORMAL,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Es la consulta más directa del corpus para cinemática de uniciclo, realimentación distribuida y formaciones. No incluye carga rígida, restricciones bilaterales, reparto de wrench ni límites de rueda del Pioneer, por lo que no respalda la conclusión Cargo completa."
SRC-a5352edb4fdf3762,material/books/____N3(Power Systems) Lei Ding_ Qing-Long Han_ Boda Ning - Distributed Control and Optimization of Networked Microgrids_ A Multi-Agent System Based Approach-Springer (2022).pdf,books,deedffb3db3fec1ec17f2974db6828c34bbb4faf1ce57a9d6c18074443a8d143,material/books/____N3(Power Systems) Lei Ding_ Qing-Long Han_ Boda Ning - Distributed Control and Optimization of Networked Microgrids_ A Multi-Agent System Based Approach-Springer (2022).pdf,no,background,consultation-without-copy,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Sirve para comparar hipótesis de muestreo, retardo y comunicación, pero la planta es una microrred y no un equipo AMR. Solo debe usarse para conceptos transferibles con supuestos rederivados; no para resultados de tráfico o transporte."
SRC-eb06edb5b9fef4df,"material/books/____N3__(Studies in Systems, Decision and Control 76) Yuanqing Wu, Renquan Lu, Hongye Su, Peng Shi, Zheng-Guang Wu (auth.) - Synchronization Control for Large-Scale Network Systems-Springer International Publ.pdf",books,d35c8eaed2b285ae5bbd7c59ff100ce2e0dfbf2f33dff7842cd138acd83216d7,"material/books/____N3__(Studies in Systems, Decision and Control 76) Yuanqing Wu, Renquan Lu, Hongye Su, Peng Shi, Zheng-Guang Wu (auth.) - Synchronization Control for Large-Scale Network Systems-Springer International Publ.pdf",no,background,consultation-without-copy,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Ofrece técnicas de sampled-data, retardo y saturación útiles para delimitar ejecución digital. Sus resultados se formulan para sincronización de redes a gran escala y no validan la arquitectura de mensajes, los juegos ni la planta del TFM."
SRC-d366d50beff01df1,"material/books/____N4___Lijing Dong, Sing Kiong Nguang - Consensus Tracking of Multi-agent Systems with Switching Topologies (Emerging Methodologies and Applications in Modelling, Identification and Control)-Academic Press ( (1).pdf",books,9a1c39f2d6fa368393be2abcd37c0adbe950686b18087b18f03652e88418db19,"material/books/____N4___Lijing Dong, Sing Kiong Nguang - Consensus Tracking of Multi-agent Systems with Switching Topologies (Emerging Methodologies and Applications in Modelling, Identification and Control)-Academic Press ( (1).pdf",no,background,consultation-without-copy,SP2;transversal,C5;C6D-SP6,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C5;C6D-SP6,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Es pertinente para contrastar supuestos de fallo, reemplazo y topología variable. No forma coaliciones por recursos, no modela el viaje seguro del sustituto y no establece el plazo ni la factibilidad mecánica usados por SP6."
SRC-e385619b26baf1b7,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",books,a6584694a87a21bfc54286903a37cda750d7d6b66fd2e52e2535ddf1deaf9fe4,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Aporta baselines de consenso y formación robusta ante retardos, además de ejemplos experimentales. No trata transporte de una carga compartida ni permite transferir estabilidad a contactos, saturaciones o al comparador empírico del TFM. El campo Subject del PDF es ajeno al libro y se descarta."
SRC-72cf71b8d4c2f78a,"material/books/____N5___Bo Shen, Zidong Wang, Qi Li - Control and State Estimation for Dynamical Network Systems with Complex Samplings-CRC Press (2022).pdf",books,cddb29b06d51f8a38136950e37937ff33907e92f81ca1c4cdea9b09ae35bb3ff,"material/books/____N5___Bo Shen, Zidong Wang, Qi Li - Control and State Estimation for Dynamical Network Systems with Complex Samplings-CRC Press (2022).pdf",no,background,consultation-without-copy,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Ayuda a declarar con precisión muestreo, pérdida y estimación en una implementación digital. No estudia reservas de tráfico, vistas versionadas ni control de una carga, y sus condiciones matriciales no se importan sin una correspondencia de modelo."
SRC-9dca912387724429,"material/books/___N4___Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",books,a6584694a87a21bfc54286903a37cda750d7d6b66fd2e52e2535ddf1deaf9fe4,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",yes,archive-only,exact-duplicate-reference,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,canonical-reference,Los enlaces se heredan del archivo canónico; el duplicado exacto no añade evidencia.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,Hash idéntico; se conserva solo la ruta y el enlace al canónico.
SRC-ae2579b85f790469,"material/books/___N7___(Automation and Control Engineering) Zhongkui Li, Zhisheng Duan - Cooperative Control of Multi-Agent Systems_ A Consensus Region Approach-CRC Press (2014).pdf",books,58ee1b93b23bb5ff35131bfdec12335cb2555506ad8864e40ac01939166d5714,"material/books/___N7___(Automation and Control Engineering) Zhongkui Li, Zhisheng Duan - Cooperative Control of Multi-Agent Systems_ A Consensus Region Approach-CRC Press (2014).pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Es útil para seleccionar baselines y separar consenso, tracking y containment. Su región de consenso para sistemas lineales no certifica formación rígida, wrench, contactos ni ejecución híbrida Cargo."
SRC-e0d36b349fca2523,material/books/___N8____Jeremy Pitt - Self-organising Multi-agent Systems_ Algorithmic Foundations Of Cyber-anarcho-socialism-WSPC (EUROPE) (2021).pdf,books,972ccde3b216e2841458c2c5838a65a8e156ffb32335ccaed3cfa0da9d0b1c6b,material/books/___N8____Jeremy Pitt - Self-organising Multi-agent Systems_ Algorithmic Foundations Of Cyber-anarcho-socialism-WSPC (EUROPE) (2021).pdf,no,background,consultation-without-copy,SP1;transversal,C-SP1-N4-TAXONOMY,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP1-N4-TAXONOMY,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Puede enriquecer la taxonomía de autoorganización e interacción estratégica, pero su marco sociotécnico es más amplio que la coordinación robótica. La portada legal indica 2022, no 2021 como sugiere el nombre del archivo."
