idea_id,source_unit_id,corpus,path,source_sha256,kind,locator,depth,title,normalized_title,title_overlap_group,title_overlap_status,sp_target,claim_ids,claim_relation,evidence_status,destination,incorporation_mode,formal_context_result_ids,formal_context_verdicts,formal_context_claim_ids,formal_context_status,semantic_review_status,rationale
IDEA-fd0d1bfc62b0a220b397,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:100:page:172,2,8.2.2 Convergence Analysis,8 2 2 convergence analysis,TITLE-1046f86ac2b2,candidate-cross-source-overlap,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-06e5d88d195c03d33e40,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:101:page:177,1,8.3 Distributed Average Tracking for Reference with Bounded Inputs,8 3 distributed average tracking for reference with bounded inputs,TITLE-decd5dacbae2,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-2c7ea14837ae58aa363a,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:102:page:178,2,8.3.1 Algorithm Design,8 3 1 algorithm design,TITLE-2b8e3e343b3f,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-524d0e87de51899c4eb1,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:103:page:179,2,8.3.2 Convergence Analysis,8 3 2 convergence analysis,TITLE-1ceb04001776,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-3c811c16917530a43da6,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:104:page:182,1,8.4 Simulation,8 4 simulation,TITLE-74bf4a8d349b,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-dae0c94a3e17614ed0eb,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:105:page:186,1,References,references,TITLE-07a0b0962107,candidate-cross-source-overlap,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-d1dde8c554664c2f0904,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:106:page:188,0,Part IV Applications,part iv applications,TITLE-cf6aaabb0653,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-af24c1e2d1b674bcd269,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:107:page:189,0,9 Distributed Average Tracking in Formation Control,9 distributed average tracking in formation control,TITLE-686e61559209,repeated-within-source,SP2,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-15b1fe457e995191ba5f,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:108:page:190,1,9.1 Region-Following Formation Control Problem,9 1 region following formation control problem,TITLE-0fe347f60aee,repeated-within-source,SP2,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-fbd877399c0738135929,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:109:page:191,1,9.2 Dynamic Region-Following Formation Control via Distributed Average Tracking,9 2 dynamic region following formation control via distributed average tracking,TITLE-920f069e03d0,repeated-within-source,SP2,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
IDEA-3fbfdcd464a3fde9956f,SRC-617a593591cb7e13,books,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,pdf-bookmark,bookmark:10:page:19,2,1.1.2 Autonomy,1 1 2 autonomy,TITLE-e8037211e801,repeated-within-source,SP1;SP2;transversal,C3D-SP3,context,candidate,background,consultation-without-copy,,,,not-applicable,consultation-indexed,Tema de consulta; requiere cita primaria verificada antes de respaldar una afirmación.
