paragraph_id,chapter,current_path,current_line,corpus,source_path,source_block,common_5grams,containment_current,jaccard,match_type,determination,current_excerpt,source_excerpt
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:1:p001,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,1,snapshot,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,1,42,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"Resumen Este TFM estudia el transporte cooperativo de cargas heterogéneas mediante tres subproblemas: SP1 forma coaliciones y asigna roles; SP2 aproxima, acopla, transporta y sustituye miembros; SP3 coordina rutas y reservas entre misiones.","Resumen Este TFM estudia el transporte cooperativo de cargas heterogéneas mediante tres subproblemas: SP1 forma coaliciones y asigna roles; SP2 aproxima, acopla, transporta y sustituye miembros; SP3 coordina rutas y reservas entre misiones."
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:1:p001,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,1,work,work/TFM_MROB_Compendio_Maestro_Exhaustivo_2026.pdf,13,3,0.071429,0.008108,LOW_OVERLAP,"LEGITIMATE_AUTHOR_DRAFT_REUSE; retain provenance, re-synthesize if copied wholesale","Resumen Este TFM estudia el transporte cooperativo de cargas heterogéneas mediante tres subproblemas: SP1 forma coaliciones y asigna roles; SP2 aproxima, acopla, transporta y sustituye miembros; SP3 coordina rutas y reservas entre misiones.","Resumen—Este trabajo presenta una formulación unificada para el transporte cooperativo de cargas heterogéneas mediante múltiples robots móviles autónomos (AMR) de tracción diferencial. El problema completo –reclutamiento, autoasignación geo"
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:8:p002,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,8,snapshot,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,8,70,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"La propuesta combina referencias LP/MILP, juegos potenciales, dinámica primal--dual, cierre entero y contratos de recursos, contacto, movimiento, recuperación y red. Se prueban regulación de cuotas, estabilidad local de Cargo bajo contacto ","La propuesta combina referencias LP/MILP, juegos potenciales, dinámica primal--dual, cierre entero y contratos de recursos, contacto, movimiento, recuperación y red. Se prueban regulación de cuotas, estabilidad local de Cargo bajo contacto "
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:8:p002,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,8,thesis,thesis/sections/frontmatter/01-summary.tex,2,4,0.057143,0.033898,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"La propuesta combina referencias LP/MILP, juegos potenciales, dinámica primal--dual, cierre entero y contratos de recursos, contacto, movimiento, recuperación y red. Se prueban regulación de cuotas, estabilidad local de Cargo bajo contacto ","La propuesta combina referencias LP/MILP, dinámica primal--dual central y vecinal, cierre entero con reparación y certificados separados para recursos, contacto y movimiento. La evaluación usa mundos pareados, semillas explícitas y oráculos"
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:16:p003,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,16,snapshot,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,16,77,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"SP1 regula cuotas bajo condiciones explícitas, separa la capacidad heterogénea y reduce falsos factibles nominales en la interfaz SP1--SP2. SP2 revela un intercambio adverso entre seguridad y progreso y restaura los certificados recuperable","SP1 regula cuotas bajo condiciones explícitas, separa la capacidad heterogénea y reduce falsos factibles nominales en la interfaz SP1--SP2. SP2 revela un intercambio adverso entre seguridad y progreso y restaura los certificados recuperable"
pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex:25:p004,Preliminares: Resumen,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,25,snapshot,pre-thesis/sections/source-snapshot/frontmatter/01-summary.tex,25,38,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"La contribución es una arquitectura verificable de contratos y juegos locales, más una composición funcional planar. No demuestra estabilidad híbrida global, optimalidad social, coordinación completamente distribuida ni validez industrial. ","La contribución es una arquitectura verificable de contratos y juegos locales, más una composición funcional planar. No demuestra estabilidad híbrida global, optimalidad social, coordinación completamente distribuida ni validez industrial. "
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:1:p001,Preliminares: Abstract,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,1,snapshot,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,1,41,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems: SP1 forms coalitions and assigns roles; SP2 approaches, docks, transports, and replaces members; SP3 coordinates routes and reservations","Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems: SP1 forms coalitions and assigns roles; SP2 approaches, docks, transports, and replaces members; SP3 coordinates routes and reservations"
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:1:p001,Preliminares: Abstract,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,1,thesis,thesis/sections/frontmatter/02-abstract.tex,1,10,0.243902,0.086957,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"Abstract This thesis studies cooperative transport of heterogeneous payloads through three subproblems: SP1 forms coalitions and assigns roles; SP2 approaches, docks, transports, and replaces members; SP3 coordinates routes and reservations","Abstract Cooperative transport of heterogeneous payloads requires a suitable coalition, physical interaction, and traffic coordination with concurrent missions. This thesis structures the problem into three subproblems. SP1 decides which ro"
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:8:p002,Preliminares: Abstract,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,8,snapshot,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,8,66,1.0,1.0,EXACT_OR_CONTAINED,LEGITIMATE_CANONICAL_SOURCE_COPY; provenance must remain declared,"The proposal combines LP/MILP references, potential games, primal--dual dynamics, integer closure, and contracts for resources, contact, motion, recovery, and communication. Formal results cover quota regulation, local Cargo stability under","The proposal combines LP/MILP references, potential games, primal--dual dynamics, integer closure, and contracts for resources, contact, motion, recovery, and communication. Formal results cover quota regulation, local Cargo stability under"
pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex:8:p002,Preliminares: Abstract,pre-thesis/sections/source-snapshot/frontmatter/02-abstract.tex,8,thesis,thesis/sections/frontmatter/02-abstract.tex,2,6,0.090909,0.05,LOW_OVERLAP,LEGITIMATE_UNPUBLISHED_REVISION; not a separate publication,"The proposal combines LP/MILP references, potential games, primal--dual dynamics, integer closure, and contracts for resources, contact, motion, recovery, and communication. Formal results cover quota regulation, local Cargo stability under","The proposal combines LP/MILP references, central and neighbour-based sampled primal--dual dynamics, integer closure with repair, and separate certificates for resources, contact, and motion. Evaluation uses paired worlds, explicit seeds, a"
