archivo,escenario,fps,fuente,metodo,nota,semilla
results/trajectories/trajectory_abundance_smith_full_2026.parquet,abundance,24,results/trajectories/trajectory_abundance_smith_full_2026.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_abundance_smith_full_2026.parquet,abundance,24,results/trajectories/loads_abundance_smith_full_2026.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/abundance_smith_full.mp4,abundance,24,results/trajectories/trajectory_abundance_smith_full_2026.parquet,smith_full,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_abundance_classic_greedy_nearest_2026.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_abundance_classic_greedy_nearest_2026.parquet,abundance,24,results/trajectories/loads_abundance_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/abundance_classic_greedy_nearest.mp4,abundance,24,results/trajectories/trajectory_abundance_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_abundance_classic_centralized_mincost_2026.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_abundance_classic_centralized_mincost_2026.parquet,abundance,24,results/trajectories/loads_abundance_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/abundance_classic_centralized_mincost.mp4,abundance,24,results/trajectories/trajectory_abundance_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_abundance_oracle_clairvoyant_2026.parquet,abundance,24,results/trajectories/trajectory_abundance_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_abundance_oracle_clairvoyant_2026.parquet,abundance,24,results/trajectories/loads_abundance_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/abundance_oracle_clairvoyant.mp4,abundance,24,results/trajectories/trajectory_abundance_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_abundance_smith_full_2027.parquet,abundance,24,results/trajectories/trajectory_abundance_smith_full_2027.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_abundance_smith_full_2027.parquet,abundance,24,results/trajectories/loads_abundance_smith_full_2027.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_abundance_classic_greedy_nearest_2027.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_greedy_nearest_2027.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_abundance_classic_greedy_nearest_2027.parquet,abundance,24,results/trajectories/loads_abundance_classic_greedy_nearest_2027.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_abundance_classic_centralized_mincost_2027.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_centralized_mincost_2027.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_abundance_classic_centralized_mincost_2027.parquet,abundance,24,results/trajectories/loads_abundance_classic_centralized_mincost_2027.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_abundance_oracle_clairvoyant_2027.parquet,abundance,24,results/trajectories/trajectory_abundance_oracle_clairvoyant_2027.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_abundance_oracle_clairvoyant_2027.parquet,abundance,24,results/trajectories/loads_abundance_oracle_clairvoyant_2027.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_abundance_smith_full_2028.parquet,abundance,24,results/trajectories/trajectory_abundance_smith_full_2028.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_abundance_smith_full_2028.parquet,abundance,24,results/trajectories/loads_abundance_smith_full_2028.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_abundance_classic_greedy_nearest_2028.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_greedy_nearest_2028.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_abundance_classic_greedy_nearest_2028.parquet,abundance,24,results/trajectories/loads_abundance_classic_greedy_nearest_2028.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_abundance_classic_centralized_mincost_2028.parquet,abundance,24,results/trajectories/trajectory_abundance_classic_centralized_mincost_2028.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_abundance_classic_centralized_mincost_2028.parquet,abundance,24,results/trajectories/loads_abundance_classic_centralized_mincost_2028.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_abundance_oracle_clairvoyant_2028.parquet,abundance,24,results/trajectories/trajectory_abundance_oracle_clairvoyant_2028.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_abundance_oracle_clairvoyant_2028.parquet,abundance,24,results/trajectories/loads_abundance_oracle_clairvoyant_2028.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/animations/abundance_comparison.mp4,abundance,24,results/trajectories,smith_full|greedy|centralized,"side-by-side MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_smith_full.pdf,abundance,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_smith_full.png,abundance,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/paths_smith_full.pdf,abundance,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_classic_greedy_nearest.pdf,abundance,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_classic_greedy_nearest.png,abundance,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/paths_classic_greedy_nearest.pdf,abundance,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_classic_centralized_mincost.pdf,abundance,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_classic_centralized_mincost.png,abundance,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/paths_classic_centralized_mincost.pdf,abundance,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_oracle_clairvoyant.pdf,abundance,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/snapshots_oracle_clairvoyant.png,abundance,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/abundance/paths_oracle_clairvoyant.pdf,abundance,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_scarcity_priority_smith_full_2026.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_smith_full_2026.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_scarcity_priority_smith_full_2026.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_smith_full_2026.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/scarcity_priority_smith_full.mp4,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_smith_full_2026.parquet,smith_full,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2026.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2026.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/scarcity_priority_classic_greedy_nearest.mp4,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2026.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2026.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/scarcity_priority_classic_centralized_mincost.mp4,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2026.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2026.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/scarcity_priority_oracle_clairvoyant.mp4,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_scarcity_priority_smith_full_2027.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_smith_full_2027.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_scarcity_priority_smith_full_2027.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_smith_full_2027.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2027.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2027.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2027.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2027.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2027.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2027.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2027.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2027.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2027.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2027.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2027.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2027.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/trajectory_scarcity_priority_smith_full_2028.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_smith_full_2028.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_scarcity_priority_smith_full_2028.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_smith_full_2028.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2028.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_greedy_nearest_2028.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2028.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_greedy_nearest_2028.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2028.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_classic_centralized_mincost_2028.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2028.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_classic_centralized_mincost_2028.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2028.parquet,scarcity_priority,24,results/trajectories/trajectory_scarcity_priority_oracle_clairvoyant_2028.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2028.parquet,scarcity_priority,24,results/trajectories/loads_scarcity_priority_oracle_clairvoyant_2028.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2028
results/animations/scarcity_priority_comparison.mp4,scarcity_priority,24,results/trajectories,smith_full|greedy|centralized,"side-by-side MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_smith_full.pdf,scarcity_priority,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_smith_full.png,scarcity_priority,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/paths_smith_full.pdf,scarcity_priority,24,results/trajectories,smith_full,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_classic_greedy_nearest.pdf,scarcity_priority,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_classic_greedy_nearest.png,scarcity_priority,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/paths_classic_greedy_nearest.pdf,scarcity_priority,24,results/trajectories,classic_greedy_nearest,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_classic_centralized_mincost.pdf,scarcity_priority,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_classic_centralized_mincost.png,scarcity_priority,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/paths_classic_centralized_mincost.pdf,scarcity_priority,24,results/trajectories,classic_centralized_mincost,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_oracle_clairvoyant.pdf,scarcity_priority,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/snapshots_oracle_clairvoyant.png,scarcity_priority,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/figures_pdf/scenarios/scarcity_priority/paths_oracle_clairvoyant.pdf,scarcity_priority,24,results/trajectories,oracle_clairvoyant,"static figure derived from trajectories; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_robot_failure_smith_full_2026.parquet,robot_failure,24,results/trajectories/trajectory_robot_failure_smith_full_2026.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_robot_failure_smith_full_2026.parquet,robot_failure,24,results/trajectories/loads_robot_failure_smith_full_2026.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
