t,robot,x,y,theta,policy
0.0,Pioneer_01,-14.9812,-10.7926,0.5996,smith_qr_battery
0.0,Pioneer_02,-12.914,-10.754,1.6771,smith_qr_battery
0.0,Pioneer_03,-10.8073,-10.8232,0.7305,smith_qr_battery
0.0,Pioneer_04,-8.71,-10.758,0.8059,smith_qr_battery
0.0,Pioneer_05,-6.5398,-10.8499,0.8882,smith_qr_battery
0.0,Pioneer_06,-4.5117,-10.8153,0.9771,smith_qr_battery
0.0,Pioneer_07,-2.3916,-10.8001,1.0717,smith_qr_battery
0.0,Pioneer_08,-0.2936,-10.7745,1.1021,smith_qr_battery
0.0,Pioneer_09,1.765,-10.8154,1.2253,smith_qr_battery
0.0,Pioneer_10,3.8524,-10.8335,1.3511,smith_qr_battery
0.0,Pioneer_11,5.9667,-10.8105,1.4757,smith_qr_battery
0.0,Pioneer_12,8.0943,-10.8074,1.5953,smith_qr_battery
0.0,Pioneer_13,10.2548,-10.8081,1.7071,smith_qr_battery
0.0,Pioneer_14,12.2636,-10.8221,1.8094,smith_qr_battery
0.0,Pioneer_15,14.3668,-10.8309,1.994,smith_qr_battery
0.5,Pioneer_01,-14.627,-10.5297,0.5996,smith_qr_battery
0.5,Pioneer_02,-12.8909,-10.826,1.6771,smith_qr_battery
0.5,Pioneer_03,-10.8399,-10.8305,0.7305,smith_qr_battery
0.5,Pioneer_04,-8.7093,-10.8099,0.8059,smith_qr_battery
0.5,Pioneer_05,-6.6012,-10.8087,0.8882,smith_qr_battery
0.5,Pioneer_06,-4.5148,-10.7946,0.9771,smith_qr_battery
0.5,Pioneer_07,-2.4014,-10.8052,1.0717,smith_qr_battery
0.5,Pioneer_08,-0.2913,-10.8128,1.1021,smith_qr_battery
0.5,Pioneer_09,1.8496,-10.7618,1.2253,smith_qr_battery
0.5,Pioneer_10,3.9344,-10.8027,1.3511,smith_qr_battery
0.5,Pioneer_11,6.0022,-10.7858,1.4757,smith_qr_battery
0.5,Pioneer_12,8.085,-10.7942,1.5953,smith_qr_battery
0.5,Pioneer_13,10.1771,-10.7728,1.7071,smith_qr_battery
0.5,Pioneer_14,12.2505,-10.7848,1.8094,smith_qr_battery
0.5,Pioneer_15,14.3945,-10.7825,1.994,smith_qr_battery
1.0,Pioneer_01,-14.2793,-10.3383,0.5996,smith_qr_battery
1.0,Pioneer_02,-12.8817,-10.6391,1.6771,smith_qr_battery
1.0,Pioneer_03,-10.8375,-10.8477,0.7305,smith_qr_battery
1.0,Pioneer_04,-8.6922,-10.8192,0.8059,smith_qr_battery
1.0,Pioneer_05,-6.6227,-10.7998,0.8882,smith_qr_battery
1.0,Pioneer_06,-4.5432,-10.8157,0.9771,smith_qr_battery
1.0,Pioneer_07,-2.4299,-10.8096,1.0717,smith_qr_battery
1.0,Pioneer_08,-0.29,-10.7923,1.1021,smith_qr_battery
1.0,Pioneer_09,1.8143,-10.7855,1.2253,smith_qr_battery
1.0,Pioneer_10,3.8688,-10.8347,1.3511,smith_qr_battery
1.0,Pioneer_11,6.0113,-10.8258,1.4757,smith_qr_battery
1.0,Pioneer_12,8.0773,-10.7982,1.5953,smith_qr_battery
1.0,Pioneer_13,10.243,-10.781,1.7071,smith_qr_battery
1.0,Pioneer_14,12.303,-10.7367,1.8094,smith_qr_battery
1.0,Pioneer_15,14.4006,-10.7835,1.994,smith_qr_battery
1.5,Pioneer_01,-13.9575,-10.1729,0.5996,smith_qr_battery
1.5,Pioneer_02,-12.7909,-10.2153,1.6771,smith_qr_battery
1.5,Pioneer_03,-10.7715,-10.7611,0.7305,smith_qr_battery
1.5,Pioneer_04,-8.7063,-10.8034,0.8059,smith_qr_battery
1.5,Pioneer_05,-6.6461,-10.8108,0.8882,smith_qr_battery
1.5,Pioneer_06,-4.4729,-10.7685,0.9771,smith_qr_battery
1.5,Pioneer_07,-2.3673,-10.7745,1.0717,smith_qr_battery
1.5,Pioneer_08,-0.3013,-10.7929,1.1021,smith_qr_battery
1.5,Pioneer_09,1.8164,-10.8233,1.2253,smith_qr_battery
1.5,Pioneer_10,3.9168,-10.7541,1.3511,smith_qr_battery
1.5,Pioneer_11,5.9585,-10.8112,1.4757,smith_qr_battery
1.5,Pioneer_12,8.0995,-10.775,1.5953,smith_qr_battery
1.5,Pioneer_13,10.1861,-10.7984,1.7071,smith_qr_battery
1.5,Pioneer_14,12.3276,-10.7739,1.8094,smith_qr_battery
1.5,Pioneer_15,14.3965,-10.7882,1.994,smith_qr_battery
2.0,Pioneer_01,-13.5556,-9.9185,0.5996,smith_qr_battery
2.0,Pioneer_02,-12.726,-9.8513,1.6771,smith_qr_battery
2.0,Pioneer_03,-10.5067,-10.4881,0.7305,smith_qr_battery
