t,robot,x,y,theta,policy
0.0,Pioneer_01,-15.0236,-10.7882,0.51,smith_qr_integrated
0.0,Pioneer_02,-13.6966,-10.8133,0.5701,smith_qr_integrated
0.0,Pioneer_03,-12.3888,-10.7658,0.6441,smith_qr_integrated
0.0,Pioneer_04,-11.0783,-10.8154,0.7278,smith_qr_integrated
0.0,Pioneer_05,-9.7978,-10.7903,0.8145,smith_qr_integrated
0.0,Pioneer_06,-8.5017,-10.8152,0.8944,smith_qr_integrated
0.0,Pioneer_07,-7.1867,-10.7692,0.9563,smith_qr_integrated
0.0,Pioneer_08,-5.871,-10.8057,0.9927,smith_qr_integrated
0.0,Pioneer_09,-4.5776,-10.7957,1.0067,smith_qr_integrated
0.0,Pioneer_10,-3.2126,-10.7928,1.0136,smith_qr_integrated
0.0,Pioneer_11,-1.964,-10.8072,1.0357,smith_qr_integrated
0.0,Pioneer_12,-0.6072,-10.8138,1.0908,smith_qr_integrated
0.0,Pioneer_13,0.6849,-10.8274,1.1715,smith_qr_integrated
0.0,Pioneer_14,1.9523,-10.8037,1.3134,smith_qr_integrated
0.0,Pioneer_15,3.2391,-10.8217,1.4943,smith_qr_integrated
0.0,Pioneer_16,4.5665,-10.8317,1.6949,smith_qr_integrated
0.0,Pioneer_17,5.8686,-10.809,1.8891,smith_qr_integrated
0.0,Pioneer_18,7.1221,-10.8455,2.0548,smith_qr_integrated
0.0,Pioneer_19,8.4876,-10.7698,2.1808,smith_qr_integrated
0.0,Pioneer_20,9.762,-10.8162,2.2646,smith_qr_integrated
0.0,Pioneer_21,11.0984,-10.8195,2.3091,smith_qr_integrated
0.0,Pioneer_22,12.3971,-10.7885,2.3223,smith_qr_integrated
0.0,Pioneer_23,13.6457,-10.8079,2.3191,smith_qr_integrated
0.0,Pioneer_24,15.0053,-10.8288,2.3188,smith_qr_integrated
0.5,Pioneer_01,-14.754,-10.7152,0.51,smith_qr_integrated
0.5,Pioneer_02,-13.6652,-10.7551,0.5701,smith_qr_integrated
0.5,Pioneer_03,-12.4134,-10.7642,0.6441,smith_qr_integrated
0.5,Pioneer_04,-11.0541,-10.7998,0.7278,smith_qr_integrated
0.5,Pioneer_05,-9.8034,-10.8056,0.8145,smith_qr_integrated
0.5,Pioneer_06,-8.494,-10.7768,0.8944,smith_qr_integrated
0.5,Pioneer_07,-7.1804,-10.8184,0.9563,smith_qr_integrated
0.5,Pioneer_08,-5.8543,-10.8001,0.9927,smith_qr_integrated
0.5,Pioneer_09,-4.533,-10.7754,1.0067,smith_qr_integrated
0.5,Pioneer_10,-3.2492,-10.7739,1.0136,smith_qr_integrated
0.5,Pioneer_11,-1.9493,-10.8212,1.0357,smith_qr_integrated
0.5,Pioneer_12,-0.6364,-10.813,1.0908,smith_qr_integrated
0.5,Pioneer_13,0.6225,-10.7977,1.1715,smith_qr_integrated
0.5,Pioneer_14,1.9419,-10.7687,1.3134,smith_qr_integrated
0.5,Pioneer_15,3.2836,-10.7983,1.4943,smith_qr_integrated
0.5,Pioneer_16,4.6061,-10.8405,1.6949,smith_qr_integrated
0.5,Pioneer_17,5.878,-10.8054,1.8891,smith_qr_integrated
0.5,Pioneer_18,7.1626,-10.7745,2.0548,smith_qr_integrated
0.5,Pioneer_19,8.4717,-10.7919,2.1808,smith_qr_integrated
0.5,Pioneer_20,9.7483,-10.8104,2.2646,smith_qr_integrated
0.5,Pioneer_21,11.0744,-10.7729,2.3091,smith_qr_integrated
0.5,Pioneer_22,12.4262,-10.815,2.3223,smith_qr_integrated
0.5,Pioneer_23,13.6336,-10.8133,2.3191,smith_qr_integrated
0.5,Pioneer_24,15.0048,-10.801,2.3188,smith_qr_integrated
1.0,Pioneer_01,-14.5278,-10.5516,0.51,smith_qr_integrated
1.0,Pioneer_02,-13.5919,-10.7415,0.5701,smith_qr_integrated
1.0,Pioneer_03,-12.3569,-10.8596,0.6441,smith_qr_integrated
1.0,Pioneer_04,-11.0563,-10.8036,0.7278,smith_qr_integrated
1.0,Pioneer_05,-9.8244,-10.8183,0.8145,smith_qr_integrated
1.0,Pioneer_06,-8.4768,-10.7998,0.8944,smith_qr_integrated
1.0,Pioneer_07,-7.1356,-10.8007,0.9563,smith_qr_integrated
1.0,Pioneer_08,-5.8767,-10.8078,0.9927,smith_qr_integrated
1.0,Pioneer_09,-4.5253,-10.7983,1.0067,smith_qr_integrated
1.0,Pioneer_10,-3.2663,-10.767,1.0136,smith_qr_integrated
1.0,Pioneer_11,-1.9633,-10.7747,1.0357,smith_qr_integrated
1.0,Pioneer_12,-0.6483,-10.8308,1.0908,smith_qr_integrated
1.0,Pioneer_13,0.6494,-10.8154,1.1715,smith_qr_integrated
1.0,Pioneer_14,1.9568,-10.7823,1.3134,smith_qr_integrated
1.0,Pioneer_15,3.1885,-10.8052,1.4943,smith_qr_integrated
1.0,Pioneer_16,4.6065,-10.7852,1.6949,smith_qr_integrated
1.0,Pioneer_17,5.8849,-10.8081,1.8891,smith_qr_integrated
1.0,Pioneer_18,7.1985,-10.8312,2.0548,smith_qr_integrated
1.0,Pioneer_19,8.477,-10.8608,2.1808,smith_qr_integrated
1.0,Pioneer_20,9.7452,-10.8148,2.2646,smith_qr_integrated
1.0,Pioneer_21,11.0561,-10.7884,2.3091,smith_qr_integrated
1.0,Pioneer_22,12.3857,-10.7855,2.3223,smith_qr_integrated
1.0,Pioneer_23,13.6712,-10.7991,2.3191,smith_qr_integrated
1.0,Pioneer_24,15.0298,-10.7673,2.3188,smith_qr_integrated
1.5,Pioneer_01,-14.2624,-10.4057,0.51,smith_qr_integrated
1.5,Pioneer_02,-13.3245,-10.5499,0.5701,smith_qr_integrated
