cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
,,,,,waypoint,smith,,,,0.0,177.4731824999908,2.5260724650293582,9.895977537314147,0,184.3199999999049,-0.0828191503250302,-0.0710754146239258,998300,2,164.73394516928846,0,6,6,19558,True,184.33999999990485,2.555234458568494,0.1408798070443226
,,,,,waypoint,smith,,,,0.0,147.16800659999717,2.8456878642845576,8.114077170392205,0,155.21999999993133,-0.0828235951763814,-0.1152662591768258,837968,2,162.4082928264706,0,6,18,13034,True,155.2399999999313,1.777381447277966,0.1264822264358098
,,,,,game,smith,,,,0.0,191.6573153999634,3.006936797512,8.397650229007668,0,159.57999999992737,-0.3481327396089397,0.5668977823741637,846713,2,159.08794149024982,0,6,0,12284,True,159.59999999992735,1.807603914340065,0.1128275045164173
,,,,,game,smith,,,,0.0,279.95775529998355,4.305635235081567,16.322680357023664,0,239.7399999998545,-0.0504747961048845,-0.0201651433883576,1296212,2,162.84306823519117,0,6,12,37530,True,239.75999999985444,2.988812118544452,0.0755375493750066
,,,,,game,smith,,,,0.0,194.44781399995557,2.9322825816071845,9.56873208443754,0,182.6799999999064,-0.0869814720026855,-0.0826035667925406,1083551,2,164.5402290768433,0,6,24,17467,True,182.69999999990637,2.1978328809641487,0.0698420619761046
,,,,,waypoint,smith,,,,0.0,275.2108218999929,,15.21788396770594,0,300.01999999979967,-0.2505508620511791,3.538681997731514,1370526,0,164.1693678202221,0,30,7,28378,False,300.01999999979967,,0.1498843394339726
,,,,,waypoint,smith,,,,9.079999999999895,127.19693049998024,4.104940873630881,9.514131107413856,0,134.51999999995016,-0.0220099854852576,0.1753194489077811,803072,2,164.03314879530987,0,6,19,28187,True,134.53999999995014,2.555125024227376,0.101579632082994
,,,,,game,smith,,,,0.0,336.5054997999687,3.8924473597805846,14.073305329073056,0,262.65999999983364,-0.0719506462805422,-0.0588575979717118,1485093,2,164.30284052668833,0,9,1,22923,True,262.6799999998336,3.1644580043681403,0.1136680274132813
,,,,,game,smith,,,,0.0,264.3335367999971,4.19814254297122,12.820325169129902,0,232.07999999986143,-0.111510952451903,2.2947870940356374,1215864,2,161.40556095143774,0,9,13,19728,True,232.0999999998614,1.9483282629992225,0.093481661539474
,,,,,game,smith,,,,0.0,199.0355088000069,3.828251793417603,10.820954296122018,0,172.1799999999159,-0.2981747592304269,-0.0874683681847177,861553,2,163.11594441134687,0,6,25,28364,True,172.1999999999159,2.426264685391731,0.118979139876112
