_grid,cfg_a_ref,cfg_belief_err,cfg_cap_scale,cfg_corridor,cfg_fitness,cfg_planner,cfg_protocol,cfg_recertify,cfg_recruit,cfg_safety,corridor_double,cpu_s,curvature,energy_Wh,false_cert,makespan,min_sep_amr,min_sep_load,msgs,n_done,phi_oracle,recert_reject,revisions,seed,slip,success,t_end,tortuosity,wall_pen_max
protocolos,,,,,,,best_response,,,,0.0,598.8119994999724,3.8202133583629454,14.650879888049952,0,288.1999999998104,-0.08684495788433594,1.571336591975252,1529822,2,162.62033852338874,0,12,11,22010,True,288.2199999998104,2.2145583376036093,0.05916150418884669
protocolos,,,,,,,best_response,,,,0.0,258.5204975999659,3.090963893514177,11.294648542425234,0,197.29999999989306,-0.10377730238345917,0.5386209472620802,1163624,2,164.09383038051985,0,6,23,12921,True,197.31999999989304,2.2818723047445975,0.05460988823068824
protocolos,,,,,,,smith,,,,0.0,178.69212790002348,3.8974915922266806,10.61258561006832,0,158.9999999999279,-0.15511289552010687,0.211994701873099,847900,2,162.53916119675563,0,6,5,13217,True,159.01999999992788,2.0231771483802423,0.07794662180286238
protocolos,,,,,,,smith,,,,0.0,231.0871610000031,3.092761259522116,11.315638982522714,0,215.1799999998768,-0.10330100722583446,0.1787108168658147,1312510,2,164.95158979780044,0,6,17,17915,True,215.19999999987678,2.6472522164877894,0.08033215332357013
protocolos,,,,,,,smith,,,,0.0,217.54883669997798,3.877947551928238,10.254344842682563,0,166.37999999992118,-0.18205733629241175,0.5943244790028468,999609,2,162.6431845327441,0,6,29,25193,True,166.39999999992116,2.0479334609045132,0.12015033994566737
protocolos,,,,,,,bnn,,,,0.0,227.13276870001573,3.2934738105901955,10.377681984609424,0,180.59999999990825,-0.0758837544914496,-0.05636184076789519,895530,2,162.62033852338874,0,6,11,19537,True,180.61999999990823,2.3137026771734717,0.06250884881815863
protocolos,,,,,,,bnn,,,,0.0,239.82331150001846,3.5873829009322353,10.72056851437518,0,188.9999999999006,-0.10859145551777066,0.006898484190017484,1099198,2,164.09383038051985,0,6,23,9671,True,189.0199999999006,2.0723274631538025,0.10311396379849391
protocolos,,,,,,,logit,,,,0.0,190.72650369995972,3.5171514652298335,9.722254345051908,0,151.77999999993446,-0.09654872006371862,-0.11289250027848974,844675,2,162.53916119675563,0,6,5,12193,True,151.79999999993444,2.02018793261464,0.07274895356961508
protocolos,,,,,,,logit,,,,0.0,387.9198385999771,2.733141088446168,13.776198128950973,0,99.5999999999819,-0.4071659831775018,3.8844685356411306,1652539,1,164.95158979780044,0,18,17,21591,False,300.01999999979967,1.4537853403674688,0.1489210956809366
protocolos,,,,,,,logit,,,,0.0,339.0070692000445,4.122742862686869,16.760579717424697,0,135.5599999999492,-0.11808082838627232,4.190362135248133,1549907,1,162.6431845327441,0,18,29,53457,False,300.01999999979967,1.434160044074885,0.1480875446923648
