scenario_family,before,after,effect_estimate,CI95_low,CI95_high,raw_p,n_worlds,improved_worlds,degraded_worlds,margin,Holm_adjusted_p,effect_size,decision
nominal_rotation,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,60,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,60,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A2_CAPACITY,A3_WRENCH_PAIR,0.05,-0.05,0.15,0.5078125,60,6,3,0.0,1.0,0.05,inconclusive_or_null
nominal_rotation,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.0,0.0,0.0,1.0,60,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,60,0,0,0.0,1.0,0.0,inconclusive_or_null
scarcity_capacity,A0_RAW_PREF,A1_INTEGER_QR,0.67,0.58,0.76,1.3552527156068805e-20,100,67,0,0.0,2.710505431213761e-19,0.67,positive_supported
scarcity_capacity,A1_INTEGER_QR,A2_CAPACITY,0.33,0.24,0.42,2.3283064365386963e-10,100,33,0,0.0,3.958120942115784e-09,0.33,positive_supported
scarcity_capacity,A2_CAPACITY,A3_WRENCH_PAIR,-0.18,-0.25,-0.11,7.62939453125e-06,100,0,18,0.0,0.00011444091796875,-0.18,negative_supported
scarcity_capacity,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.07,0.03,0.12,0.015625,100,7,0,0.0,0.21875,0.07,inconclusive_or_null
scarcity_capacity,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A2_CAPACITY,A3_WRENCH_PAIR,0.6,0.5,0.7,2.7321894746634712e-17,100,61,1,0.0,4.917941054394248e-16,0.6,positive_supported
torque_complementarity,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.01,0.0,0.03,1.0,100,1,0,0.0,1.0,0.01,inconclusive_or_null
torque_complementarity,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A2_CAPACITY,A3_WRENCH_PAIR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.24,0.16,0.33,1.1920928955078125e-07,100,24,0,0.0,1.9073486328125e-06,0.24,positive_supported
obstacle_network_dropout,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.62,0.52,0.71,4.336808689942018e-19,100,62,0,0.0,8.239936510889834e-18,0.62,positive_supported
