scenario_family,stage,n_worlds,success_rate,physical_false_positive_rate,accepted_rate,mean_time_to_solution_s,mean_messages,mean_runtime_wall_s,collision_rate,dropout_unrecovered_rate,mean_minimum_clearance_m,mean_static_wrench_residual,mean_dynamic_wrench_residual
nominal_rotation,A0_RAW_PREF,60,0.9,0.1,1.0,8.395000000000001,7.0,0.16524943832385663,0.0,0.0,0.8379950647260626,0.08147341340599737,0.5832622970498323
nominal_rotation,A1_INTEGER_QR,60,0.9,0.1,1.0,8.395000000000001,14.0,0.16500509332787866,0.0,0.0,0.8379950647260626,0.08147341340599737,0.5832622970498323
nominal_rotation,A2_CAPACITY,60,0.9,0.1,1.0,8.395000000000001,28.0,0.16894348331649478,0.0,0.0,0.8379950647260626,0.08147341340599737,0.5832622970498323
nominal_rotation,A3_WRENCH_PAIR,60,0.95,0.05,1.0,9.106666666666666,50.0,0.41098771668815365,0.0,0.0,0.9925262919571356,8.436879529868344e-17,0.2643623088693265
nominal_rotation,A4_MECHANICS_SAFE,60,0.95,0.05,1.0,9.106666666666666,59.266666666666666,0.43447048000525684,0.0,0.0,0.9925262919571356,8.436879529868344e-17,0.2643623088693265
nominal_rotation,FULL_ROBUST_LOCAL,60,0.95,0.05,1.0,9.106666666666666,471.0,0.4408427400048822,0.0,0.0,0.9925262919571356,8.436879529868344e-17,0.2643623088693265
obstacle_network_dropout,A0_RAW_PREF,100,0.0,1.0,1.0,8.251,7.9,0.16901584000792355,1.0,0.41,-0.9215969727742293,0.11690251680247427,0.5272956855576882
obstacle_network_dropout,A1_INTEGER_QR,100,0.0,1.0,1.0,8.118,15.8,0.16498583600623534,1.0,0.48,-0.9327175673716492,0.07539692045675489,0.4624686294897081
obstacle_network_dropout,A2_CAPACITY,100,0.0,1.0,1.0,8.118,31.6,0.1642031820025295,1.0,0.48,-0.9327175673716492,0.07539692045675489,0.4624686294897081
obstacle_network_dropout,A3_WRENCH_PAIR,100,0.0,1.0,1.0,8.43,53.4,0.4916059450036846,1.0,0.69,-1.203139580404636,5.1335897928834795e-17,0.2292598113191793
obstacle_network_dropout,A4_MECHANICS_SAFE,100,0.24,0.76,1.0,13.489,64.26,0.5603786069853232,0.13,0.69,0.08837401743131017,5.1335897928834795e-17,0.2145007647746564
obstacle_network_dropout,FULL_ROBUST_LOCAL,100,0.86,0.14,1.0,12.739,661.46,0.5334220360033214,0.14,0.0,0.08826133197949754,5.1335897928834795e-17,0.16211078745858887
scarcity_capacity,A0_RAW_PREF,100,0.0,1.0,1.0,10.652000000000001,5.47,0.10692176302196459,0.01,0.0,0.7853922731409192,0.2196752442455684,0.6772572478284787
scarcity_capacity,A1_INTEGER_QR,100,0.67,0.33,1.0,8.262,10.94,0.15483755900058896,0.0,0.0,1.1877143111373365,0.04178932972404521,0.46295044860914886
scarcity_capacity,A2_CAPACITY,100,1.0,0.0,1.0,8.209000000000001,21.88,0.14173150900518522,0.0,0.0,0.9646095012509137,0.025957332261087363,0.41627748546325344
scarcity_capacity,A3_WRENCH_PAIR,100,0.82,0.18,1.0,11.376000000000001,30.04,0.32494044901337477,0.0,0.0,1.0311012974472935,1.4507808606930035e-16,0.3532591600008553
scarcity_capacity,A4_MECHANICS_SAFE,100,0.89,0.11,1.0,10.175,39.5,0.32678444401128215,0.0,0.0,1.024187571573542,1.978738548332191e-16,0.31176754082919605
scarcity_capacity,FULL_ROBUST_LOCAL,100,0.89,0.11,1.0,10.175,501.72,0.32694274599431083,0.0,0.0,1.024187571573542,1.978738548332191e-16,0.31176754082919605
torque_complementarity,A0_RAW_PREF,100,0.39,0.61,1.0,8.386000000000001,7.05,0.17769394600996746,0.0,0.0,0.8462529117506438,0.21075076107655216,0.5656010785427668
torque_complementarity,A1_INTEGER_QR,100,0.39,0.61,1.0,8.386000000000001,14.1,0.18182186400284991,0.0,0.0,0.8462529117506438,0.21075076107655216,0.5656010785427668
torque_complementarity,A2_CAPACITY,100,0.39,0.61,1.0,8.386000000000001,28.2,0.1814302759990096,0.0,0.0,0.8462529117506438,0.21075076107655216,0.5656010785427668
torque_complementarity,A3_WRENCH_PAIR,100,0.99,0.01,1.0,8.294,50.6,0.4131090610101819,0.01,0.0,1.166734915083664,9.355191259645651e-17,0.24774577299876482
torque_complementarity,A4_MECHANICS_SAFE,100,1.0,0.0,1.0,8.293000000000001,59.58,0.44577974499203266,0.0,0.0,1.1693228053139542,9.355191259645651e-17,0.2476177220649335
torque_complementarity,FULL_ROBUST_LOCAL,100,1.0,0.0,1.0,8.293000000000001,427.64,0.447154508009553,0.0,0.0,1.1693228053139542,9.355191259645651e-17,0.2476177220649335
