scenario_family,before,after,effect_estimate,CI95_low,CI95_high,raw_p,n_worlds,improved_worlds,degraded_worlds,margin,Holm_adjusted_p,effect_size,decision
nominal_rotation,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A2_CAPACITY,A3_WRENCH_PAIR,0.07,0.02,0.12025000000000091,0.015625,100,7,0,0.0,0.203125,0.07,inconclusive_or_null
nominal_rotation,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
nominal_rotation,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
scarcity_capacity,A0_RAW_PREF,A1_INTEGER_QR,0.56,0.46,0.65,2.7755575615628914e-17,100,56,0,0.0,4.996003610813204e-16,0.56,positive_supported
scarcity_capacity,A1_INTEGER_QR,A2_CAPACITY,0.44,0.34,0.54,1.1368683772161603e-13,100,44,0,0.0,1.9326762412674725e-12,0.44,positive_supported
scarcity_capacity,A2_CAPACITY,A3_WRENCH_PAIR,-0.16,-0.24,-0.09,3.0517578125e-05,100,0,16,0.0,0.000457763671875,-0.16,negative_supported
scarcity_capacity,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.08,0.03,0.14,0.0078125,100,8,0,0.0,0.109375,0.08,inconclusive_or_null
scarcity_capacity,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
torque_complementarity,A2_CAPACITY,A3_WRENCH_PAIR,0.63,0.54,0.72,2.168404344971009e-19,100,63,0,0.0,4.119968255444917e-18,0.63,positive_supported
torque_complementarity,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.01,0.0,0.03,1.0,100,1,0,0.0,1.0,0.01,inconclusive_or_null
torque_complementarity,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A0_RAW_PREF,A1_INTEGER_QR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A1_INTEGER_QR,A2_CAPACITY,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A2_CAPACITY,A3_WRENCH_PAIR,0.0,0.0,0.0,1.0,100,0,0,0.0,1.0,0.0,inconclusive_or_null
obstacle_network_dropout,A3_WRENCH_PAIR,A4_MECHANICS_SAFE,0.22,0.14,0.3,4.76837158203125e-07,100,22,0,0.0,7.62939453125e-06,0.22,positive_supported
obstacle_network_dropout,A4_MECHANICS_SAFE,FULL_ROBUST_LOCAL,0.67,0.58,0.76,1.3552527156068805e-20,100,67,0,0.0,2.710505431213761e-19,0.67,positive_supported
