model,status,parameter,estimate,CI95_low,CI95_high,raw_p,error,model_converged,warnings,finite_interval,p_is_zero,raw_p_reported,audited_status
clustered_logistic_GEE,not_estimable_no_variation,,,,,,,,,False,False,not_estimable,not_estimable
mixed_regret_world_random_intercept,fit_failed,,,,,,LinAlgError: Singular matrix,,,False,False,not_estimable,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::Intercept,15.671149737769161,,,7.536503614410998e-05,,True,,False,False,7.5365036144109984e-05,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::C(unit_id),274.18830971101534,,,7.688377123001585e-54,,True,,False,False,7.6883771230015852e-54,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::C(regime),2.622516001418197,,,0.2694808359769192,,True,,False,False,0.26948083597691919,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::C(unit_id):C(regime),298.79821075973445,,,8.507197566994097e-53,,True,,False,False,8.5071975669940975e-53,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::logN,6.4950544257588385,,,0.010817498445607341,,True,,False,False,0.010817498445607341,not_estimable
robust_regret_GEE_world_cluster,wald_term,TERM::C(unit_id):logN,172.90082151520517,,,1.5340415447174375e-32,,True,,False,False,1.5340415447174375e-32,not_estimable
connectivity_regret_GEE,fit,C(unit_id)[T.GRD]:occupancy_error,-7.5856032035633e-17,,,,,True,,False,False,not_estimable,not_estimable
connectivity_regret_GEE,wald_term,TERM::Intercept,564.6198591912515,,,8.310967288618145e-125,,True,,False,False,8.3109672886181452e-125,not_estimable
connectivity_regret_GEE,wald_term,TERM::C(unit_id),591.8534601100164,,,1.3332991763256846e-124,,True,,False,False,1.3332991763256846e-124,not_estimable
connectivity_regret_GEE,wald_term,TERM::lambda2,482.305865902874,,,6.729687221943288e-107,,True,,False,False,6.7296872219432877e-107,not_estimable
connectivity_regret_GEE,wald_term,TERM::C(unit_id):lambda2,502.7506530635219,,,2.1485893125744205e-105,,True,,False,False,2.1485893125744205e-105,not_estimable
connectivity_regret_GEE,wald_term,TERM::occupancy_error,4.973121619429584,,,0.025744144254675652,,True,,False,False,0.025744144254675652,not_estimable
connectivity_regret_GEE,wald_term,TERM::C(unit_id):occupancy_error,53.93666195973947,,,2.1595939592020332e-10,,True,,False,False,2.1595939592020332e-10,not_estimable
negative_binomial_messages_to_epsilon_solution_GEE,wald_term,TERM::Intercept,43071.495350786965,,,0.0,,True,ValueWarning: Negative binomial dispersion parameter alpha not set. Using default value alpha=1.0.,False,True,< 2.2250738585072014e-308,not_estimable
negative_binomial_messages_to_epsilon_solution_GEE,wald_term,TERM::C(unit_id),6039216685.82423,,,0.0,,True,ValueWarning: Negative binomial dispersion parameter alpha not set. Using default value alpha=1.0.,False,True,< 2.2250738585072014e-308,not_estimable
