model,status,parameter,estimate,CI95_low,CI95_high,raw_p,error,model_converged,warnings,finite_interval,p_is_zero,raw_p_reported,audited_status
clustered_logistic_GEE,not_estimable_no_variation,,,,,,,,,False,False,not_estimable,not_estimable
mixed_regret_world_random_intercept,fit_failed,,,,,,LinAlgError: Singular matrix,,,False,False,not_estimable,not_estimable
robust_regret_GEE_world_cluster,fit,Intercept,0.00011921255404052933,6.018977509215744e-05,0.0001782353329889012,7.536503614410982e-05,,True,,True,False,7.5365036144109821e-05,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.EPS-AUCTION],-0.00011778691104470281,-0.00017688931390864095,-5.868450818076469e-05,9.380947347530601e-05,,True,,True,False,9.3809473475306009e-05,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.GRD],0.0042440067779880184,0.003563271128528607,0.00492474242744743,2.4524298470225983e-34,,True,,True,False,2.4524298470225983e-34,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.HUN],-0.00011921255404052884,-0.00017823533298886747,-6.0189775092190215e-05,7.536503614341116e-05,,True,,True,False,7.5365036143411161e-05,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.HYB],4.49046830234849e-05,-5.420303895275351e-05,0.00014401240499972332,0.374519560705738,,True,,True,False,0.374519560705738,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.LOG],-6.216059607811579e-06,-6.60377240710582e-05,5.360560485543504e-05,0.8386195580830308,,True,,True,False,0.83861955808303079,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.MAPPO-GNN::train_seed=15001],0.002341088083608999,0.0019308841441640036,0.0027512920230539943,4.787131780958911e-29,,True,,True,False,4.7871317809589111e-29,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.MAPPO-GNN::train_seed=15002],0.002341088083608999,0.0019308841441640022,0.0027512920230539956,4.7871317809608976e-29,,True,,True,False,4.7871317809608976e-29,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.MAPPO-GNN::train_seed=15003],0.0023410880836089985,0.0019308841441640033,0.0027512920230539934,4.787131780958911e-29,,True,,True,False,4.7871317809589111e-29,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.PROJ],3.450480210049085e-05,-6.417440034424113e-05,0.00013318400454522282,0.49313345714537127,,True,,True,False,0.49313345714537127,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.REP],4.5206158354728304e-05,-3.3604573169310535e-05,0.00012401688987876715,0.2609097959799469,,True,,True,False,0.2609097959799469,estimable
robust_regret_GEE_world_cluster,fit,C(unit_id)[T.SMI],-9.546838823412182e-06,-7.782013559107214e-05,5.872645794424777e-05,0.7840331037261379,,True,,True,False,0.78403310372613788,estimable
robust_regret_GEE_world_cluster,fit,C(regime)[T.robot_scarcity],-8.033248485219328e-06,-2.5816975598593076e-05,9.75047862815442e-06,0.3759662258176073,,True,,True,False,0.3759662258176073,estimable
