block_id,unit_id,n,observed_PoA,observed_PoS,claim_scope
B4,BNN,480,1.0979009721811364,0.9999999999999998,observed_only_not_theoretical
B4,EPS-AUCTION,480,1.0011120512326537,0.9999999999999996,observed_only_not_theoretical
B4,GRD,480,2.1446077627854123,0.9999999999999998,observed_only_not_theoretical
B4,HUN,480,1.0000000000000004,0.9999999999999996,observed_only_not_theoretical
B4,HYB,480,1.071220778491658,0.9999999999999998,observed_only_not_theoretical
B4,LOG,480,1.0495482604248498,0.9999999999999998,observed_only_not_theoretical
B4,MAPPO-GNN::train_seed=15001,480,1.2492324122710234,0.9999999999999998,observed_only_not_theoretical
B4,MAPPO-GNN::train_seed=15002,480,1.2492324122710234,0.9999999999999998,observed_only_not_theoretical
B4,MAPPO-GNN::train_seed=15003,480,1.2492324122710234,0.9999999999999998,observed_only_not_theoretical
B4,PROJ,480,1.0815666601910818,0.9999999999999998,observed_only_not_theoretical
B4,REP,480,1.0603161227208175,0.9999999999999998,observed_only_not_theoretical
B4,SMI,480,1.0842843528260782,0.9999999999999998,observed_only_not_theoretical
B4,unknown,0,,,observed_only_not_theoretical
B5,EPS-AUCTION,1000,1.001477665587608,0.5471527924086085,observed_only_not_theoretical
B5,GRD,1000,1.4194552087272825,0.5757101133890968,observed_only_not_theoretical
B5,HYB,1000,1.1413975004529116,1.0,observed_only_not_theoretical
B5,LOG,1000,1.17551922474866,1.000018819508048,observed_only_not_theoretical
B5,MAPPO-GNN::train_seed=15001,1000,1.2694422866375938,1.0482545095222735,observed_only_not_theoretical
B5,MAPPO-GNN::train_seed=15002,1000,1.2694422866375938,1.0482545095222735,observed_only_not_theoretical
B5,MAPPO-GNN::train_seed=15003,1000,1.2694422866375938,1.0482545095222735,observed_only_not_theoretical
B5,PROJ,1000,1.1354259404074645,1.0000000000000002,observed_only_not_theoretical
B5,REP,1000,1.1194644038016022,1.0,observed_only_not_theoretical
B5,SMI,1000,1.1821426721056467,1.0000367789216555,observed_only_not_theoretical
B5,unknown,0,,,observed_only_not_theoretical
B6,BNN,80,1.1348604266696527,1.0012160597428579,observed_only_not_theoretical
B6,EPS-AUCTION,80,1.0033510556609773,0.9999999999999997,observed_only_not_theoretical
B6,GRD,80,1.3312293156262323,1.03321207699762,observed_only_not_theoretical
B6,HUN,80,1.0000000000000002,0.9999999999999996,observed_only_not_theoretical
B6,HYB,80,1.1794163380872307,1.0,observed_only_not_theoretical
B6,LOG,80,1.0669047480840055,1.0013036925745051,observed_only_not_theoretical
B6,MAPPO-GNN::train_seed=15001,80,1.25832321507083,1.03321207699762,observed_only_not_theoretical
B6,MAPPO-GNN::train_seed=15002,80,1.25832321507083,1.03321207699762,observed_only_not_theoretical
B6,MAPPO-GNN::train_seed=15003,80,1.25832321507083,1.03321207699762,observed_only_not_theoretical
B6,PROJ,80,1.1794163380872307,1.0,observed_only_not_theoretical
B6,REP,80,1.1014214640065068,1.000885496831218,observed_only_not_theoretical
B6,SMI,80,1.1794163380872307,1.0,observed_only_not_theoretical
B7,HYB,80,1.0454846433093141,1.0,observed_only_not_theoretical
B7,MAPPO-GNN::train_seed=15001,80,1.267414157661853,1.0362712562745005,observed_only_not_theoretical
B7,MAPPO-GNN::train_seed=15002,80,1.267414157661853,1.0362712562745005,observed_only_not_theoretical
B7,MAPPO-GNN::train_seed=15003,80,1.267414157661853,1.0362712562745005,observed_only_not_theoretical
B7,PROJ,80,1.0391585484940802,1.0,observed_only_not_theoretical
B7,SMI,80,1.0499124437197938,1.0,observed_only_not_theoretical
B7,unknown,0,,,observed_only_not_theoretical
