scenario_generator,method,n,assignment_cost_mean,assignment_cost_std,coalition_success_rate_mean,coalition_success_rate_std,communication_messages_mean,communication_messages_std,demand_satisfaction_ratio_mean,demand_satisfaction_ratio_std,optimality_gap_vs_oracle_mean,optimality_gap_vs_oracle_std,priority_regret_mean,priority_regret_std,robots_overassigned_mean,robots_overassigned_std,robots_underassigned_mean,robots_underassigned_std,runtime_ms_mean,runtime_ms_std,served_load_rate_mean,served_load_rate_std
setup,bnn_cardinality,3,11.093770290988017,0.5986336466890946,1.0,0.0,4.0,0.0,1.0,0.0,0.137455573125251,0.11998880846282362,0.0,0.0,0.6666666666666666,0.5773502691896258,0.0,0.0,0.10866665979847312,0.05279302957219789,1.0,0.0
setup,cbba,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13733331191663942,0.03340919340720881,1.0,0.0
setup,centralized_coalition_milp,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065166677813977,0.019809431440515054,1.0,0.0
setup,greedy_nearest,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06956665311008692,0.011698861275009052,1.0,0.0
setup,hungarian_expanded,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04016668147717913,0.0029091449977956233,1.0,0.0
setup,imitation_oracle,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078999868904551,0.18310932538955774,1.0,0.0
setup,mappo_recruitment,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4188333277901015,2.309449130881414,1.0,0.0
setup,oracle_reference,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08816665892178814,0.03144685293171483,1.0,0.0
setup,primal_dual_cardinality_capacity,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21513336105272174,0.09266361455629926,1.0,0.0
setup,primal_dual_wrench_market,3,7.176039996054928,2.892349020527464,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18926665264492235,0.0925528130112866,1.0,0.0
setup,replicator_cardinality,3,11.093770290988017,0.5986336466890946,1.0,0.0,4.0,0.0,1.0,0.0,0.137455573125251,0.11998880846282362,0.0,0.0,0.6666666666666666,0.5773502691896258,0.0,0.0,0.12399997406949599,0.05053593390496393,1.0,0.0
setup,smith_cardinality,3,22.14486696687103,4.506450242551132,1.0,0.0,4.0,0.0,1.0,0.0,0.5673088686567601,0.12920147749298186,0.0,0.0,2.0,0.0,0.0,0.0,0.055233327051003776,0.018917273996056513,1.0,0.0
