seed,target_pressure,demand_pressure,beta,closed,completed_value_ratio,partial_robot_fraction_raw
2035071600,0.75,0.75,0.0,True,1.0,0.0
2035071600,0.75,0.75,0.5,True,1.0,0.0
2035071600,0.75,0.75,1.0,True,1.0,0.0
2035071600,0.75,0.75,2.0,True,1.0,0.125
2035071600,0.75,0.75,4.0,True,1.0,0.0
2035071600,0.75,0.75,8.0,True,1.0,0.125
2035071601,0.75,0.75,0.0,True,1.0,0.0
2035071601,0.75,0.75,0.5,True,1.0,0.0
2035071601,0.75,0.75,1.0,True,1.0,0.0
2035071601,0.75,0.75,2.0,True,1.0,0.0625
2035071601,0.75,0.75,4.0,True,1.0,0.125
2035071601,0.75,0.75,8.0,True,1.0,0.1875
2035071602,1.0,1.0,0.0,True,1.0,0.0
2035071602,1.0,1.0,0.5,True,1.0,0.0
2035071602,1.0,1.0,1.0,True,1.0,0.0
2035071602,1.0,1.0,2.0,True,1.0,0.0
2035071602,1.0,1.0,4.0,True,1.0,0.0
2035071602,1.0,1.0,8.0,True,1.0,0.0
2035071603,1.0,1.0,0.0,True,1.0,0.0
2035071603,1.0,1.0,0.5,True,1.0,0.0
2035071603,1.0,1.0,1.0,True,1.0,0.0
2035071603,1.0,1.0,2.0,True,1.0,0.0
2035071603,1.0,1.0,4.0,True,1.0,0.0
2035071603,1.0,1.0,8.0,True,1.0,0.0
2035071604,1.25,1.25,0.0,True,1.0,0.1875
2035071604,1.25,1.25,0.5,True,0.8508193010193895,0.0
2035071604,1.25,1.25,1.0,True,1.0,0.125
2035071604,1.25,1.25,2.0,True,1.0,0.125
2035071604,1.25,1.25,4.0,True,1.0,0.125
2035071604,1.25,1.25,8.0,True,1.0,0.0625
2035071605,1.25,1.25,0.0,True,1.0,0.375
2035071605,1.25,1.25,0.5,True,1.0,0.1875
2035071605,1.25,1.25,1.0,True,1.0,0.1875
2035071605,1.25,1.25,2.0,True,0.6857659332083418,0.1875
2035071605,1.25,1.25,4.0,True,0.8133057912209309,0.125
2035071605,1.25,1.25,8.0,True,1.0,0.375
