method,method_label,information_scope,network_case,n,started_loads_mean,started_loads_ci_low,started_loads_ci_high,waiting_loads_mean,waiting_loads_ci_low,waiting_loads_ci_high,unmet_roles_mean,unmet_roles_ci_low,unmet_roles_ci_high,duplicate_slots_mean,duplicate_slots_ci_low,duplicate_slots_ci_high,social_value_mean,social_value_ci_low,social_value_ci_high,optimality_gap_mean,optimality_gap_ci_low,optimality_gap_ci_high,switches_mean,switches_ci_low,switches_ci_high,abandonments_mean,abandonments_ci_low,abandonments_ci_high,messages_mean,messages_ci_low,messages_ci_high,bytes_sent_mean,bytes_sent_ci_low,bytes_sent_ci_high,mean_view_coverage_mean,mean_view_coverage_ci_low,mean_view_coverage_ci_high,runtime_ms_mean,runtime_ms_ci_low,runtime_ms_ci_high
local_gossip__sparse,Gossip local,neighbors,sparse,360,0.25833333333333336,0.2111111111111111,0.3055555555555556,1.7333333333333334,1.65,1.8138888888888889,2.8472222222222223,2.6222222222222222,3.0639583333333333,1.413888888888889,1.2444444444444445,1.586111111111111,-0.6073054735133351,-0.7973011166109599,-0.4116403262189157,0.9376177864856413,0.8810085929638661,0.9897407869677052,0.5083333333333333,0.425,0.600069444444444,0.019444444444444445,0.005555555555555556,0.03611111111111111,67.25555555555556,62.74388888888889,71.76694444444445,13795.68888888889,12197.54888888889,15485.477777777774,0.4479593509857646,0.434570934163596,0.4607528472123803,2.1542074997139733,1.9864759083530872,2.327216673768109
local_no_gossip__sparse,Sin gossip,neighbors,sparse,360,0.12222222222222222,0.09159722222222222,0.15833333333333333,1.45,1.375,1.525,4.272222222222222,4.111111111111111,4.438888888888889,0.9611111111111111,0.8777777777777778,1.0361111111111112,-1.4412652069236316,-1.648889116900862,-1.2303052328740063,1.0903233566419726,1.0294322185698939,1.1452612348421118,1.0555555555555556,0.9277777777777778,1.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09925595238095238,0.09580518353174601,0.10280477017195766,0.3592408338186538,0.34330809808226254,0.37559785555964076
local_no_switch_penalty__sparse,Sin coste de cambio,neighbors,sparse,360,0.21666666666666667,0.17222222222222222,0.2638888888888889,1.7777777777777777,1.7,1.85,2.933333333333333,2.713888888888889,3.1527777777777777,1.4472222222222222,1.280486111111111,1.6195138888888885,-0.8610829994421634,-1.0613616716502747,-0.6598886359626106,1.0128006127732514,0.9580543512331839,1.0643736938071666,1.163888888888889,1.0555555555555556,1.2722222222222221,0.016666666666666666,0.005555555555555556,0.030555555555555555,67.25555555555556,62.74388888888889,71.76694444444445,13795.68888888889,12197.54888888889,15485.477777777774,0.4479593509857646,0.434570934163596,0.4607528472123803,1.9615372219252296,1.8068713601577555,2.1182399719348015
local_gossip__nominal,Gossip local,neighbors,nominal,360,1.1555555555555554,1.0472222222222223,1.261111111111111,0.9333333333333333,0.8388888888888889,1.0222222222222221,2.3333333333333335,2.0915972222222226,2.5694444444444446,0.10833333333333334,0.07222222222222222,0.14444444444444443,3.0310220557226177,2.686789946290125,3.3803065403801495,0.37934665599609696,0.32978864370107275,0.4290306011677943,0.34444444444444444,0.275,0.41395833333333293,0.030555555555555555,0.013888888888888888,0.05,284.68888888888887,265.1766666666667,303.69055555555553,156097.24444444446,135707.8311111111,176914.0644444444,0.9370462274029984,0.9231811938027525,0.9499244513140902,13.335683333651913,12.228693367726212,14.51198278454184
local_no_gossip__nominal,Sin gossip,neighbors,nominal,360,0.12222222222222222,0.09159722222222222,0.15833333333333333,1.45,1.375,1.525,4.272222222222222,4.111111111111111,4.438888888888889,0.9611111111111111,0.8777777777777778,1.0361111111111112,-1.4412652069236316,-1.648889116900862,-1.2303052328740063,1.0903233566419726,1.0294322185698939,1.1452612348421118,1.0555555555555556,0.9277777777777778,1.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09925595238095238,0.09580518353174601,0.10280477017195766,0.3688483338919468,0.3525043620215405,0.3863721188685708
local_no_switch_penalty__nominal,Sin coste de cambio,neighbors,nominal,360,1.113888888888889,1.005486111111111,1.2222222222222223,1.0055555555555555,0.9083333333333333,1.0972222222222223,2.3833333333333333,2.1416666666666666,2.6194444444444445,0.11388888888888889,0.07777777777777778,0.1527777777777778,2.741206174183357,2.3938411059386278,3.0922157113976807,0.4558507742053035,0.40518567420827095,0.5083135962769306,1.0972222222222223,0.9944444444444445,1.2,0.025,0.011111111111111112,0.041666666666666664,284.68888888888887,265.1766666666667,303.69055555555553,156097.24444444446,135707.8311111111,176914.0644444444,0.9370462274029984,0.9231811938027525,0.9499244513140902,13.106957222529067,11.984483659457005,14.231040617226729
local_gossip__dense,Gossip local,neighbors,dense,360,1.2777777777777777,1.1638194444444445,1.3888888888888888,0.8111111111111111,0.7166666666666667,0.9027777777777778,2.2888888888888888,2.0444444444444443,2.525,0.0,0.0,0.0,3.536166866694856,3.174980187385705,3.9180671383490417,0.305388826188029,0.25766967786109934,0.3537024059497424,0.33611111111111114,0.26944444444444443,0.40555555555555556,0.030555555555555555,0.013888888888888888,0.05,137.0,128.11430555555557,146.07319444444445,11207.422222222222,10164.431111111111,12260.377777777776,1.0,1.0,1.0,2.6036349998321384,2.4314167846993464,2.7898847565100167
local_no_gossip__dense,Sin gossip,neighbors,dense,360,0.12222222222222222,0.09159722222222222,0.15833333333333333,1.45,1.375,1.525,4.272222222222222,4.111111111111111,4.438888888888889,0.9611111111111111,0.8777777777777778,1.0361111111111112,-1.4412652069236316,-1.648889116900862,-1.2303052328740063,1.0903233566419726,1.0294322185698939,1.1452612348421118,1.0555555555555556,0.9277777777777778,1.1833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09925595238095238,0.09580518353174601,0.10280477017195766,0.3458019445436851,0.3306090205518962,0.36228761140187593
local_no_switch_penalty__dense,Sin coste de cambio,neighbors,dense,360,1.2472222222222222,1.1305555555555555,1.3584027777777774,0.8722222222222222,0.7722222222222223,0.9666666666666667,2.325,2.0805555555555557,2.561111111111111,0.0,0.0,0.0,3.279002826114916,2.922178319044947,3.6430139338217904,0.3737550588647556,0.32783703186491436,0.4230871020698669,1.0916666666666666,0.9888194444444445,1.1944444444444444,0.025,0.011111111111111112,0.041666666666666664,137.0,128.11430555555557,146.07319444444445,11207.422222222222,10164.431111111111,12260.377777777776,1.0,1.0,1.0,2.677570833232797,2.4297327637375727,2.994625714790244
global_greedy,Greedy global,global,global,360,1.2777777777777777,1.1638194444444445,1.3888888888888888,0.8111111111111111,0.7166666666666667,0.9027777777777778,2.2888888888888888,2.0444444444444443,2.525,0.0,0.0,0.0,3.536166866694856,3.174980187385705,3.9180671383490417,0.305388826188029,0.25766967786109934,0.3537024059497424,0.33611111111111114,0.26944444444444443,0.40555555555555556,0.030555555555555555,0.013888888888888888,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1292569440718378,0.12090795851286706,0.1384233326360926
central_milp,Oráculo MILP,global_oracle,global,360,1.4972222222222222,1.3916666666666666,1.5972222222222223,0.0,0.0,0.0,2.85,2.5415972222222223,3.147222222222222,0.0,0.0,0.0,4.352690456047663,4.0237890078234555,4.6836548860719684,0.0,0.0,0.0,0.18055555555555555,0.12777777777777777,0.2388888888888889,0.37222222222222223,0.3,0.44722222222222224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.291811112893305,4.062142175472319,4.5950774329321575
