method,n,served_rate_mean,coverage_mean,regret_mean,regret_std,raw_served_rate_mean,convergence_rate,potential_gain_mean,messages_mean,runtime_s_mean
milp_exact,480,0.8105555555555556,0.886151576866432,0.0,0.0,0.8105555555555556,1.0,,48.0,8.208062887812654e-05
uniform_closure,480,0.5895833333333333,0.9123347714437813,0.25538563656290497,0.2446200261905939,0.0,1.0,,48.0,0.0006889416671280439
erv_bnn__marginal_log,480,0.565,0.8838992812175079,0.28173121596442835,0.21096516507662635,0.5306944444444445,1.0,5.024478888472151,100989.98333333334,0.0448690474954977
replicator__marginal_log,480,0.5586111111111111,0.8801778634608002,0.28780347495853037,0.20855625676489978,0.5263888888888889,0.56875,5.582750391102055,134558.25,0.05941126166192892
replicator__marginal_deficit,480,0.5430555555555556,0.8854432473312587,0.2934422986852957,0.2300770979773186,0.3451388888888889,0.61875,1.2893691412740813,124221.2,0.056129492713565314
smith__marginal_log,480,0.5543055555555555,0.8812405434888108,0.2938643873714027,0.21621698802232558,0.5290277777777778,0.9541666666666667,5.699583637602334,110816.91666666667,0.05027815249680619
erv_bnn__marginal_deficit,480,0.5384722222222221,0.8919420119304637,0.2990300978232548,0.24062826845047752,0.33611111111111114,0.9979166666666667,1.1588337077334796,93299.55,0.04171741582686082
auction_capacity,480,0.5218055555555555,0.8895656264931875,0.31034942963242723,0.23982450716712259,0.5218055555555555,1.0,,48.0,0.0004575122977257706
smith__marginal_deficit,480,0.5244444444444444,0.8829823851129746,0.31200010405499173,0.23559338887893475,0.34402777777777777,0.9375,1.4944072008536513,110818.41666666667,0.05155930437273734
erv_bnn__plain_deficit,480,0.5181944444444444,0.8766126708358926,0.3202577407045262,0.24881133532433194,0.3829166666666667,0.99375,,85711.36666666667,0.03507776395805801
replicator__plain_deficit,480,0.51625,0.8704980220786661,0.3226404057361487,0.24291989322856053,0.3688888888888889,0.8041666666666667,,100450.26666666666,0.040565345834572025
smith__plain_deficit,480,0.5054166666666666,0.8693117493273823,0.3341603665274416,0.24488866389625627,0.3870833333333333,0.95625,,101594.81666666667,0.04241442395723425
greedy_capacity,480,0.5284722222222222,0.7791672860474504,0.33878224254712724,0.21128179070798153,0.5284722222222222,1.0,,48.0,0.0008924393764270159
random_closure,480,0.5329166666666667,0.8655704499396045,0.35097416095489314,0.22707715984220883,0.32,1.0,,48.0,0.0007892560339920843
