method,n,served_rate_mean,coverage_mean,regret_mean,regret_std,raw_served_rate_mean,convergence_rate,potential_gain_mean,messages_mean,runtime_s_mean
milp_exact,480,0.8118055555555556,0.8855585720419633,0.0,0.0,0.8118055555555556,1.0,,48.0,0.0830281841646259
uniform_closure,480,0.5994444444444444,0.9091972728884364,0.2488713933609977,0.23813724063173683,0.0,1.0,,48.0,0.000663284798793029
replicator__marginal_log,480,0.5606944444444444,0.881936328304196,0.28398068095985535,0.20647604516883963,0.5319444444444444,0.5625,5.561309956739871,134724.75,0.05777528645897594
smith__marginal_log,480,0.5595833333333334,0.8804677486430401,0.28772553413666585,0.20929082242712904,0.5452777777777779,0.95625,5.675185469214325,110131.26666666666,0.04854122228474201
erv_bnn__marginal_log,480,0.5588888888888889,0.8831372488208089,0.28795817131828344,0.210033136178856,0.5402777777777777,1.0,5.00602331767084,101352.65,0.04403669811872533
erv_bnn__marginal_deficit,480,0.5383333333333333,0.8879861229774517,0.30020805693116326,0.2468781589500453,0.31972222222222224,0.9916666666666667,1.1663420771340895,93104.11666666667,0.040861786253905547
replicator__marginal_deficit,480,0.5358333333333333,0.8842309881429139,0.3017147752707347,0.23851400386135305,0.3340277777777778,0.6354166666666666,1.289968484646418,122074.18333333333,0.05356467167196873
auction_capacity,480,0.5206944444444445,0.887496729716915,0.31151909064962907,0.22791080460215116,0.5206944444444445,1.0,,48.0,0.0004537847897154279
smith__marginal_deficit,480,0.5261111111111111,0.8814447908606196,0.3115221331216008,0.2444983722785935,0.3293055555555556,0.95,1.4971634088278245,109375.36666666667,0.049520620006660465
replicator__plain_deficit,480,0.5198611111111111,0.8631789163358862,0.3195328088180057,0.2507150918594484,0.35694444444444445,0.8041666666666667,,94822.96666666666,0.03812914229541396
erv_bnn__plain_deficit,480,0.5087499999999999,0.8729241096926199,0.3339919142864468,0.2642174235439187,0.35,0.99375,,85215.83333333333,0.033989758124031745
smith__plain_deficit,480,0.5033333333333333,0.8657012438209769,0.33790912572674053,0.25726080129471873,0.36138888888888887,0.9604166666666667,,101175.53333333334,0.0414153797881833
greedy_capacity,480,0.5341666666666666,0.7773117886361253,0.33836317155309,0.21246919101110834,0.5341666666666666,1.0,,48.0,0.0008691918735470002
random_closure,480,0.5313888888888889,0.8650616095034438,0.35244242822314964,0.22220533282210658,0.31611111111111106,1.0,,48.0,0.0007625768727545316
