rank,method,method_label,method_family,method_scope,method_ownership,capacity_success_rate_mean,coalition_success_rate_mean,optimality_gap_vs_oracle_mean,capacity_oracle_success_rate_mean,capacity_gap_vs_capacity_oracle_mean,runtime_ms_mean
1,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,0.4867521367521367,0.4867521367521367,0.0,0.2268803418803418,0.0285089273676609,40.84151538517266
2,centralized_capacity_milp,Centralized capacity oracle,model_based_oracle,centralized,reference,0.4867521367521367,0.4867521367521367,0.0,0.2268803418803418,0.0285089273676609,40.93652910460384
3,capacity_oracle_reference,Pure capacity oracle reference,model_based_oracle,centralized,reference,0.2268803418803418,0.2268803418803418,0.0487260772059574,0.2268803418803418,0.0,11.31496967879148
4,neural_capacity_scorer,Neural capacity scorer,data_driven,decentralized,proposed,0.2633119658119658,0.2633119658119658,0.1087384119174951,0.2268803418803418,0.0499054368119136,1.0120612821386503
5,imitation_capacity,Data-driven capacity imitation,data_driven,decentralized,baseline,0.2180235042735042,0.2180235042735042,0.1184784352874035,0.2268803418803418,0.0383026240792416,0.9823282679113058
6,hungarian_capacity,Hungarian capacity expanded,classic,centralized,baseline,0.0832264957264957,0.0832264957264957,0.2277069159841798,0.2268803418803418,0.0407358465814262,0.2182155753521678
7,greedy_capacity_nearest,Greedy capacity nearest,classic,decentralized,baseline,0.2189957264957265,0.2189957264957265,0.2764735477714711,0.2268803418803418,0.0435496087686209,0.2979475637682928
8,replicator_capacity,Replicator capacity,model_based,decentralized,baseline,0.1385790598290598,0.1385790598290598,0.2970492653148096,0.2268803418803418,0.0259703025933786,0.3639630765134755
9,cbba_capacity,CBBA capacity auction,sota,decentralized,baseline,0.2091987179487179,0.2091987179487179,0.304234094099386,0.2268803418803418,0.0378979131133282,0.7820937820584871
10,bnn_capacity,BNN capacity,model_based,decentralized,baseline,0.1236324786324786,0.1236324786324786,0.33095346102548,0.2268803418803418,0.0314943052114893,0.3513668572010759
11,smith_capacity,Smith-QR capacity,model_based,decentralized,proposed,0.1033867521367521,0.1033867521367521,0.3426310397729993,0.2268803418803418,0.0329741034524287,0.3493933326516969
12,primal_dual_capacity,Primal-dual capacity,model_based,decentralized,proposed,0.0999786324786324,0.0999786324786324,0.3450277109684938,0.2268803418803418,0.0324629923289405,1.1613835273191142
13,local_primal_dual_capacity,Local primal-dual capacity,model_based,decentralized_local,proposed,0.0996901709401709,0.0996901709401709,0.3633954553268687,0.2268803418803418,0.0670107124872485,1.144953843621083
