scenario_generator,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_tuning_type,method_tuning_seed_count,method_tuning_validation_seed_count,method_tuning_artifact,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,capacity_success_rate_mean,served_load_rate_mean,capacity_satisfaction_ratio_mean,demand_satisfaction_ratio_mean,coalition_success_rate_mean,under_capacity_kg_mean,over_capacity_kg_mean,capacity_waste_ratio_mean,mean_capacity_margin_kg_mean,nominal_payload_assigned_kg_mean,effective_capacity_assigned_kg_mean,incomplete_capacity_kg_mean,incomplete_capacity_ratio_mean,served_capacity_alignment_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,score_value_mean,oracle_score_value_mean,signed_score_delta_vs_oracle_mean,oracle_dominance_violation_mean,optimality_gap_vs_oracle_mean,capacity_oracle_satisfaction_ratio_mean,capacity_oracle_success_rate_mean,effective_feasibility_ratio_mean,capacity_gap_vs_capacity_oracle_mean,signed_capacity_delta_vs_capacity_oracle_mean,priority_regret_mean,communication_messages_mean,communication_coverage_ratio_mean,runtime_ms_mean,captured_reward_mean,oracle_reward_mean
balanced_capacity,capacity_oracle_reference,Pure capacity oracle reference,model_based_oracle,centralized,reference,exact_capacity_coverage_replay,centralized_capacity_ceiling_reference,none,centralized_exact_capacity_ceiling_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.16848958333333333,0.16848958333333333,0.5049633105748023,0.5049633105748023,0.16848958333333333,198.31906426511506,1.1724519568705318,0.0057303248702383815,-57.6549270328346,430.30484344975946,200.94714983171525,159.27439430259284,0.7981566509971791,0.19896431673763942,3.0140625,3.08125,63.42963399192985,21.160841736538217,384.21287107652097,226.3916874259246,239.98060503580714,-13.588917609882557,0.0,0.05822593473645341,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.0,0.0,3.395822042349536,31.5,1.0,13.067387502087513,1.7179550220123772,5.113777064361914
balanced_capacity,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_reference_replay,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.4549479166666666,0.4549479166666666,0.4910742272394888,0.4910742272394888,0.4549479166666666,203.7188386746123,4.110572289843773,0.0205752844561523,-58.359981287095636,430.30484344975946,198.48549575519127,64.0336725621224,0.32775954312742,0.6670909452603728,3.3125,3.3796875,66.29361651913112,22.184073388403686,401.3430468309057,239.98060503580714,239.98060503580714,0.0,0.0,0.0,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.027286156152464297,-0.013889083335313529,0.0,31.5,1.0,45.87653968756058,5.113777064361914,5.113777064361914
balanced_capacity,replicator_capacity_marginal,Replicator capacity marginal payoff,model_based,decentralized,baseline,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_marginal_capacity_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.09036458333333333,0.09036458333333333,0.5047685959347655,0.5047685959347655,0.09036458333333333,198.1607721293665,2.8905717046363213,0.014759962390392478,-57.10370188369268,430.30484344975946,202.8235617152296,180.68809803387836,0.8888380604239303,0.10214896523150876,1.6640625,1.73125,61.884529296458695,22.261925855810482,375.72287259667183,201.7188386001275,239.98060503580714,-38.26176643567966,0.0,0.16024647313726365,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.019088524586303366,-0.000194714640036793,4.245835646769204,31.5,1.0,0.42722515390778426,0.8682820562567348,5.113777064361914
balanced_capacity,replicator_capacity_plain,Replicator capacity plain payoff,model_based,decentralized,baseline,population_game_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_plain_capacity_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.001171875,0.001171875,0.47381986216001815,0.47381986216001815,0.001171875,210.84770835669224,0.049624820341001116,0.0003031645884078926,-61.60512314209025,430.30484344975946,187.2956786036085,187.11012730638313,0.9988194774703963,0.001013956457677466,1.365625,1.4328125,77.24215993030778,24.414858617558878,467.8481996075037,150.78354844499341,239.98060503580714,-89.19705659081373,0.0,0.3649933151733024,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.06667670374512097,-0.03114344841478415,5.10402158637171,31.5,1.0,0.4406551524880342,0.009755477990204991,5.113777064361914
balanced_capacity,smith_capacity_marginal,Smith-QR capacity marginal payoff,model_based,decentralized,proposed,smith_qr_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_marginal_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.06848958333333333,0.06848958333333333,0.5064273859286214,0.5064273859286214,0.06848958333333333,197.59213568397482,2.017352312505289,0.010110210797800164,-57.184146281374844,430.30484344975946,202.51897876849026,186.82970974886447,0.9216017034543436,0.07211469037588991,1.39375,1.4609375,61.16362593020627,21.36305349230832,370.8241377863769,200.1736993649526,239.98060503580714,-39.80690567085455,0.0,0.16643320077258367,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.016450353346285217,0.0014640753538190852,4.4706925931728865,31.5,1.0,0.44606828050746117,0.6430844711890273,5.113777064361914
balanced_capacity,smith_capacity_plain,Smith-QR capacity plain payoff,model_based,decentralized,proposed,smith_qr_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_plain_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,640,0.001171875,0.001171875,0.4686808340530346,0.4686808340530346,0.001171875,212.8109247233495,0.01206505343241043,6.967610858159448e-05,-62.18391006504196,430.30484344975946,185.2949024700427,185.12870108125986,0.9989259293677275,0.0010152353963514254,1.38125,1.4484375,79.641895411816,24.775940051730764,482.5601846028646,148.65322282544304,239.98060503580714,-91.3273822103641,0.0,0.37417232029483793,0.5049633105748023,0.16848958333333333,0.5049633105748023,0.07566725066906141,-0.03628247652176762,5.10402158637171,31.5,1.0,0.43165625120309414,0.009755477990204991,5.113777064361914
battery_constrained,capacity_oracle_reference,Pure capacity oracle reference,model_based_oracle,centralized,reference,exact_capacity_coverage_replay,centralized_capacity_ceiling_reference,none,centralized_exact_capacity_ceiling_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.134375,0.134375,0.4015636813793924,0.4015636813793924,0.134375,233.29556828700032,1.0414467246690284,0.0061393661467401385,-58.06353039058283,382.9263855296774,150.90743150617575,120.08757517201136,0.7998878805572072,0.19744046119332517,4.016666666666667,3.05,57.2959487217196,21.287204751757606,347.24278864417977,217.10455090414507,228.4307685261226,-11.326217621977577,0.0,0.05054447711407929,0.4015636813793924,0.134375,0.4015636813793924,0.0,0.0,2.9685041080647787,32.0,0.6557291666666667,10.545902086111406,1.3979042505712442,4.366408358636024
battery_constrained,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_reference_replay,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,3,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.390625,0.390625,0.3883858300775225,0.3883858300775225,0.390625,238.09884269355328,3.5042740178191667,0.02231048896541665,-58.64864216893352,382.9263855296774,148.56698439277298,45.587947685254036,0.31210228093191966,0.6823032786380947,4.166666666666667,3.2,59.80266300285328,21.948583999073755,362.149867447646,228.4307685261226,228.4307685261226,0.0,0.0,0.0,0.4015636813793924,0.134375,0.4015636813793924,0.03257671761330963,-0.013177851301869967,0.0,32.0,0.640625,38.80415417176361,4.366408358636024,4.366408358636024
battery_constrained,replicator_capacity_marginal,Replicator capacity marginal payoff,model_based,decentralized,baseline,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_marginal_capacity_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.07395833333333333,0.07395833333333333,0.40924065077201893,0.40924065077201893,0.07395833333333333,230.058345286186,2.224071786922131,0.014157347753406215,-56.95856837481597,382.9263855296774,155.32727956924316,138.40155601191105,0.8926683547476912,0.09929943140870892,2.5125,1.5458333333333334,52.600509583671354,21.422037871182578,317.1502486979131,191.98379863782526,228.4307685261226,-36.446969888297374,0.0,0.16251632859110401,0.4015636813793924,0.134375,0.4015636813793924,0.014160233048280717,0.00767696939262655,3.640802325999124,16.6875,0.7041666666666667,0.4009891670042028,0.7296855015913265,4.366408358636024
battery_constrained,replicator_capacity_plain,Replicator capacity plain payoff,model_based,decentralized,baseline,population_game_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_plain_capacity_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.0,0.0,0.3804174552045069,0.3804174552045069,0.0,241.31898665509598,0.0,0.0,-60.329746663773996,382.9263855296774,141.84256641341108,141.84256641341108,1.0,0.0,2.2125,1.2458333333333333,67.52077395124527,23.88907532197653,408.8680236562544,132.162789945613,228.4307685261226,-96.2679785805096,0.0,0.4149504186912258,0.4015636813793924,0.134375,0.4015636813793924,0.0648771378613589,-0.021146226174885475,4.366408358636024,16.6875,0.5848958333333333,0.39034333458403125,0.0,4.366408358636024
battery_constrained,smith_capacity_marginal,Smith-QR capacity marginal payoff,model_based,decentralized,proposed,smith_qr_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_marginal_payoff_rule,local_effective_capacity_marginal_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.05625,0.05625,0.4092886580522183,0.4092886580522183,0.05625,230.03845919240558,1.8064382441208506,0.011245313835952368,-57.05800523707118,382.9263855296774,154.92953212022238,142.59567216875604,0.9224136830438923,0.0703876000870125,2.316666666666667,1.35,51.34848490067778,20.40530168634768,310.55936769830026,190.65074451174348,228.4307685261226,-37.780024014379144,0.0,0.16723120184251308,0.4015636813793924,0.134375,0.4015636813793924,0.014182631823462638,0.0077249766728259206,3.8237323969655717,16.6875,0.7067708333333333,0.3785225038882345,0.5426759616704515,4.366408358636024
battery_constrained,smith_capacity_plain,Smith-QR capacity plain payoff,model_based,decentralized,proposed,smith_qr_plain_payoff,sp2_plain_vs_marginal_ablation,none,distributed_smith_qr_plain_payoff_rule,local_deficit_pressure_scores,0,0,4,0,0,0,0,,0,0,,False,False,,supervised_or_static,240,0.0010416666666666667,0.0010416666666666667,0.37463161775808373,0.37463161775808373,0.0010416666666666667,243.4050607345759,0.014932951746957102,0.0001188053499667968,-60.84753194570724,382.9263855296774,139.7714252856781,139.62087304590284,0.998802218621082,0.001110644140750513,2.225,1.2583333333333333,70.17011616749325,24.3703110401912,425.84977927631445,129.83413728469756,228.4307685261226,-98.59663124142506,0.0,0.42527108116472323,0.4015636813793924,0.134375,0.4015636813793924,0.07730519469196805,-0.02693206362130868,4.357246009993012,16.6875,0.5692708333333333,0.3795437524483229,0.009162348643011305,4.366408358636024
