seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63200,0.2,0.2,1,1,1,0,0,0.2145657590484979,7.569702440626067e-17,0.3810559809824796,r2
63200,0.2,0.4,1,1,1,0,0,0.4291315180969958,1.5139404881252134e-16,0.3810559809824796,r2
63200,0.2,0.6,1,1,1,0,0,0.6436972771454939,1.2111523905001707e-16,0.38105598098248034,r2
63200,0.2,0.8,1,1,1,0,0,0.8582630361939916,3.0278809762504267e-16,0.3810559809824796,r2
63200,0.2,1.0,1,1,0,1,1,1.0728287952424895,1.0092936587501423e-16,0.38105598098248084,r3
63200,0.2,1.2,1,1,0,1,1,1.2873945542909877,2.4223047810003414e-16,0.38105598098248034,r2
63200,0.4,0.2,1,1,1,0,0,0.15365155137479847,3.6334571715005125e-16,0.3322617902461923,r2
63200,0.4,0.4,1,1,1,0,0,0.30730310274959693,7.266914343001025e-16,0.3322617902461923,r2
63200,0.4,0.6,1,1,1,0,0,0.4609546541243958,2.220446049250313e-16,0.33226179024619185,r1
63200,0.4,0.8,1,1,1,0,0,0.6146062054991939,1.453382868600205e-15,0.3322617902461923,r2
63200,0.4,1.0,1,1,1,0,0,0.7682577568739918,3.3508549470504726e-15,0.3322617902461933,r2
63200,0.4,1.2,1,1,1,0,0,0.9219093082487916,4.440892098500626e-16,0.33226179024619185,r1
63200,0.6,0.2,1,1,1,0,0,0.1389563607115421,1.3819836804513465e-17,0.3069143681711963,r1
63200,0.6,0.4,1,1,1,0,0,0.2779127214230842,2.763967360902693e-17,0.3069143681711963,r1
63200,0.6,0.6,1,1,1,0,0,0.4168690821346263,3.0278809762504267e-16,0.3069143681711962,r1
63200,0.6,0.8,1,1,1,0,0,0.5558254428461684,5.527934721805386e-17,0.3069143681711963,r1
63200,0.6,1.0,1,1,1,0,0,0.6947818035577106,4.844609562000683e-16,0.3069143681711958,r1
63200,0.6,1.2,1,1,1,0,0,0.8337381642692526,6.055761952500853e-16,0.3069143681711962,r1
63200,0.8,0.2,1,1,1,0,0,0.1326777836808392,1.0092936587501423e-17,0.2668305757295638,r1
63200,0.8,0.4,1,1,1,0,0,0.2653555673616784,2.0185873175002847e-17,0.2668305757295638,r1
63200,0.8,0.6,1,1,1,0,0,0.39803335104251525,4.0371746350005693e-17,0.2668305757295648,r1
63200,0.8,0.8,1,1,1,0,0,0.5307111347233568,4.0371746350005693e-17,0.2668305757295638,r1
63200,0.8,1.0,1,1,1,0,0,0.6633889184041851,6.418302960333449e-17,0.26683057572956553,r1
63200,0.8,1.2,1,1,1,0,0,0.7960667020850305,8.074349270001139e-17,0.2668305757295648,r1
63201,0.2,0.2,1,1,1,0,0,0.20768982670733147,4.5418214643756407e-17,0.28262835863471103,r2
63201,0.2,0.4,1,1,1,0,0,0.41537965341466293,9.083642928751281e-17,0.28262835863471103,r2
63201,0.2,0.6,1,1,1,0,0,0.6230694801219943,4.0371746350005693e-17,0.2826283586347113,r2
63201,0.2,0.8,1,1,1,0,0,0.8307593068293259,1.8167285857502563e-16,0.28262835863471103,r2
63201,0.2,1.0,1,1,0,1,1,1.038449133536657,1.6148698540002277e-16,0.2826283586347119,r2
63201,0.2,1.2,1,1,0,1,1,1.2461389602439885,8.074349270001139e-17,0.2826283586347113,r2
63201,0.4,0.2,1,1,1,0,0,0.15216608812569496,5.0464682937507114e-17,0.3392355024813788,r2
63201,0.4,0.4,1,1,1,0,0,0.3043321762513899,1.0092936587501423e-16,0.3392355024813788,r2
63201,0.4,0.6,1,1,1,0,0,0.456498264377085,2.10541132218196e-17,0.33923550248138035,r4
63201,0.4,0.8,1,1,1,0,0,0.6086643525027798,2.0185873175002846e-16,0.3392355024813788,r2
63201,0.4,1.0,1,1,1,0,0,0.7608304406284753,1.8167285857502563e-16,0.33923550248137896,r2
63201,0.4,1.2,1,1,1,0,0,0.91299652875417,4.21082264436392e-17,0.33923550248138035,r4
