scenario,scenario_label,method,method_label,centralized,mode,seed,world_hash,success,physically_admissible_success,command_infeasible,command_infeasible_fraction,physical_violation,realized_violation_fraction,realized_violation_duration_s,realized_violation_max_duration_s,kinematic_violation,wrench_violation,support_failure,collision,timeout,numerical_failure,termination,failure_mode,time_to_target_s,final_position_error_m,final_yaw_error_rad,final_linear_speed_mps,final_angular_speed_rad_s,minimum_kinematic_margin,minimum_mechanical_margin,minimum_realized_kinematic_margin,minimum_realized_mechanical_margin,governor_intervention_rate,governor_hold_rate,governor_brake_rate,governor_uncontrolled_rate,mean_governor_scale,governor_total_variation,governor_switch_rate,mean_internal_force_ratio,state_estimate_rmse_position_m,state_estimate_rmse_yaw_rad,mean_information_age_s,information_stale_rate,cbf_intervention_mean,requested_linear_effort_m2_s3,requested_yaw_effort_rad2_s3,executed_linear_effort_m2_s3,executed_yaw_effort_rad2_s3,attempted_messages,queued_messages,delivered_messages,bytes,generated_bytes,queued_bytes,delivered_bytes,dropped_bytes,delivery_ratio,recovery_time_s
S0,Nominal,pd,PD,0,raw,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,0,1,0.23809523809523808,1,0.23809523809523808,1.0,1.0,1,0,0,0,0,0,target_reached,none,4.0,0.062385029038928896,0.0005047528559423142,0.04548527654453271,0.0058528396447471275,-0.7745217672507971,0.570098870868992,-0.6314424639551257,0.5734117901875647,0.23809523809523808,0.0,0.0,0.0,0.9148771687856196,0.8729357751984479,0.3,0.10119370175717055,0.10055325631454624,0.020011555494003054,0.19047619047619047,0.0,0.0,3.738508050139838,0.17935529522572688,2.5451198629788085,0.12606446710758615,21,21,21,5385,5385,5385,5385,0,1.0,
S0,Nominal,pd,PD,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,5.0,0.050442917073472406,0.0003088641956630056,0.05425140791968718,0.0028610111792080413,0.01640386045628861,0.572309893830589,0.015243735681025772,0.5734117901875648,0.19230769230769232,0.0,0.11538461538461539,0.0,0.823076923076923,6.0,0.28,0.118141858906087,0.07255111040524545,0.01368654183760816,0.19230769230769232,0.0,0.0,4.24673217604234,0.17678126306416536,2.713092517881823,0.11492265421681329,26,26,26,6650,6650,6650,6650,0,1.0,
S0,Nominal,pid,PID,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.800000000000001,0.05157080685805265,0.007921069998001684,0.07764070733871238,0.0001190770091088957,0.0035641185324025715,0.6059904896914304,0.004551285112847525,0.6070923860484058,0.24,0.0,0.08,0.0,0.816,4.4,0.3333333333333333,0.10492865093338878,0.07867946361958034,0.014436467108252088,0.19200000000000003,0.0,0.0,3.547998036198285,0.14413885027593779,2.1077740624901993,0.08762846852115752,25,25,25,6403,6403,6403,6403,0,1.0,
S0,Nominal,lqr,LQR,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.6000000000000005,0.030350450862297432,0.0003400871620331536,0.0848490983019532,0.0012946199512753366,0.022813127546024714,0.5463661385218228,0.026682659394041575,0.5474680348787985,0.4583333333333333,0.0,0.20833333333333334,0.0,0.6583333333333333,8.0,0.5652173913043478,0.1259561378648975,0.07847413023647418,0.012894811127144667,0.19166666666666668,0.0,0.0,17.030323074306942,0.4670730099318131,3.954862955922537,0.11224660699104239,24,24,24,6153,6153,6153,6153,0,1.0,
S0,Nominal,lqi,LQI,0,raw,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,0,1,0.3409090909090909,1,0.1590909090909091,1.4000000000000001,1.2000000000000002,1,0,0,0,0,0,target_reached,none,8.6,0.02454473858222558,0.006021113598477346,0.1145398324062431,0.005926858461642745,-34.33167087380678,-0.09776423482847774,-1.4853604052752618,0.48795628800694446,0.3409090909090909,0.0,0.0,0.0,0.7839546670636733,6.887123850045013,0.4418604651162791,0.12692414871924657,0.10262364804737087,0.016524588223417052,0.1954545454545454,0.0,0.0,33.58627485392721,0.8443143866699668,11.39086641572477,0.32045616978394953,44,44,44,11357,11357,11357,11357,0,1.0,
S0,Nominal,lqi,LQI,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.4,0.06171528370746477,0.007412389022875665,0.0768163245511958,0.02673522064138014,0.004121790855409535,0.5608943060686091,0.007562731870280004,0.5619962024255847,0.6956521739130435,0.0,0.2608695652173913,0.0,0.4695652173913043,7.800000000000001,0.7727272727272727,0.09948528582034291,0.08360614037640138,0.012850695867396985,0.19130434782608696,0.0,0.0,44.112456632336176,1.054998779468128,4.318540326898892,0.10894361385221082,23,23,23,5890,5890,5890,5890,0,1.0,
S0,Nominal,port_hamiltonian,Amortiguamiento energético,0,raw,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,0,1,0.2727272727272727,1,0.22727272727272727,1.0,1.0,1,0,0,0,0,0,target_reached,none,4.2,0.060559941056261155,0.00010380468616411065,0.04519760642059486,0.010681999932176766,-1.024451703601689,0.48940180114977205,-0.7201014526544258,0.5112719630783651,0.2727272727272727,0.0,0.0,0.0,0.9143277544857873,0.9765343629949225,0.2857142857142857,0.13185417086105025,0.09968500517114935,0.020294337760047177,0.19090909090909092,0.0,0.0,5.1603468199027365,0.2694773475050743,3.2117573881022436,0.17582407198575023,22,22,22,5640,5640,5640,5640,0,1.0,
S0,Nominal,port_hamiltonian,Amortiguamiento energético,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,5.0,0.05562166418674252,0.0021264096863471416,0.060518251707112544,0.007011432550602247,0.001568610362682743,0.5936891776064418,0.004771204875194335,0.5947962954960352,0.3076923076923077,0.0,0.11538461538461539,0.0,0.8,7.0,0.4,0.11562491445680725,0.07276238998479054,0.01413091006257746,0.19230769230769232,0.0,0.0,6.289088776567596,0.2822492559940559,2.7065678638034645,0.12933321293562877,26,26,26,6669,6669,6669,6669,0,1.0,
S0,Nominal,mpc_central,MPC central,1,raw,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,0,1,0.42105263157894735,1,0.42105263157894735,1.6,1.6,1,0,0,0,0,0,target_reached,none,3.6,0.019690440149473253,0.00018753527354720134,0.03727713984094063,0.00016978004971117248,-0.7853849584530948,0.7219154972259665,-0.6159647522618519,0.7227044570491804,0.42105263157894735,0.0,0.0,0.0,0.8810969301197753,0.8797934078413803,0.5,0.09616123402880077,0.0,0.0,0.0,0.0,0.0,2.4963436409758635,0.19406310684727507,1.741252268286257,0.16633932400332005,19,19,19,4878,4878,4878,4878,0,1.0,
S0,Nominal,mpc_central,MPC central,1,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.6000000000000005,0.020785622383737525,0.00033369668606342273,0.03877000686018035,0.0011520873302403173,0.003333188380906904,0.7219154972259665,0.00793956977374044,0.7227044570491804,0.4166666666666667,0.0,0.125,0.0,0.7083333333333334,4.8,0.43478260869565216,0.07964243558418989,0.0,0.0,0.0,0.0,0.0,3.5519946247644056,0.16129576366875156,2.0295903230240206,0.1765841965083419,24,24,24,6172,6172,6172,6172,0,1.0,
