step,time_s,x_m,y_m,theta_rad,theta_deg,vx_m_s,vy_m_s,omega_rad_s,desired_fx_n,desired_fy_n,desired_tau_nm,achieved_fx_n,achieved_fy_n,achieved_tau_nm,residual_norm,hamiltonian,kinetic_energy,potential_energy,lambda_sum_n,lambda_max_n,payoff_sum
0,0.0,-4.6088341915489215,-2.74080258648961,0.3141592653589793,18.0,0.0,0.0,0.0,58.21866941686358,87.38184325893998,-16.755160819145566,-11.287480385680455,34.73929255919732,-12.784468837965123,0.8332116903472908,302.937600340766,0.0,302.937600340766,36.5270538227575,36.5270538227575,12.90606179094454
1,0.04,-4.609210440895111,-2.7396446100709704,0.31360114393631244,17.96802199802535,-0.009406233654733712,0.028949410465997763,-0.013953035566674082,58.90184522735556,86.92279694540812,-15.792959486467723,-11.268089885366535,34.74558693311453,-12.784468838064274,0.8344044474702659,302.8639085790339,0.025804737317453662,302.8381038417164,36.52705382304079,36.52705382304079,12.382564852257719
2,0.08,-4.60995727657953,-2.7373438871068085,0.3125348502933303,17.906927872560843,-0.018670892110476043,0.057518074104046565,-0.02665734107455621,59.59727842338913,86.4474661544515,-14.903475664500167,-11.23103448819255,34.757582271149765,-12.784468838157203,0.8358850685641543,302.74200043757986,0.10078834395290377,302.64121209362696,36.52705382330629,36.52705382330629,11.885453256632097
3,0.12,-4.611068522271096,-2.7339152543731307,0.31100586341727654,17.819323377632074,-0.027781142289163487,0.08571581834195074,-0.03822467190134322,60.304648240407595,85.95550826212771,-14.08020148325336,-11.17787749388107,34.77471374088836,-12.784468838244528,0.8375933361366248,302.57062557745036,0.22163096669861995,302.34899461075173,36.5270538235558,36.5270538235558,11.412830147817788
4,0.16,-4.612537547269905,-2.729373179617872,0.3090555921431948,17.707581064721584,-0.03672562497020886,0.11355186888146504,-0.048756781852049236,61.02364880280821,85.44655807457386,-13.317211496027388,-11.110036153826103,34.796447486874285,-12.78446883832684,0.8394811251201926,302.34888263229857,0.385389788647835,301.9634928436507,36.52705382379098,36.52705382379098,10.962717094322906
5,0.2,-4.61435731980719,-2.7237317842764543,0.30672173941311476,17.573861153282916,-0.04549431343212783,0.14103488353544075,-0.05834631825200427,61.753985805415155,84.9202286687017,-12.609110555308526,-11.028796186212446,34.82228188596135,-12.784468838404662,0.8415102720719557,302.0761613295991,0.5894373688259479,301.48672396077313,36.52705382401332,36.52705382401332,10.533115641369623
6,0.24,-4.616520455250185,-2.717004864810057,0.3040386339357828,17.42013053344336,-0.05407838607487649,0.168172986659936,-0.06707763693330339,62.49537341029659,84.37611215449307,-11.950986353524218,-10.935324744686275,34.85174793042705,-12.78446883847848,0.843650787739917,301.75209529683855,0.8314106836074636,300.92068461323106,36.52705382422423,36.52705382422423,10.122051943849073
7,0.28,-4.619019259712096,-2.7092059126721972,0.3010375321644285,17.248180068055525,-0.06247011154778337,0.19497380344649273,-0.07502754428386012,63.247531325392394,83.81378037795162,-11.33836621117386,-10.83068201422694,34.88440895585218,-12.784468838548738,0.8458793657146896,301.3765236134142,1.109169024065628,300.26735458934854,36.52705382442497,36.52705382442497,9.727608129776861
8,0.32,-4.621845769514989,-2.7003481329309804,0.2977468932489642,17.05964034629791,-0.07066274507233537,0.22144449353041631,-0.08226597288661287,64.01018203559298,83.23278558218661,-10.767177732215528,-10.71583158888876,34.91985988610235,-12.78446883861585,0.8481781436384475,300.9494595105837,1.4207592188019362,299.5287002917818,36.52705382461671,36.52705382461671,9.347943438256179
9,0.36,-4.624991786906807,-2.69044446159011,0.29419262938127444,16.855996027403446,-0.07865043479544487,0.24759178352176273,-0.08885659669224845,64.78304816060817,82.63266104283659,-10.233712980607754,-10.591649768639877,34.95772613169149,-12.784468838680185,0.850533678017028,300.4710649043787,1.7643869136292307,298.7066779907495,36.52705382480053,36.52705382480053,8.981307605034162
