step,time_s,x_m,y_m,theta_rad,theta_deg,vx_m_s,vy_m_s,omega_rad_s,desired_fx_n,desired_fy_n,desired_tau_nm,achieved_fx_n,achieved_fy_n,achieved_tau_nm,residual_norm,hamiltonian,kinetic_energy,potential_energy,lambda_sum_n,lambda_max_n,payoff_sum
0,0.0,-4.420102783732712,-2.7709758882736066,-0.3141592653589793,-18.0,0.0,0.0,0.0,92.99323318451484,48.75713877875166,10.89085453244462,67.7176406838848,15.085450669627718,19.557282041023942,0.427913765238685,672.952270319258,0.0,672.952270319258,95.01466076681987,35.273017950895266,43.654653455852475
1,0.04,-4.418167993998886,-2.7705448753973316,-0.3135025215937848,-17.962371354032822,0.048369743345632,0.010775321906876942,0.01641859412986479,92.85464423498651,49.02055736111217,9.758628281249146,66.6535913968676,15.4716620931293,19.025375358619215,0.435755447014147,672.6770439027623,0.07518277126083306,672.6018611315014,93.9065218429358,35.27301795084295,43.84820693316066
2,0.08,-4.414350927822109,-2.7696767408941247,-0.31225210605671494,-17.890727821121136,0.09542665441944449,0.021703362580176418,0.03126038842674765,92.71700370654875,49.280393907514835,8.719376296171426,65.68443384512578,15.861588878573068,18.54632597810914,0.4430431174828472,672.2013125035035,0.2914443494512008,671.9098681540522,92.90850229812456,35.273017950812864,43.99851113689077
3,0.12,-4.408700787148919,-2.768365339674424,-0.31046497388462235,-17.788332690228184,0.1412535168297407,0.032785030492526596,0.04467830430231712,92.58016976523443,49.53697776651671,7.76406684450249,64.80046727316449,16.253433891994362,18.115060713725068,0.4498073505733797,671.5211195403868,0.636322566439263,670.8847969739476,92.01003300048171,35.27301795087861,44.11417869954325
4,0.16,-4.401263777589904,-2.766604542071748,-0.3081925548029698,-17.658132667564498,0.18592523897537544,0.04401994006689369,0.05681047704131395,92.44400205196582,49.7906264734251,6.884541040291044,63.992943028091574,16.645898595109557,17.72697258728774,0.4560816375900379,670.6339220384313,1.099054737009801,669.5348673014214,91.20151607189382,35.27301795087999,44.201800820584154
5,0.2,-4.392083392625047,-2.7643882707675282,-0.30548128820029063,-17.502788534096208,0.22950962412143655,0.055406782605493164,0.06778166506697507,92.30836351783908,50.04164290526913,6.073429856081788,63.25397396063235,17.038068249815677,17.377881289757354,0.4619006267038385,669.5383452064242,1.6703010450798568,667.8680441613443,90.47424253794131,35.27301794527366,44.26645979994668
6,0.24,-4.381200669946627,-2.761710526328219,-0.3023731070403115,-17.324702871667327,0.2720680669605004,0.0669436109827273,0.07770452899947715,92.17312173090735,50.290313484599956,5.324078760832137,62.57645118287669,17.429321030262603,17.0639963414785,0.46729893552060114,668.2339810329848,2.3419145827148,665.89206645027,89.82031557232088,35.27301792354231,44.31210270465808
7,0.28,-4.36865442263645,-2.7585654040816374,-0.29890587537085356,-17.12604513041329,0.3136561827544352,0.07862805616454085,0.08668079173644766,92.03814976446398,50.53690718607638,4.630479334651162,61.95396803352142,17.81925642782536,16.78188292961303,0.47231036464887427,666.7212230463797,3.1067500577024805,663.6144729886772,89.23257928505922,35.27301795090575,44.34181582770226
8,0.32,-4.354481447637431,-2.754947104477079,-0.29511378377111264,-16.90877428622112,0.35432437497547126,0.09045749011396421,0.09480228999352698,91.90332675722487,50.78167514915941,3.987207254775986,61.380750999355065,18.207638721182185,16.528430168952287,0.47696739311255126,665.0011307697081,3.95850455955119,661.0426262101569,88.70455270034935,35.27301795090571,44.35802794890215
9,0.36,-4.338716713752705,-2.7508499386188245,-0.2910277066986593,-16.674659315204373,0.3941183471181481,0.10242914645636332,0.10215192681133843,91.7685382155693,51.024850747234936,3.389366101425927,60.85159698649982,18.594353279510358,16.30082201176707,0.48130086937963196,663.0753185481186,4.891584912320165,658.1837336357985,88.23036903954745,35.27301795090431,44.36266207103532
10,0.4,-4.321393531198476,-2.746268330276678,-0.2866755253358493,-16.425297691439866,0.43307956385572627,0.11454020855365514,0.10880453407024761,91.63367612107689,51.26664998356712,2.8325364551126624,60.361816736161046,18.979372243067466,16.09651035805722,0.4853398407781637,660.9458643705915,5.900997087989263,655.0448672826022,87.8047197610004,35.273017950871285,44.357249541304654
11,0.44,-4.302543704538119,-2.7411968153943547,-0.2820824192136393,-16.162132095781534,0.4712456665089187,0.12678787205809014,0.11482765305524571,91.49863888694384,51.507272125755705,2.3127298171997417,59.90718372611373,19.36272818355515,15.913190444490315,0.4891114778472079,658.6152350878774,6.982253934589498,651.6329811532879,87.42280327469317,35.27301795023755,44.34301658969888
12,0.48,-4.28219767064742,-2.7356300398768703,-0.2772711295886241,-15.886465506253083,0.5086508472674695,0.1391693879371085,0.12028224062538158,91.36333120250299,51.7469005021725,1.8263469114301483,59.48388813521915,19.744493905646785,15.748778300050517,0.49264106428513954,656.086225070176,8.13129811977266,647.9549269504034,87.08027797837961,35.273017940195295,44.320950434517385
13,0.52,-4.260384623197323,-2.72956275625371,-0.2722621972748578,-15.599474824807574,0.5453261862524263,0.15168209057900353,0.12522330784416083,91.22766379545124,51.98570340414868,1.3701399650227568,59.08849542306004,20.124767036714605,15.601390110438981,0.495952031273469,653.3619058760017,9.344437724039814,644.0174681519619,86.77321930802228,35.27301781364978,44.291850152171214
14,0.56,-4.237132624991712,-2.722989819670908,-0.2670741773819487,-15.302223180913971,0.5812999551402986,0.16432341457003963,0.1297004973227262,91.09155313446568,52.22383505211785,0.9411786030504938,58.71790882919763,20.503659221870613,15.469323654450992,0.49906602015050505,650.4455849378612,10.618292358598582,639.8272925792626,86.49808079513872,35.273017950904865,44.25636604429974
15,0.6,-4.212468709370472,-2.715906183528428,-0.2617238331725771,-14.995671038774718,0.6165978905309792,0.1770909035620039,0.13375860523428695,90.9549210980485,52.46143658009918,0.5368190040394545,58.36933624117426,20.88128622724024,15.351040670939824,0.5020029658149486,647.3407716276266,11.949748048144036,635.3910235794826,86.25165791286705,35.27301795081045,44.21503044359889
16,0.64,-4.186418971749442,-2.708306895049655,-0.25622631106898197,-14.680686224458835,0.6512434405257497,0.18998221196932402,0.1374380525898725,90.81769460370641,52.6986370494334,0.15467605337335577,58.04025956835813,21.25776330676635,15.245151795455897,0.5047811875722783,644.0511493559385,13.335919415351809,630.7152299405867,86.03105609236444,35.273017943343746,44.16828173943857
17,0.68,-4.159008652284985,-2.7001870909161605,-0.25059529861196017,-14.358052976285895,0.6852579866114255,0.20299510333736487,0.14077531142554034,90.67980523614717,52.93555442549379,-0.20740184642059134,57.72840779550055,21.633200176106488,15.150402131710116,0.5074174879647002,640.5805526050608,14.774117959856135,625.8064346452047,85.83366095609487,35.27301795090564,44.116483433440145
18,0.72,-4.130262210534537,-2.6915419931105884,-0.24484316703044495,-14.02848011346116,0.7186610437612239,0.21612744513929963,0.14380328953788046,90.5411888617586,53.1722965415202,-0.5513555160160752,57.431732530948935,22.00769817346853,15.065658403488538,0.5099272521965562,636.9329479872624,16.261825421905723,620.6711225653567,85.65711152245001,35.27301795057815,44.059939224458375
19,0.76,-4.100203392903208,-2.6823669050464094,-0.2389810999125186,-13.692608408381563,0.751470440783202,0.22937720160447087,0.14655167794816368,90.40178524264222,53.408962028326265,-0.8789355387455764,57.14838618192894,22.381347932092133,14.989897100056282,0.5123245467740228,633.1124185871581,17.796671395395148,615.315747191763,85.49927570502413,35.2730174457244,43.99890509849226
20,0.8,-4.068855293582469,-2.6726572080477613,-0.23301920933272102,-13.351017240240358,0.7837024830184861,0.24274242496619985,0.14904726449494432,90.26153764840605,53.64564121478442,-1.1917207978418034,56.876701389285074,22.754230682009055,14.92219471842903,0.5146222145890629,629.1231509785598,19.376414493401505,609.7467364851583,85.35822902212493,35.27301756465334,43.93359864200983
21,0.84,-4.0362404096428435,-2.662408358138183,-0.2269666406268338,-13.004230598180062,0.8153720984906213,0.25622124773944976,0.15131421764718464,90.12039249917534,53.882416944626556,-1.4911352611354367,56.61702954002716,23.12105706599752,14.859801535769432,0.5168319644426641,624.9694244181688,20.99892649054847,603.9704979276204,85.23044414339515,35.26821556070197,43.86504187363576
22,0.88,-4.002380637818528,-2.6516160363114003,-0.22083173127937838,-12.652726184875508,0.8464942956078908,0.26980804566956856,0.15337273368639015,89.9782376285516,54.11946741478429,-1.7783521761403414,56.52873564099169,23.027257038299837,14.639089761434406,0.5189336971570864,620.6556000282641,22.662172198127486,597.9934278301366,84.96222854575187,35.21856153793194,43.866613686375395
23,0.92,-3.9672927280824624,-2.640289133675829,-0.21462756124299087,-12.297253426408979,0.8771977434016518,0.28317256588927336,0.155104250909687,89.8296289764034,54.36577745201211,-2.044995428197817,56.45159798656928,22.951751248205355,14.43271024317249,0.520838547432536,616.1860010912268,24.36367808638,591.8223230048468,84.7164180125202,35.21856153793194,43.86808050567729
24,0.96,-3.9309929202294778,-2.6284359170347162,-0.20836582876075793,-11.938482582737054,0.907495196324611,0.29633041602782834,0.1565433120558279,89.6742797961569,54.62163987871993,-2.2931331657089995,56.38336353634338,22.894159408480935,14.239320571726314,0.5225690617141576,611.5657696525953,26.101868956508564,585.4639006960867,84.49039340640303,35.21856153793194,43.86944553331607
25,1.0,-3.893497014079489,-2.616064046886402,-0.20205699056200643,-11.577012780317677,0.9373976537497178,0.3092967537078538,0.15772095496878305,89.51188929223248,54.88735442098768,-2.5246250005599755,56.32195615834152,22.85411771396034,14.057711544031193,0.5241457913609054,606.8000439217676,27.87523445607268,578.9248094656949,84.28179315808273,35.21856153793194,43.8707165607935
