step,time_s,x_m,y_m,theta_rad,theta_deg,vx_m_s,vy_m_s,omega_rad_s,desired_fx_n,desired_fy_n,desired_tau_nm,achieved_fx_n,achieved_fy_n,achieved_tau_nm,residual_norm,hamiltonian,kinetic_energy,potential_energy,lambda_sum_n,lambda_max_n,payoff_sum
0,0.0,-4.3869893072433594,-2.7975709465812764,-0.5934119456780721,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
1,0.04,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
2,0.08,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
3,0.12,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
4,0.16,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
5,0.2,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
6,0.24,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
7,0.28,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
8,0.32,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
9,0.36,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
10,0.4,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
11,0.44,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
12,0.48,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
13,0.52,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
14,0.56,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
15,0.6,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
16,0.64,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
17,0.68,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
18,0.72,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
19,0.76,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
20,0.8,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
21,0.84,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
22,0.88,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
23,0.92,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
24,0.96,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
25,1.0,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
26,1.04,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
27,1.08,-4.3869893072433594,-2.7975709465812764,-0.593411945678072,-34.0,0.0,0.0,0.0,101.90012017400909,-25.325195132960086,30.997047515419283,0.0,0.0,0.0,1.1338506984009475,293.9741705928581,0.0,293.9741705928581,0.0,0.0,0.0
