method,n,wrench_feasible_rate_mean,wrench_feasible_rate_std,feasible_coverage_mean,feasible_coverage_std,precision_given_assigned_mean,precision_given_assigned_std,fp_given_assigned_mean,fp_given_assigned_std,optimality_gap_vs_wrench_oracle_mean,optimality_gap_vs_wrench_oracle_std,wrench_residual_feasible_available_mean,wrench_residual_feasible_available_std,runtime_s_mean,runtime_s_std,messages_mean,messages_std,kkt_residual_mean,kkt_residual_std,consensus_error_mean,consensus_error_std
wrench_oracle,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.744319423630702e-17,9.396136556559036e-17,0.117876660831195,0.12212440109771937,nan,nan,nan,nan,nan,nan
replicator_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,3.058849573372795e-06,1.533818037594147e-05,7.744319423630702e-17,9.396136556559036e-17,0.15688061249597618,0.06463062644710135,0.0,0.0,0.04187981755573382,0.030214745238945056,0.0,0.0
erv_bnn_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,3.0870979645387035e-06,2.8245319147343073e-05,7.75661784518331e-17,9.38750495035051e-17,0.18613439716321106,0.048666877137754284,0.0,0.0,0.05836012581511928,0.020630550184143007,0.0,0.0
smith_price_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,3.137647394208901e-06,2.5481836837477212e-05,7.794877555392013e-17,9.452967648750504e-17,0.23622731050515236,0.11862059373354095,0.0,0.0,0.031232380590412098,0.015824421623687388,0.0,0.0
smith_wrench_pairs_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,1.0415444716922841e-05,6.254511027910729e-05,7.74067476496346e-17,9.42948902268935e-17,0.140575037333183,0.10496619289701833,nan,nan,nan,nan,nan,nan
nash_pd_ring_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.0001386320244127402,0.0007115922670131669,3.922796862019706e-06,9.60885067635664e-05,0.47095303700227914,0.2510300878009473,311375.86666666664,260886.68201923842,0.020292645430642325,0.024876106226702752,0.10109147845249784,0.14432581157684138
nash_pd_exact_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.00017915321124804316,0.001644678094148992,4.716642804663706e-05,0.0008758428812770451,0.3021182748337742,0.18450412776205474,0.0,0.0,0.002207572460521931,0.0015084388212023977,0.0,0.0
uniform_guarded,600,0.5,0.5004171882244361,1.0,0.0,1.0,0.0,0.0,0.0,0.0014818122652250883,0.0017168847601491152,7.955663597344051e-17,9.537715013658412e-17,0.05983664816012606,0.06174058498016855,nan,nan,nan,nan,nan,nan
nash_pd_exact_unguarded,600,0.5,0.5004171882244361,1.0,0.0,0.6666666666666666,0.47179784962107174,0.3333333333333333,0.47179784962107174,0.05270699557426032,0.08318387713133582,4.716642804663706e-05,0.0008758428812770451,0.3021182748337742,0.18450412776205474,0.0,0.0,0.002207572460521931,0.0015084388212023977,0.0,0.0
cbba_slots,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.0933490002932763,0.10361566171239525,8.054041763967565e-17,9.871649116523366e-17,0.023852658001706006,0.026799080503896067,nan,nan,nan,nan,nan,nan
wrench_greedy,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.0933844682966782,0.10362658119268156,8.033089579529593e-17,9.856880113913843e-17,0.02374503099747623,0.026678914391501586,nan,nan,nan,nan,nan,nan
oracle_scalar_assignment,600,0.5,0.5004171882244361,1.0,0.0,0.5,0.5004171882244361,0.5,0.5004171882244361,0.09351174094295028,0.10539539889957422,7.744319423630702e-17,9.396136556559036e-17,0.01966584783163853,0.03798671072330858,nan,nan,nan,nan,nan,nan
