method,scenario,seed,n_robots,safe_docking_success,arrival_success,any_collision,timeout,docking_time_s,time_to_wrench_feasible_s,min_clearance_m,final_position_error_m,final_orientation_error_rad,energy_wh,path_length_m,guard_interventions,closure_interventions,guard_intervention_norm,raw_barrier_violations,exec_barrier_violations,max_exec_barrier_residual,torque_saturation_events,mean_kkt_residual,final_kkt_residual,max_simplex_error,max_capacity_violation,consensus_error,messages,runtime_s,steps
direct_hocbf,open_docking,886001,4,1,1,0,0,6.4799999999999995,6.4799999999999995,0.11804248637845166,0.0386566147610444,0.03420633753871416,0.019846694193219234,14.253288499570337,0,21,1.1774547357146448,0,0,0.0,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.09582070005126297,54
priority_hocbf,open_docking,886001,4,1,1,0,0,6.4799999999999995,6.4799999999999995,0.11804248637845166,0.0386566147610444,0.03420633753871416,0.019846694193219234,14.253288499570337,0,21,1.1774547357146448,0,0,0.0,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.10362589987926185,54
central_hocbf,open_docking,886001,4,1,1,0,0,6.4799999999999995,6.4799999999999995,0.13771088652617153,0.044410646800041004,0.0037357321439701607,0.019916067701294067,14.25853132558683,0,21,1.1901316164006248,0,0,0.0,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.09893550002016127,54
distributed_replicator_hocbf,open_docking,886001,4,1,1,0,0,6.4799999999999995,6.4799999999999995,0.13771088652617153,0.044410646800041004,0.0037357321439701607,0.019916067701294067,14.25853132558683,0,0,1.1901316164006248,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,216,0.12016399996355176,54
distributed_pd_hocbf,open_docking,886001,4,1,1,0,0,6.4799999999999995,6.4799999999999995,0.13771088652617153,0.044410646800041004,0.0037357321439701607,0.019916067701294067,14.25853132558683,0,0,1.1901316164006248,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,216,0.1086893999017775,54
direct_hocbf,crossing,886001,4,0,0,0,1,120.0,120.0,0.004999999984728998,1.7078570175636054,2.212740141909085,0.032885047907575515,17.910971404261435,35544,894,2807.5899465999173,978,0,9.085062216418471e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,18.778741399990395,1000
priority_hocbf,crossing,886001,4,0,0,0,1,120.0,120.0,0.004999999985451586,1.7077985214149347,2.2097588688183487,0.044942188612671234,17.918643711089864,40122,1851,2339.1624377323233,978,0,9.864875583076582e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,1970,21.214114400092512,1000
central_hocbf,crossing,886001,4,1,1,0,0,17.88,17.88,0.03719336267929485,0.07466755514991319,0.1012013988978604,0.09278186507169875,34.371192376094044,58,51,66.69233321470224,48,0,1.1102230246251565e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.6704995001200587,149
distributed_replicator_hocbf,crossing,886001,4,1,1,0,0,25.32,25.32,0.0025783257857363018,0.08145564610832055,0.0837189155040512,0.08389145859725419,33.93601901394633,137,105,125.00993905253574,114,0,3.426078865054194e-16,0,0.2549460403017617,0.0,0.0,2.220446049250313e-16,0.0,14494,2.8197665999177843,211
distributed_pd_hocbf,crossing,886001,4,1,1,0,0,25.32,25.32,0.0025783257857363018,0.08145564610869233,0.08371891550552246,0.08389145859725919,33.93601901395292,137,105,125.00993905255318,114,0,3.426078865054194e-16,0,0.2536648419478032,0.0,0.0,2.220446049250313e-16,0.0,14494,2.822465900098905,211
direct_hocbf,symmetric_deadlock,886001,4,0,0,0,1,120.0,120.0,0.004999999983598402,1.0085926487538663,2.017440965062576,0.04492689636626873,21.400445574811474,123077,858,2801.8367097096725,983,0,9.974582271254917e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,31.791716299951077,1000
priority_hocbf,symmetric_deadlock,886001,4,0,0,0,1,120.0,120.0,0.004999999989900361,1.8898793729156953,2.7329737067912903,0.031816352514084274,17.226318537376077,31095,2805,1643.7773397901317,981,0,9.797859051863256e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,9296,19.44793549994938,1000
central_hocbf,symmetric_deadlock,886001,4,1,1,0,0,17.04,17.04,0.027759420609155983,0.07766758284070156,0.10720994267064143,0.09737211430558858,34.19733492738888,24,41,49.2825165407791,13,0,1.1102230246251565e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.48643619986250997,142
distributed_replicator_hocbf,symmetric_deadlock,886001,4,1,1,0,0,23.64,23.64,0.0025467486101279357,0.08314994959522751,0.09057661188925992,0.09864667511838647,33.979166925146174,88,76,101.54200192044071,77,0,2.220446049250313e-16,0,0.19918964703745384,0.0,0.0,2.220446049250313e-16,0.0,10668,1.9936592001467943,197
distributed_pd_hocbf,symmetric_deadlock,886001,4,1,1,0,0,23.64,23.64,0.0025467486101279357,0.08314994959546422,0.09057661189052557,0.09864667511839802,33.97916692515167,88,76,101.5420019204391,77,0,2.220446049250313e-16,0,0.19769814021169357,0.0,0.0,2.220446049250313e-16,0.0,10668,1.911995799979195,197
direct_hocbf,actuator_limited,886001,4,1,1,0,0,10.68,10.68,0.03225469868858272,0.06873246677508332,0.14943384590135478,0.02731090171609499,15.79630673110302,24,70,33.75131711823988,16,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.474855599924922,89
priority_hocbf,actuator_limited,886001,4,1,1,0,0,10.68,10.68,0.03225469868858272,0.06873246677508332,0.14943384590135478,0.02731090171609499,15.79630673110302,24,70,33.75131711823988,16,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.4807029999792576,89
central_hocbf,actuator_limited,886001,4,1,1,0,0,11.76,11.76,0.03225469868858272,0.07592739851114767,0.12447779367269485,0.028586124124073194,15.943803221136356,24,90,43.07414591691322,16,0,5.551115123125783e-17,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,0.5792428001295775,98
distributed_replicator_hocbf,actuator_limited,886001,4,1,1,0,0,11.76,11.76,0.03225469868858272,0.07592739851114767,0.12447779367269485,0.028586124124073194,15.943803221136356,24,0,43.07414591691322,16,0,5.551115123125783e-17,0,0.0,0.0,0.0,0.0,0.0,392,0.5824660998769104,98
distributed_pd_hocbf,actuator_limited,886001,4,1,1,0,0,11.76,11.76,0.03225469868858272,0.07592739851114767,0.12447779367269485,0.028586124124073194,15.943803221136356,24,0,43.07414591691322,16,0,5.551115123125783e-17,0,0.0,0.0,0.0,0.0,0.0,392,0.5593273001722991,98
direct_hocbf,cluttered_docking,886001,4,0,0,0,1,120.0,120.0,0.00499999998494266,0.6295011784459723,0.9276200371033575,0.03203954904951176,16.687471427947255,98716,1860,2145.7185294823776,974,0,9.924957817403213e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,58.865586100146174,1000
priority_hocbf,cluttered_docking,886001,4,0,0,0,1,120.0,120.0,0.005000000000000171,0.11679219396748784,0.15136929213134254,0.04196603522790133,18.865987593215056,1881,1878,527.3811151275897,949,0,1.6865294188604055e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,46,4.544622499961406,1000
central_hocbf,cluttered_docking,886001,4,0,0,0,1,120.0,120.0,0.0050000000000000044,0.9908815822441112,1.6147906478444112,0.08417610738065465,28.23400683090361,1820,1805,2177.498241661715,926,0,1.6653345369377348e-16,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,4.705716100055724,1000
distributed_replicator_hocbf,cluttered_docking,886001,4,1,1,0,0,48.72,48.72,0.017542375289402334,0.07586206928311065,0.10527374251603006,0.07706293379839392,24.17019047961421,53,0,110.57053362769629,53,0,1.1102230246251565e-16,0,0.0,0.0,0.0,0.0,0.0,1624,2.0051569999195635,406
distributed_pd_hocbf,cluttered_docking,886001,4,1,1,0,0,48.72,48.72,0.017542375289402334,0.07586206928311065,0.10527374251603006,0.07706293379839392,24.17019047961421,53,0,110.57053362769629,53,0,1.1102230246251565e-16,0,0.0,0.0,0.0,0.0,0.0,1624,1.9843615000136197,406
direct_hocbf,narrow_passage,886001,4,0,0,1,0,120.0,120.0,-0.005679769234857024,1.325717796569693,1.6718352666042327,0.023132320539301223,14.148033227360022,697,1,19.00731194419737,26,0,9.85398429520501e-11,0,nan,nan,1.1102230246251565e-16,0.0,0.0,0,4.77430779999122,48
