experiment_id,scenario_generator,scenario_variant_id,seed,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_tuned_parameters,method_uses_neural_policy,method_uses_decoder,n_robots,world_size_m,obstacle_count,robot_radius_m,target_tolerance_m,safety_margin_m,dt_s,horizon_s,communication_radius,arrival_success_rate,timeout_rate,mean_arrival_time_s,max_arrival_time_s,travel_distance_m,mean_path_length_m,path_efficiency_ratio,energy_proxy_wh,collision_count,collision_rate,safety_violation_count,min_robot_clearance_m,min_obstacle_clearance_m,mean_clearance_m,mean_speed_mps,max_speed_mps,max_speed_violation_mps,congestion_delay_s,communication_messages,runtime_ms,score_value,reference_score_value,signed_score_delta_vs_reference,performance_gap_vs_reference,optimality_gap_vs_reference,arrived_robots,timed_out_robots,all_arrived
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,17.32,18.24,75.98598066120059,12.664330110200098,1.0256273514108096,709.2834424099435,0,0.0,0,1.6855048708312772,18.0,11.412272387964178,0.5250551455306846,0.773211327473718,1.1102230246251565e-16,0.0,6000,9.492399985902011,68.47824983043643,66.97390385321276,1.5043459772236645,0.0,0.0,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,18.44,19.439999999999998,76.05785390537585,12.676308984229308,1.0246581528169012,709.8613600856744,0,0.0,0,1.6856381556320588,18.0,11.413825086255159,0.5255517820990581,0.7268186478252949,0.0,0.7325362406644054,6000,34.78599991649389,66.66465853996056,66.97390385321276,-0.3092453132522053,0.0005154088554203422,0.0005154088554203422,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,tensor_flow_motion_field,Smooth tensor-flow motion,model_based,decentralized,proposed,smooth_tensor_flow_barrier_motion,sp4_motion_proposed,none,distributed_smooth_tensor_flow_motion_field,local_anisotropic_clearance_tensor,0,8,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,19.659999999999997,20.759999999999998,75.99599821073505,12.665999701789175,1.0254921564921486,709.2147456334822,0,0.0,0,1.6862532453166814,18.0,11.4155871722758,0.5251243657458203,0.6804259681768718,0.0,1.9525362406644053,6000,52.93150001671165,64.73273293730347,66.97390385321276,-2.2411709159092936,0.0037352848598488225,0.0037352848598488225,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,explicit_vgne_cbf_motion,Ours explicit vGNE-CBF motion,model_based,decentralized,proposed,closed_form_explicit_amr_vgne_cbf,sp4_explicit_control_law,closed_form_model_based,distributed_explicit_amr_vgne_cbf_hand_point,local_target_obstacle_neighbor_state_plus_consensus_scalars,0,10,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,19.22,20.279999999999998,76.00628444522329,12.66771407420388,1.0253533725367887,709.2828017883257,0,0.0,0,1.6855588358536924,18.0,11.414930992464038,0.5251954425457657,0.6958901947263463,0.0,1.5125362406644054,6000,98.57060003560036,65.43378940416763,66.97390385321276,-1.5401144490451344,0.002566857415075224,0.002566857415075224,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,smith_motion_field,Smith-QR motion field,model_based,decentralized,proposed,smith_qr_congestion_field,sp4_motion_proposed,none,distributed_smith_qr_motion_field,local_congestion_price_neighbors,0,6,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,18.44,19.439999999999998,76.05785390537585,12.676308984229308,1.0246581528169012,709.8613600856744,0,0.0,0,1.6856381556320588,18.0,11.413825086255159,0.5255517820990581,0.7268186478252949,0.0,0.7325362406644054,6000,48.880400019697845,66.66465853996056,66.97390385321276,-0.3092453132522053,0.0005154088554203422,0.0005154088554203422,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5400,reference_time_expanded_cbf,Reference time-expanded CBF,model_based_reference,centralized,reference,time_expanded_safe_cbf_reference,sp4_motion_reference,none,centralized_time_expanded_cbf_reference,global_state_and_release_schedule,0,8,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,18.24,19.32,76.0912783244129,12.681879720735482,1.024208053880155,710.2014915416402,0,0.0,0,1.6855039767508364,18.0,11.413824120389943,0.5257827413240247,0.7422828743747693,0.0,0.5325362406644061,6000,41.87009995803237,66.97390385321276,66.97390385321276,0.0,0.0,0.0,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5401,direct_to_target,Direct to target,classic,decentralized,baseline,direct_single_integrator,sp4_motion_baseline,none,local_target_feedback,none,0,0,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,17.06,19.08,75.81849111696559,12.636415186160932,1.0255856982679885,581.1769344858665,0,0.0,0,1.6332053939499276,18.0,11.44386522940615,0.5238978103715146,0.8120343518122058,1.1102230246251565e-16,0.0,6000,9.453199920244515,70.21216260940892,68.79789890405817,1.4142637053507485,0.0,0.0,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5401,cbf_safety_filter,CBF safety filter,sota,centralized,baseline,cbf_velocity_projection_proxy,sp4_motion_sota_proxy,none,centralized_cbf_velocity_projection_proxy,global_relative_state,0,6,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,18.139999999999997,20.4,75.82252714137395,12.63708785689566,1.025531106459101,581.1279545606232,0,0.0,0,1.6332053939499276,18.0,11.445638588405242,0.5239256988762713,0.7633122907034735,0.0,0.7042679253501648,6000,35.882099997252226,68.48376448329151,68.79789890405817,-0.3141344207666634,0.000523557367944439,0.000523557367944439,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5401,tensor_flow_motion_field,Smooth tensor-flow motion,model_based,decentralized,proposed,smooth_tensor_flow_barrier_motion,sp4_motion_proposed,none,distributed_smooth_tensor_flow_motion_field,local_anisotropic_clearance_tensor,0,8,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,19.359999999999996,21.72,75.81743296634059,12.636238827723432,1.0256000119173059,580.9652610682806,0,0.0,0,1.6332053939499276,18.0,11.447699748111283,0.523890498661834,0.7145902295947412,0.0,1.9242679253501649,6000,55.461699957959354,66.53451213672227,68.79789890405817,-2.263386767335902,0.0037723112788931703,0.0037723112788931703,6,0,True
SP4_MC_explicit_control_law,open_field_arrival,open_field_arrival_v00,5401,explicit_vgne_cbf_motion,Ours explicit vGNE-CBF motion,model_based,decentralized,proposed,closed_form_explicit_amr_vgne_cbf,sp4_explicit_control_law,closed_form_model_based,distributed_explicit_amr_vgne_cbf_hand_point,local_target_obstacle_neighbor_state_plus_consensus_scalars,0,10,False,False,6,18.0,0,0.28,0.35,0.08,0.12,24.0,inf,1.0,0.0,18.94,21.24,75.86636221738112,12.644393702896854,1.0249385614538384,581.4381368803282,0,0.0,0,1.6332053939499276,18.0,11.447064836338146,0.5242285946474654,0.7308309166309853,0.0,1.5042679253501656,6000,95.61789990402758,67.19101894337287,68.79789890405817,-1.6068799606853048,0.002678133267808841,0.002678133267808841,6,0,True
