t_s,method,robot,x_m,y_m,command_x_m,command_y_m,replay_error_m
0.0,direct_hocbf,0,-4.65210898,0.49211692,-4.652108979754179,0.492116923201888,3.211310425758758e-09
0.0,direct_hocbf,1,4.62019418,-0.53757839,4.620194184982867,-0.5375783853735964,6.799453936077786e-09
0.0,direct_hocbf,2,-4.60262815,-0.49185488,-4.602628151519146,-0.4918548785779368,2.0808813918280834e-09
0.0,direct_hocbf,3,4.65022126,0.56621846,4.650221262535963,0.5662184574317473,3.6092977647743966e-09
0.0,distributed_pd_hocbf,0,-4.671078639999999,0.49211161,-4.671078643339044,0.49211161492800354,5.9526830039858685e-09
0.0,distributed_pd_hocbf,1,4.63871635,-0.54270509,4.638716346875129,-0.542705090777555,3.2201569457262833e-09
0.0,distributed_pd_hocbf,2,-4.60262815,-0.49185488,-4.602628151519145,-0.4918548785779368,2.0808809055177056e-09
0.0,distributed_pd_hocbf,3,4.665811820000001,0.57391501,4.6658118168650295,0.5739150118791336,3.655022410986712e-09
0.12,direct_hocbf,0,-4.615115800000001,0.49128405,-4.615115804017047,0.4912840523977539,4.678235166603306e-09
0.12,direct_hocbf,1,4.5861275,-0.52847029,4.5861274977691115,-0.5284702906689455,2.3290235956446676e-09
0.12,direct_hocbf,2,-4.56797397,-0.48964263,-4.567973970211811,-0.48964262510161677,4.902960576422649e-09
0.12,direct_hocbf,3,4.61851276,0.55194329,4.61851276284975,0.5519432906640318,2.9260924594983633e-09
0.12,distributed_pd_hocbf,0,-4.671078639999999,0.49211161,-4.671078643339044,0.49211161492800354,5.9526830039858685e-09
0.12,distributed_pd_hocbf,1,4.63871635,-0.54270509,4.638716346875129,-0.542705090777555,3.2201569457262833e-09
0.12,distributed_pd_hocbf,2,-4.56797397,-0.48964263,-4.56797397021181,-0.48964262510161677,4.9029605380528575e-09
0.12,distributed_pd_hocbf,3,4.665811820000001,0.57391501,4.6658118168650295,0.5739150118791336,3.655022410986712e-09
0.24,direct_hocbf,0,-4.565072059999999,0.488714,-4.565072061241218,0.48871400477130056,4.930104767111926e-09
0.24,direct_hocbf,1,4.54077945,-0.5168831,4.54077944528431,-0.5168831038762134,6.104322592106803e-09
