scenario,seed,n_robots,world_hash,method,stage,barrier_violation_rate,max_barrier_residual,is_executed_trajectory
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,pose_pd_raw,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,pose_pd_raw,SAFE,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,pose_pd_raw,EXEC,0.0,0.0,1
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,apf_wrench_heuristic,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,apf_wrench_heuristic,SAFE,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,apf_wrench_heuristic,EXEC,0.0,0.0,1
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,velocity_obstacle_proxy,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,velocity_obstacle_proxy,SAFE,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,velocity_obstacle_proxy,EXEC,0.0,0.0,1
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,cbf_wrench_local,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,cbf_wrench_local,SAFE,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,cbf_wrench_local,EXEC,0.0,0.0,1
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,damped_hamiltonian_raw,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,damped_hamiltonian_raw,SAFE,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,damped_hamiltonian_raw,EXEC,0.0,0.0,1
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,damped_hamiltonian_cbf,RAW,0.0,0.0,0
open_nominal,573000,4,c32661bbcb558f659f3da327fcd3d4e0879b6b17e40990f7ae1aa24ac712b427,damped_hamiltonian_cbf,SAFE,0.0,0.0,0
