experiment_id,scenario_generator,scenario_variant_id,seed,method,method_family,method_scope,method_ownership,load_id,load_index,mass_kg,post_event_demand_kg,min_coalition_size,assigned_robots,assigned_capacity_kg,assigned_force_n,assigned_torque_nm,wrench_force_demand_n,wrench_torque_demand_nm,feasible_after_event,completed,physically_feasible_final,final_unassigned_infeasible,final_pose_x,final_pose_y,final_pose_theta_rad,target_pose_x,target_pose_y,target_pose_theta_rad,final_pose_error_m,final_orientation_error_deg,final_wrench_margin,unsupported_time_s,load_pause_time_s,degraded_speed_time_s,completion_time_s,destination_x,destination_y,method_variant,method_comparison_group
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,classic,centralized,baseline,load-01,1,44.0,44.0,2,4,41.25505979073778,397.8635897344054,127.78635897344054,73.37574531137656,24.0,True,False,False,False,-1.2801707720705977,-5.463684242726172,-0.19624900405819323,5.76,3.0800000000000005,0.4537856055185257,11.070616285434367,37.24423966618022,-0.06238500475595954,0.0,51.38,0.8400000000000001,,5.76,3.0800000000000005,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,classic,centralized,baseline,load-02,2,52.0,52.0,3,4,49.069559636325856,376.24020238389147,125.62402023838915,81.04319835741924,30.0,False,False,False,False,2.8473871938473376,-0.004273620036877742,0.3107976301034694,5.76,-0.0,0.3141592653589793,2.9126159414506927,0.19260751240310056,-0.05635462237834887,0.0,38.64,13.3,,5.76,-0.0,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_centralized_replan,classic,centralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,1.1034002620710215,2.4215397938060206,0.1819635538240023,5.76,-3.0800000000000005,0.17453292519943295,7.207694584408487,0.42574365931693553,-1.0,14.280000000000001,39.06,10.500000000000002,,5.76,-3.0800000000000005,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-01,1,44.0,44.0,2,3,40.96034940548216,292.0897287901375,95.20897287901374,73.37574531137656,24.0,True,False,False,False,-0.9137512968691174,-5.019011464485289,0.23027548911263773,5.76,3.0800000000000005,0.4537856055185257,10.49442438032341,12.80618634853513,-0.06908296805722358,0.0,50.260000000000005,1.6800000000000002,,5.76,3.0800000000000005,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-02,2,52.0,52.0,3,5,46.88753517189589,482.0140633281594,158.20140633281594,81.04319835741924,30.0,False,False,False,False,3.6899507469102537,-0.00303734294741834,0.31453708026729155,5.76,-0.0,0.3141592653589793,2.0700514814056183,0.021647199683413235,-0.09831663130969437,0.0,37.38,13.160000000000002,,5.76,-0.0,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,0.8030343308975557,2.7764071253472404,0.16825964750662292,5.76,-3.0800000000000005,0.17453292519943295,7.672614486762526,0.35943233551156983,-1.0,14.420000000000002,45.50000000000001,1.8200000000000003,,5.76,-3.0800000000000005,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,sota,decentralized,baseline,load-01,1,44.0,44.0,2,5,51.99480348309317,480.4104425783203,158.04104425783203,73.37574531137656,24.0,True,False,True,False,-1.4199004283562786,-5.633254854192806,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.290340132840338,44.000000000000014,0.18170007916120845,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,sota,decentralized,baseline,load-02,2,52.0,52.0,3,3,40.93906116414739,293.69334953997657,95.36933495399765,81.04319835741924,30.0,False,False,False,False,3.7125144244669634,-0.0030042357028480017,0.31436964984720017,5.76,-0.0,0.3141592653589793,2.047487779560114,0.01205414325007509,-0.21271036222793482,0.0,34.720000000000006,17.360000000000003,,5.76,-0.0,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbba_recovery,sota,decentralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,1.1873877239698534,2.322312806342697,0.17455885455010467,5.76,-3.0800000000000005,0.17453292519943295,7.077695012112058,0.0014856423590154945,-1.0,16.1,36.400000000000006,14.560000000000002,,5.76,-3.0800000000000005,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,sota,centralized,baseline,load-01,1,44.0,44.0,2,4,59.528670174834964,389.56119867831546,126.95611986783155,73.37574531137656,24.0,True,False,True,False,-1.2454619711243933,-5.421562958267503,-0.22740874857614468,5.76,3.0800000000000005,0.4537856055185257,11.016036953562574,39.02956151776477,0.3529243221553402,0.0,50.96000000000001,1.2600000000000002,,5.76,3.0800000000000005,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,sota,centralized,baseline,load-02,2,52.0,52.0,3,0,0.0,0.0,0.0,81.04319835741924,30.0,True,False,False,False,1.733446090078092,-0.005908084120436553,0.28977375442640785,5.76,-0.0,0.3141592653589793,4.0265582443279495,1.397186857706473,-1.0,1.8200000000000003,41.160000000000004,11.06,,5.76,-0.0,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,cbf_recovery,sota,centralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-1.5652263570447664,5.574388732118498,0.0,5.76,-3.0800000000000005,0.17453292519943295,11.338314932500461,9.99999999999999,-1.0,34.580000000000005,52.220000000000006,0.0,,5.76,-3.0800000000000005,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,48.171388757834066,375.014998975552,125.50149989755519,73.37574531137656,24.0,True,False,True,False,-1.309938689792621,-5.499809458692439,-0.2620441082169096,5.76,3.0800000000000005,0.4537856055185257,11.117426115108428,41.01402144709835,0.09480428995077417,0.0,51.38,0.8400000000000001,,5.76,3.0800000000000005,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,51.255508226025896,399.088793142745,127.9088793142745,81.04319835741924,30.0,False,False,True,False,1.1853680878731694,-0.00671226829728527,0.2643712473988198,5.76,-0.0,0.3141592653589793,4.574636836514443,2.8526432994386828,-0.014317149499502024,0.0,42.7,9.520000000000001,,5.76,-0.0,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,replicator_repair_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-1.5652263570447664,5.574388732118498,0.0,5.76,-3.0800000000000005,0.17453292519943295,11.338314932500461,9.99999999999999,-1.0,34.580000000000005,52.220000000000006,0.0,,5.76,-3.0800000000000005,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,3,43.35280055180619,299.6796129407929,95.96796129407929,73.37574531137656,24.0,True,False,True,False,-1.248312186287543,-5.425021871291943,-0.2157889427331412,5.76,3.0800000000000005,0.4537856055185257,11.020518895751723,38.36379568419922,-0.01470907836804114,0.0,50.96000000000001,1.2600000000000002,,5.76,3.0800000000000005,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,5,52.851458527660704,474.424179177504,157.4424179177504,81.04319835741924,30.0,False,False,True,False,1.3640360552423654,-0.006450112268964496,0.28478631208668226,5.76,-0.0,0.3141592653589793,4.395968676817134,1.682946254337602,0.01637420245501353,2.24,42.980000000000004,9.24,,5.76,-0.0,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,smith_qr_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-1.5652263570447664,5.574388732118498,0.0,5.76,-3.0800000000000005,0.17453292519943295,11.338314932500461,9.99999999999999,-1.0,36.540000000000006,52.220000000000006,0.0,,5.76,-3.0800000000000005,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,3,42.39563000408625,297.40049155667407,95.7400491556674,73.37574531137656,24.0,True,False,False,False,-1.0212900466255141,-5.149516412663699,0.010307789557138847,5.76,3.0800000000000005,0.4537856055185257,10.663528266139846,25.40940716226693,-0.03646295445258518,0.0,50.120000000000005,2.1,,5.76,3.0800000000000005,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,5,58.52312702752565,476.7033005616228,157.67033005616227,81.04319835741924,30.0,False,False,True,False,0.6993096743885361,-0.0074254523396588236,0.2579291229399341,5.76,-0.0,0.3141592653589793,5.060695773219322,3.2217498420308326,0.12544475052933945,1.8200000000000003,45.50000000000001,6.720000000000001,,5.76,-0.0,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,primal_dual_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-0.5982992104049543,4.432012647779302,0.1546096320219288,5.76,-3.0800000000000005,0.17453292519943295,9.841661590881515,1.1415206130727644,-1.0,34.02,49.28,1.4000000000000001,,5.76,-3.0800000000000005,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,52.444205713816885,379.42284346631334,125.94228434663134,73.37574531137656,24.0,True,False,True,False,-1.4199004283562786,-5.633254854192806,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.290340132840338,44.000000000000014,0.19191376622311096,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,tensor_flow_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,50.966144575500714,394.68094865198356,127.46809486519835,81.04319835741924,30.0,False,False,True,False,0.7524954691142475,-0.0073474138590420585,0.24810687178893343,5.76,-0.0,0.3141592653589793,5.00750992124147,3.7845233783006855,-0.019881835086524746,0.0,44.24,7.98,,5.76,-0.0,tensor_flow_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,tensor_flow_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-0.8325762017290832,4.708799200861071,0.14931975669091946,5.76,-3.0800000000000005,0.17453292519943295,10.204286058658818,1.4446081436899685,-1.0,34.580000000000005,49.84,1.4000000000000001,,5.76,-3.0800000000000005,tensor_flow_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,45.6952064487559,392.83318006470074,127.28331800647007,73.37574531137656,24.0,True,False,True,False,-0.4775490168809227,-4.4896529209452645,0.25921229365016174,5.76,3.0800000000000005,0.4537856055185257,9.808499532628186,11.148229575939995,0.03852741928990677,0.0,47.32000000000001,4.760000000000001,,5.76,3.0800000000000005,guarded_wrench_market_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,53.393713843163816,381.2706120535962,126.12706120535961,81.04319835741924,30.0,False,False,True,False,1.2059546657455669,-0.006682062012570601,0.2530071726758716,5.76,-0.0,0.3141592653589793,4.554050236481511,3.503756819134915,0.026802189291611933,0.0,43.120000000000005,9.100000000000001,,5.76,-0.0,guarded_wrench_market_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,ours_guarded_wrench_market_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,-0.7026707689837298,4.5553224264114816,0.17459073670975922,5.76,-3.0800000000000005,0.17453292519943295,10.003212585141778,0.003312355548983505,-1.0,34.580000000000005,49.56,1.2600000000000002,,5.76,-3.0800000000000005,guarded_wrench_market_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,model_based_reference,centralized,reference,load-01,1,44.0,44.0,2,0,0.0,0.0,0.0,73.37574531137656,24.0,True,True,True,False,5.76,3.0800000000000005,0.4537856055185257,5.76,3.0800000000000005,0.4537856055185257,0.0,0.0,0.0,0.0,27.580000000000002,8.540000000000001,48.580000000000005,5.76,3.0800000000000005,centralized_resilient_recovery,reference_model_based_reference_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,model_based_reference,centralized,reference,load-02,2,52.0,52.0,3,4,59.96134671397752,413.7232679260001,129.3723267926,81.04319835741924,30.0,True,False,True,False,4.942921730592009,-0.0011988830291698982,0.3148313191766441,5.76,-0.0,0.3141592653589793,0.8170791489563752,0.03850584735784618,0.15310282142264464,0.0,36.260000000000005,13.160000000000002,,5.76,-0.0,centralized_resilient_recovery,reference_model_based_reference_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7100,reference_resilient_oracle,model_based_reference,centralized,reference,load-03,3,60.0,60.0,2,4,67.51720747048616,360.3805241922968,124.03805241922967,88.76936408468859,36.0,False,False,True,False,-0.7011817903211804,4.55356327255992,0.1745650236377294,5.76,-3.0800000000000005,0.17453292519943295,10.000907876975656,0.0018391050433595457,0.12528679117476926,31.500000000000004,49.56,1.2600000000000002,,5.76,-3.0800000000000005,centralized_resilient_recovery,reference_model_based_reference_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_centralized_replan,classic,centralized,baseline,load-01,1,44.0,44.0,2,4,54.78422085909355,400.06445035447064,128.00644503544706,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.24509592861576257,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_centralized_replan,classic,centralized,baseline,load-02,2,52.0,52.0,3,4,44.96636554510333,394.44024810953476,127.44402481095348,81.04319835741924,30.0,False,False,False,False,3.747664158191151,0.020717549429168168,0.31706289650645214,5.76,-0.0,0.3141592653589793,2.012442485409925,0.16636581001292144,-0.1352622010557052,0.0,36.82,14.14,,5.76,-0.0,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_centralized_replan,classic,centralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,1.2379773845699147,2.378380401571077,0.17345941527198505,5.76,-3.0800000000000005,0.17453292519943295,7.088201827171429,0.06150758810814855,-1.0,14.280000000000001,39.06,10.22,,5.76,-3.0800000000000005,periodic_global_replan,baseline_classic_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-01,1,44.0,44.0,2,3,42.08627290932361,294.6647695958457,95.46647695958457,73.37574531137656,24.0,True,False,False,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,-0.04349379751537252,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-02,2,52.0,52.0,3,4,54.59933079119101,403.7103209830409,128.3710320983041,81.04319835741924,30.0,True,False,True,False,4.271235112235886,0.015327242853726865,0.3135084026749144,5.76,-0.0,0.3141592653589793,1.488843784758089,0.037291684839474905,0.04998713059982718,0.0,36.120000000000005,15.540000000000001,,5.76,-0.0,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,classic_decentralized_greedy_recovery,classic,decentralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,0.9818697534766353,2.687519252288527,0.17726954926989125,5.76,-3.0800000000000005,0.17453292519943295,7.48964665243029,0.15679700935118368,-1.0,9.38,38.50000000000001,12.180000000000001,,5.76,-3.0800000000000005,local_greedy_recovery,baseline_classic_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbba_recovery,sota,decentralized,baseline,load-01,1,44.0,44.0,2,4,49.97419675826116,392.61454763290317,127.26145476329032,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.13577719905138985,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbba_recovery,sota,decentralized,baseline,load-02,2,52.0,52.0,3,0,0.0,0.0,0.0,81.04319835741924,30.0,True,True,True,False,5.76,-0.0,0.3141592653589793,5.76,-0.0,0.3141592653589793,0.0,0.0,0.0,0.0,19.32,18.900000000000002,38.92,5.76,-0.0,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbba_recovery,sota,decentralized,baseline,load-03,3,60.0,60.0,2,4,56.17953745414786,401.8901508311022,128.18901508311023,88.76936408468859,36.0,False,False,False,False,4.658506815176573,-1.7504248687326656,0.17453267101446102,5.76,-3.0800000000000005,0.17453292519943295,1.7265738518514073,1.4563726096208508e-05,-0.06367437576420232,0.0,24.360000000000003,21.28,,5.76,-3.0800000000000005,cbba_recovery_auction,baseline_sota_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbf_recovery,sota,centralized,baseline,load-01,1,44.0,44.0,2,4,48.88051307566115,388.4539744046201,126.84539744046202,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.11092075171957161,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbf_recovery,sota,centralized,baseline,load-02,2,52.0,52.0,3,4,62.985404130882074,406.0507240593853,128.60507240593853,81.04319835741924,30.0,True,False,True,False,3.6927679847287287,0.02128272059172993,0.3142570778499678,5.76,-0.0,0.3141592653589793,2.0673415680913267,0.005604242917302593,0.2112577717477322,0.0,36.68000000000001,15.120000000000001,,5.76,-0.0,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,cbf_recovery,sota,centralized,baseline,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,1.1787324902525447,2.4498929077075293,0.160713643782314,5.76,-3.0800000000000005,0.17453292519943295,7.181067299961872,0.7917865011044715,-1.0,32.06,44.660000000000004,2.1,,5.76,-3.0800000000000005,centralized_cbf_recovery,baseline_sota_centralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,replicator_repair_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,47.78237203857756,391.22560789979445,127.12256078997945,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.0859630008767629,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,replicator_repair_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,60.17595812510696,403.2790905642109,128.3279090564211,81.04319835741924,30.0,True,False,True,False,3.9115429208121655,0.019030372619784384,0.3140667218510127,5.76,-0.0,0.3141592653589793,1.8485550380450313,0.0053023524278222765,0.15722996394436461,0.0,34.160000000000004,17.92,,5.76,-0.0,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,replicator_repair_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,1.165006796620051,2.466460727794486,0.16059039850668988,5.76,-3.0800000000000005,0.17453292519943295,7.202582116440913,0.7988479352426606,-1.0,32.06,44.660000000000004,2.24,,5.76,-3.0800000000000005,replicator_integer_repair,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,smith_qr_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,50.305631995506566,398.28286822550615,127.82828682255062,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.14330981807969478,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,smith_qr_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,53.50900422806679,396.2218302384992,127.62218302384993,81.04319835741924,30.0,False,False,True,False,3.6943876269313844,0.021266045931022735,0.3106089368434093,5.76,-0.0,0.3141592653589793,2.065721840055843,0.20341883982710887,0.029019312078207626,0.0,34.300000000000004,17.92,,5.76,-0.0,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,smith_qr_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,0.06467925472552132,3.794628850946323,0.22064256597148146,5.76,-3.0800000000000005,0.17453292519943295,8.927328840690109,2.641887811102734,-1.0,30.1,48.02,1.2600000000000002,,5.76,-3.0800000000000005,smith_qr_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,primal_dual_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,44.023393251685874,410.7675813087526,129.07675813087528,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.0005316648110424982,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,primal_dual_recovery,model_based,decentralized,proposed,load-02,2,52.0,52.0,3,4,57.73605031271058,383.7371171552528,126.37371171552527,81.04319835741924,30.0,False,False,True,False,3.997249251430767,0.018148002438777445,0.31320320301581495,5.76,-0.0,0.3141592653589793,1.7628441654252678,0.05477833721470634,0.11030865985981886,0.0,34.160000000000004,17.360000000000003,,5.76,-0.0,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,primal_dual_recovery,model_based,decentralized,proposed,load-03,3,60.0,60.0,2,0,0.0,0.0,0.0,88.76936408468859,36.0,False,False,False,True,0.7742292653620257,2.938155055619128,0.17589675632310486,5.76,-3.0800000000000005,0.17453292519943295,7.815119966567792,0.07814176735499653,-1.0,34.580000000000005,46.06,1.9600000000000002,,5.76,-3.0800000000000005,primal_dual_recovery,proposed_model_based_decentralized
SP6_MC_robustness_comparison,communication_radius_decay,communication_radius_decay_v00,7101,tensor_flow_recovery,model_based,decentralized,proposed,load-01,1,44.0,44.0,2,4,50.99007612309751,408.36722241381096,128.8367222413811,73.37574531137656,24.0,True,False,True,False,-1.4441955894851048,-5.658676277605937,-0.3141592653589793,5.76,3.0800000000000005,0.4537856055185257,11.325409360210756,44.000000000000014,0.15886536643403426,0.0,52.220000000000006,0.0,,5.76,3.0800000000000005,tensor_flow_recovery,proposed_model_based_decentralized
