rank,method,method_label,method_family,method_scope,method_ownership,collision_risk_rate_mean,performance_gap_vs_reference_mean,runtime_ms_mean,scalar_feasible_rate_mean,task_completion_rate_mean,timeout_rate_mean,transport_success_rate_mean,wrench_feasible_rate_mean
1,ours_wrench_market_hierarchical,Ours wrench-market hierarchical,model_based,hierarchical,proposed,0.0078737050977732,0.0043078912981526,206.21745166718028,0.7997948955059276,0.1970556851392335,0.0,0.1970556851392335,0.2366771899641577
2,ours_tensor_quorum_flow,Ours tensor quorum flow,model_based,decentralized,proposed,0.0049224258445106,0.0327352219392258,1383.382798335515,0.8079612517231872,0.1967338869589192,0.0,0.1967338869589192,0.2372682156051833
3,ours_primal_dual_spatial,Ours primal-dual spatial,model_based,decentralized,proposed,0.008416267845491,0.0194357287533827,223.23005499201827,0.8051176928591123,0.1967054562999724,0.0,0.1967054562999724,0.2373487455197132
4,auction_market_local,Auction market local,sota,decentralized,baseline,0.0246749461945246,0.2714027947125477,181.83839499445943,0.8213734425144749,0.0643970609318996,0.0,0.0643970609318996,0.0831190785773366
5,classic_local_greedy,Classic local greedy,classic,decentralized,baseline,0.0261941218881344,0.2835443554698102,169.81074666643204,0.8222807284256961,0.0633755086848635,0.0,0.0633755086848635,0.0852896906534325
6,ours_mean_field_approximation,Ours mean-field approximation,model_based,decentralized,proposed,0.0241323834468068,0.2912138276210728,174.30172499540882,0.8076066490212296,0.0611913377446925,0.0,0.0611913377446925,0.0767867499310725
7,cbba_partitioned,CBBA partitioned,sota,decentralized,baseline,0.0245121773702093,0.3155674214556718,764.1182583388096,0.8126514904880066,0.0545666572925282,0.0,0.0545666572925282,0.0676370780259167
8,centralized_hungarian_expanded,Centralized Hungarian expanded,classic,centralized,baseline,0.608220429481355,0.8601495416387569,36000.856664999934,0.3136856630824373,0.0252885304659498,0.6,0.0252885304659498,0.0395569892473118
9,centralized_time_expanded_mpc,Centralized time-expanded MPC,sota,centralized,baseline,0.7506915151515152,0.7529301983132118,45000.22244833138,0.2053888888888889,0.0871111111111111,0.75,0.0871111111111111,0.0960555555555555
10,centralized_coalition_oracle,Centralized coalition oracle,model_based_oracle,centralized,reference,0.8013942803030304,0.8031087497894253,48000.18393500359,0.1680555555555555,0.0777777777777777,0.8,0.0777777777777777,0.0847222222222222
