lambda_star,load,price,row_hash,sample,source_file,time,z_observed,z_theory
0.0015028206905963336,load-1,0.514,e89d5bb936c5,first_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,0.0,0.0,15.0
0.002233764606256029,load-1,0.764,911871c56470,first_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,0.25,0.0,15.0
0.002233764606256029,load-1,0.764,0cc29ad63421,first_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,0.5,0.0,15.0
0.002233764606256029,load-1,0.764,1afc9037891d,first_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,0.75,0.0,15.0
0.002233764606256029,load-1,0.764,1c79a95d2671,first_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,1.0,0.0,15.0
0.002233764606256029,load-1,0.764,7ee151d83c83,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,8.75,1.0,15.0
0.002233764606256029,load-1,0.764,61a022000f7d,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,9.0,1.0,15.0
0.002233764606256029,load-1,0.764,53f09f2a1951,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,9.25,1.0,15.0
0.002233764606256029,load-1,0.764,bd043bfe9cc3,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,9.5,2.0,15.0
0.002233764606256029,load-1,0.764,d757d066fcc9,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,9.75,4.0,15.0
0.002233764606256029,load-1,0.764,27672c427d42,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,10.0,4.0,15.0
0.002233764606256029,load-1,0.764,560d7b19da36,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,10.25,5.0,15.0
0.002233764606256029,load-1,0.764,b4d836421391,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,10.5,5.0,15.0
0.002233764606256029,load-1,0.764,043c817e6648,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,10.75,7.0,15.0
0.002233764606256029,load-1,0.764,564b8c60c8f7,first_contact_rows,results\benchmark-v27-full\load_sweep\rho0.5_smith_2026_theory.csv,11.0,8.0,15.0
